ccdd,mp_code,mp_formal_name,mp_en_description,mp_fr_description,mp_status,mp_status_effective_time,mp_type,Health_Canada_identifier,Health_Canada_product_name
NA,"02028174","ACETAMINOPHEN, CAFFEINE & CODEINE (acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet) PHARMASCIENCE INC","NA","NA","Active","19931231","DIN","02028174","ACETAMINOPHEN, CAFFEINE & CODEINE"
NA,"02025337","ACETAMINOPHEN, CAFFEINE & CODEINE (acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet) PHARMASCIENCE INC","NA","NA","Active","19931231","DIN","02025337","ACETAMINOPHEN, CAFFEINE & CODEINE"
NA,"02352761","AMOXICILLIN (amoxicillin (amoxicillin trihydrate) 125 mg per 5 mL oral suspension) SANIS HEALTH INC","NA","NA","Active","20170731","DIN","02352761","AMOXICILLIN"
NA,"02352745","AMOXICILLIN (amoxicillin (amoxicillin trihydrate) 125 mg per 5 mL oral suspension) SANIS HEALTH INC","NA","NA","Active","20170731","DIN","02352745","AMOXICILLIN"
NA,"02352753","AMOXICILLIN (amoxicillin (amoxicillin trihydrate) 250 mg per 5 mL oral suspension) SANIS HEALTH INC","NA","NA","Active","20101102","DIN","02352753","AMOXICILLIN"
NA,"02352788","AMOXICILLIN (amoxicillin (amoxicillin trihydrate) 250 mg per 5 mL oral suspension) SANIS HEALTH INC","NA","NA","Active","20100927","DIN","02352788","AMOXICILLIN"
NA,"02240113","COSOPT (dorzolamide (dorzolamide hydrochloride) 20 mg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops) PURDUE PHARMA","NA","NA","Active","19990527","DIN","02240113","COSOPT"
NA,"02258692","COSOPT (dorzolamide (dorzolamide hydrochloride) 20 mg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops) PURDUE PHARMA","NA","NA","Active","20051102","DIN","02258692","COSOPT"
NA,"02424924","DIVIGEL (estradiol 0.1 % transdermal gel) TEVA CANADA LIMITED","NA","NA","Active","20150413","DIN","02424924","DIVIGEL"
NA,"02424835","DIVIGEL (estradiol 0.1 % transdermal gel) TEVA CANADA LIMITED","NA","NA","Active","20150413","DIN","02424835","DIVIGEL"
NA,"02424843","DIVIGEL (estradiol 0.1 % transdermal gel) TEVA CANADA LIMITED","NA","NA","Active","20150413","DIN","02424843","DIVIGEL"
NA,"02355612","DOM-ATORVASTATIN (atorvastatin (atorvastatin calcium) 10 mg oral tablet) DOMINION PHARMACAL","NA","NA","Inactive","20170803","DIN","02355612","DOM-ATORVASTATIN"
NA,"02399482","DOM-ATORVASTATIN (atorvastatin (atorvastatin calcium) 10 mg oral tablet) DOMINION PHARMACAL","NA","NA","Active","20130809","DIN","02399482","DOM-ATORVASTATIN"
NA,"02355620","DOM-ATORVASTATIN (atorvastatin (atorvastatin calcium) 20 mg oral tablet) DOMINION PHARMACAL","NA","NA","Inactive","20170803","DIN","02355620","DOM-ATORVASTATIN"
NA,"02399490","DOM-ATORVASTATIN (atorvastatin (atorvastatin calcium) 20 mg oral tablet) DOMINION PHARMACAL","NA","NA","Active","20130809","DIN","02399490","DOM-ATORVASTATIN"
NA,"02355639","DOM-ATORVASTATIN (atorvastatin (atorvastatin calcium) 40 mg oral tablet) DOMINION PHARMACAL","NA","NA","Inactive","20170803","DIN","02355639","DOM-ATORVASTATIN"
NA,"02399504","DOM-ATORVASTATIN (atorvastatin (atorvastatin calcium) 40 mg oral tablet) DOMINION PHARMACAL","NA","NA","Active","20130809","DIN","02399504","DOM-ATORVASTATIN"
NA,"02253755","DOM-SIMVASTATIN (simvastatin 10 mg oral tablet) DOMINION PHARMACAL","NA","NA","Inactive","20170803","DIN","02253755","DOM-SIMVASTATIN"
NA,"02281627","DOM-SIMVASTATIN (simvastatin 10 mg oral tablet) DOMINION PHARMACAL","NA","NA","Active","20060802","DIN","02281627","DOM-SIMVASTATIN"
NA,"02253763","DOM-SIMVASTATIN (simvastatin 20 mg oral tablet) DOMINION PHARMACAL","NA","NA","Inactive","20170803","DIN","02253763","DOM-SIMVASTATIN"
NA,"02281635","DOM-SIMVASTATIN (simvastatin 20 mg oral tablet) DOMINION PHARMACAL","NA","NA","Active","20060802","DIN","02281635","DOM-SIMVASTATIN"
NA,"02253771","DOM-SIMVASTATIN (simvastatin 40 mg oral tablet) DOMINION PHARMACAL","NA","NA","Inactive","20170803","DIN","02253771","DOM-SIMVASTATIN"
NA,"02281643","DOM-SIMVASTATIN (simvastatin 40 mg oral tablet) DOMINION PHARMACAL","NA","NA","Active","20060802","DIN","02281643","DOM-SIMVASTATIN"
NA,"02253747","DOM-SIMVASTATIN (simvastatin 5 mg oral tablet) DOMINION PHARMACAL","NA","NA","Inactive","20170803","DIN","02253747","DOM-SIMVASTATIN"
NA,"02281619","DOM-SIMVASTATIN (simvastatin 5 mg oral tablet) DOMINION PHARMACAL","NA","NA","Inactive","20170803","DIN","02281619","DOM-SIMVASTATIN"
NA,"02253798","DOM-SIMVASTATIN (simvastatin 80 mg oral tablet) DOMINION PHARMACAL","NA","NA","Inactive","20170803","DIN","02253798","DOM-SIMVASTATIN"
NA,"02281651","DOM-SIMVASTATIN (simvastatin 80 mg oral tablet) DOMINION PHARMACAL","NA","NA","Inactive","20170803","DIN","02281651","DOM-SIMVASTATIN"
NA,"02243862","FUCITHALMIC (fusidic acid 1 % ophthalmic drops) AMDIPHARM LIMITED","NA","NA","Active","20010829","DIN","02243862","FUCITHALMIC"
NA,"02243861","FUCITHALMIC (fusidic acid 1 % ophthalmic drops) AMDIPHARM LIMITED","NA","NA","Inactive","20170717","DIN","02243861","FUCITHALMIC"
NA,"02314762","IBUPROFEN (ibuprofen 200 mg oral tablet) PHARMASCIENCE INC","NA","NA","Active","20100305","DIN","02314762","IBUPROFEN"
NA,"02314754","IBUPROFEN (ibuprofen 200 mg oral tablet) PHARMASCIENCE INC","NA","NA","Active","20100305","DIN","02314754","IBUPROFEN"
NA,"02420422","JAMP-ONDANSETRON (ondansetron (ondansetron hydrochloride dihydrate) 2 mg per mL solution for injection) JAMP PHARMA CORPORATION","NA","NA","Active","20140314","DIN","02420422","JAMP-ONDANSETRON"
NA,"02420414","JAMP-ONDANSETRON (ondansetron (ondansetron hydrochloride dihydrate) 2 mg per mL solution for injection) JAMP PHARMA CORPORATION","NA","NA","Active","20140314","DIN","02420414","JAMP-ONDANSETRON"
NA,"02394596","METHADOSE (methadone hydrochloride 10 mg per mL oral solution) MALLINCKRODT CANADA ULC","NA","NA","Active","20130103","DIN","02394596","METHADOSE"
NA,"02394618","METHADOSE (methadone hydrochloride 10 mg per mL oral solution) MALLINCKRODT CANADA ULC","NA","NA","Active","20130103","DIN","02394618","METHADOSE"
NA,"02382342","MIDAZOLAM INJECTION USP (midazolam 1 mg per mL solution for injection) PFIZER CANADA INC","NA","NA","Active","20150330","DIN","02382342","MIDAZOLAM INJECTION USP"
NA,"02382377","MIDAZOLAM INJECTION USP (midazolam 1 mg per mL solution for injection) PFIZER CANADA INC","NA","NA","Active","20160615","DIN","02382377","MIDAZOLAM INJECTION USP"
NA,"02382350","MIDAZOLAM INJECTION USP (midazolam 5 mg per mL solution for injection) PFIZER CANADA INC","NA","NA","Active","20160209","DIN","02382350","MIDAZOLAM INJECTION USP"
NA,"02382385","MIDAZOLAM INJECTION USP (midazolam 5 mg per mL solution for injection) PFIZER CANADA INC","NA","NA","Active","20160216","DIN","02382385","MIDAZOLAM INJECTION USP"
NA,"02429691","MINT-CITALOPRAM (citalopram (citalopram hydrobromide) 10 mg oral tablet) MINT PHARMACEUTICALS INC","NA","NA","Active","20151014","DIN","02429691","MINT-CITALOPRAM"
NA,"02370077","MINT-CITALOPRAM (citalopram (citalopram hydrobromide) 10 mg oral tablet) MINT PHARMACEUTICALS INC","NA","NA","Active","20110913","DIN","02370077","MINT-CITALOPRAM"
NA,"02429705","MINT-CITALOPRAM (citalopram (citalopram hydrobromide) 20 mg oral tablet) MINT PHARMACEUTICALS INC","NA","NA","Active","20151014","DIN","02429705","MINT-CITALOPRAM"
NA,"02304686","MINT-CITALOPRAM (citalopram (citalopram hydrobromide) 20 mg oral tablet) MINT PHARMACEUTICALS INC","NA","NA","Active","20080310","DIN","02304686","MINT-CITALOPRAM"
NA,"02429713","MINT-CITALOPRAM (citalopram (citalopram hydrobromide) 40 mg oral tablet) MINT PHARMACEUTICALS INC","NA","NA","Active","20151014","DIN","02429713","MINT-CITALOPRAM"
NA,"02304694","MINT-CITALOPRAM (citalopram (citalopram hydrobromide) 40 mg oral tablet) MINT PHARMACEUTICALS INC","NA","NA","Active","20080310","DIN","02304694","MINT-CITALOPRAM"
NA,"00452149","NOVAMOXIN (amoxicillin (amoxicillin trihydrate) 125 mg per 5 mL oral suspension) TEVA CANADA LIMITED","NA","NA","Active","19791231","DIN","00452149","NOVAMOXIN"
