"drug_code","extract_current","extract_previous","company_name_current","company_name_previous"
2196,"active","active","GROUPE PARALL INC","GROUPE PARALLEL INC"
91916,"active","active","AMWAY CORP.","AMWAY CANADA CORPORATION"
95157,"active","active","AMWAY CORP.","AMWAY CANADA CORPORATION"
95908,"active","active","AMWAY CORP.","AMWAY CANADA CORPORATION"
31272,"inactive","inactive","GROUPE PARALL INC","GROUPE PARALLEL INC"
31273,"inactive","inactive","GROUPE PARALL INC","GROUPE PARALLEL INC"
31303,"inactive","inactive","GROUPE PARALL INC","GROUPE PARALLEL INC"
12649,"approved","active","PFIZER CANADA ULC","HOSPIRA HEALTHCARE ULC"
92385,"approved","active","PFIZER CANADA ULC","HOSPIRA HEALTHCARE ULC"
6263,"active","active","GROUPE PARALL INC","GROUPE PARALLEL INC"
8478,"active","active","GROUPE PARALL INC","GROUPE PARALLEL INC"
74072,"active","active","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY"
74073,"active","active","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY"
88004,"active","active","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY"
91917,"active","active","AMWAY CORP.","AMWAY CANADA CORPORATION"
92979,"active","active","VPI PHARMACEUTICALS INC","SANDOZ CANADA INCORPORATED"
92980,"active","active","VPI PHARMACEUTICALS INC","SANDOZ CANADA INCORPORATED"
94840,"active","active","ALLERGAN INC","ALLERGAN PHARMA CO."
94841,"active","active","ALLERGAN INC","ALLERGAN PHARMA CO."
12648,"approved","active","PFIZER CANADA ULC","HOSPIRA HEALTHCARE ULC"
