"extract","drug_code","active_ingredient_code","ingredient","strength","strength_unit","status"
"approved",12648,8926,"EPINEPHRINE","0.01","MG","ADDED"
"active",12648,8926,"EPINEPHRINE","10","MCG","DELETED"
"approved",12649,8926,"EPINEPHRINE","0.01","MG","ADDED"
"active",12649,8926,"EPINEPHRINE","10","MCG","DELETED"
"active",91917,12634,"ENSULIZOLE","2","%","ADDED"
"active",91917,12634,"ENSULIZOLE","2.0","%","DELETED"
"approved",95449,13271,"FEBUXOSTAT (FEBUXOSTAT HEMIHYDRATE)","80","MG","NEW"
"active",95595,9197,"SODIUM BICARBONATE","84","MG","ADDED"
"active",95595,9197,"SODIUM BICARBONATE","4.2","G","DELETED"
"approved",96300,13271,"FEBUXOSTAT (FEBUXOSTAT HEMIHYDRATE)","80","MG","NEW"
"approved",96603,20671,"Fingolimod (Fingolimod Hydrochloride)","0.5","MG","ADDED"
"approved",96914,11982,"RITUXIMAB","100","MG","ADDED"
"approved",96915,11982,"RITUXIMAB","500","MG","ADDED"
"approved",97710,7942,"CETIRIZINE HYDROCHLORIDE","5","MG","ADDED"
"approved",97711,10234,"HYDROCHLOROTHIAZIDE","25","MG","ADDED"
"approved",97712,10234,"HYDROCHLOROTHIAZIDE","50","MG","ADDED"
"approved",97713,12330,"CASPOFUNGIN (CASPOFUNGIN ACETATE)","50","MG","ADDED"
"approved",97714,12330,"CASPOFUNGIN (CASPOFUNGIN ACETATE)","70","MG","ADDED"
"approved",97715,10247,"DEXTROMETHORPHAN HYDROBROMIDE","20","MG","ADDED"
"approved",97715,10258,"PHENYLEPHRINE HYDROCHLORIDE","10","MG","ADDED"
"approved",97715,270,"ACETAMINOPHEN","500","MG","ADDED"
"approved",97720,197,"BENZALKONIUM CHLORIDE","3.38","%","ADDED"
"approved",97720,2730,"DIDECYL DIMETHYL AMMONIUM CHLORIDE","5.07","%","ADDED"
"approved",97721,8541,"VANCOMYCIN (VANCOMYCIN HYDROCHLORIDE)","1000","MG","ADDED"
"approved",97722,8541,"VANCOMYCIN (VANCOMYCIN HYDROCHLORIDE)","1000","MG","ADDED"
"approved",97723,23185,"ABEMACICLIB","50","MG","NEW"
"approved",97724,23185,"ABEMACICLIB","100","MG","NEW"
"approved",97725,23185,"ABEMACICLIB","150","MG","NEW"
"approved",97726,23185,"ABEMACICLIB","200","MG","NEW"
"approved",97727,23186,"CEMIPLIMAB","250","MG","NEW"
"approved",97728,23186,"CEMIPLIMAB","350","MG","NEW"
"approved",97734,11443,"TRANDOLAPRIL","0.5","MG","ADDED"
"approved",97735,11443,"TRANDOLAPRIL","1","MG","ADDED"
"approved",97736,11443,"TRANDOLAPRIL","2","MG","ADDED"
"approved",97737,11443,"TRANDOLAPRIL","4","MG","ADDED"
"approved",97738,11764,"MELOXICAM","5","MG","ADDED"
"approved",97739,10258,"PHENYLEPHRINE HYDROCHLORIDE","10","MG","ADDED"
"approved",97739,182,"DIPHENHYDRAMINE HYDROCHLORIDE","25","MG","ADDED"
"approved",97739,270,"ACETAMINOPHEN","650","MG","ADDED"
"approved",97743,10258,"PHENYLEPHRINE HYDROCHLORIDE","10","MG","ADDED"
"approved",97743,182,"DIPHENHYDRAMINE HYDROCHLORIDE","20","MG","ADDED"
"approved",97743,270,"ACETAMINOPHEN","650","MG","ADDED"
"approved",97744,11857,"EFAVIRENZ","600","MG","ADDED"
"approved",97744,12251,"TENOFOVIR DISOPROXIL FUMARATE","300","MG","ADDED"
"approved",97744,16516,"EMTRICITABINE","200","MG","ADDED"
"approved",97745,22969,"ERENUMAB","140","MG","ADDED"
"approved",97746,22969,"ERENUMAB","140","MG","ADDED"
"approved",97748,22915,"GUSELKUMAB","100","MG","ADDED"
"approved",97749,10258,"PHENYLEPHRINE HYDROCHLORIDE","10","MG","ADDED"
"approved",97749,182,"DIPHENHYDRAMINE HYDROCHLORIDE","25","MG","ADDED"
"approved",97749,270,"ACETAMINOPHEN","500","MG","ADDED"
"approved",97750,11104,"ONDANSETRON","4","MG","ADDED"
"approved",97751,11104,"ONDANSETRON","8","MG","ADDED"
"approved",97753,3812,"ARSENIC TRIOXIDE","10","MG","ADDED"
"approved",97754,20565,"DEXMEDETOMIDINE (DEXMEDETOMIDINE HYDROCHLORIDE)","200","MCG","ADDED"
"approved",97755,20565,"DEXMEDETOMIDINE (DEXMEDETOMIDINE HYDROCHLORIDE)","400","MCG","ADDED"
