"drug_code","drug_identification_number","brand_name_current","brand_name_previous"
12504,"01944746","BENYLIN FOR CHILDREN COUGH & COLD","BENYLIN DM-D FOR CHILDREN"
19044,"02142783","ROBITUSSIN EXTRA STRENGTH MUCUS AND PHLEGM","ROBITUSSIN MUCUS & PHLEGM EXTRA STRENGTH"
37038,"02215268","BENYLIN FOR CHILDREN DRY COUGH","BENYLIN DM FOR CHILDREN - SYR 7.5MG/5ML"
64096,"02240526","DENTICARE CHLORHEXIDINE GLUCONATE ORAL RINSE 0.12%","DENTI-CARE CHLORHEXIDINE GLUCONATE ORAL RINSE 0.12%"
69767,"02245667","SANDOZ CYPROHEPTADINE TABLET","EURO-CYPROHEPTADINE 4MG/TABLET"
73230,"02248858","BENYLIN FOR CHILDREN COUGH NIGHT","BENYLIN NIGHT FOR CHILDREN"
92979,"02444674","VPI-ONDANSETRON ODT","SANDOZ ONDANSETRON ODT"
92980,"02444682","VPI-ONDANSETRON ODT","SANDOZ ONDANSETRON ODT"
20012,"02212005","APO-LOPERAMIDE","APO-LOPERAMIDE - TAB 2MG"
62254,"02238817","DOM-VALPROIC ACID","DOM-VALPROIC ACID SYRUP"
12648,"01901915","LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE INJECTION USP","LIDOCAINE HYDROCHLORIDE 2% AND EPINEPHRINE 1:100 000 INJECTION USP"
12649,"01901958","LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE INJECTION USP","LIDOCAINE HYDROCHLORIDE 1% AND EPINEPHRINE 1:100 000 INJECTION USP"
92385,"02439468","LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE INJECTION USP","LIDOCAINE HYDROCHLORIDE 2% AND EPINEPHRINE 1:200000 INJECTION USP"
97586,"02485621","MELOXADIN ORAL SUSPENSION","LOXICOM ORAL SUSPENSION"
97659,"02486385","ADVANCED MOISTURE BALM","ADVANCED MOISTURE BALM"
97675,"02486555","STRONGARM MULTISITE DSC","STRONGARM MULTISITE DSC"
