drug_code,drug_identification_number,current_brand_name,previous_brand_name
"102581","02537109","DEXMEDETOMIDINE HYDROCHLORIDE INJECTION","DEXMEDETOMIDINE HYDROCHOLORIDE INJECTION"
"87337","02387794","ACH-QUETIAPINE","QUETIAPINE TABLETS"
"87338","02387808","ACH-QUETIAPINE","QUETIAPINE TABLETS"
"87339","02387816","ACH-QUETIAPINE","QUETIAPINE TABLETS"
"87340","02387824","ACH-QUETIAPINE","QUETIAPINE TABLETS"
"87341","02387832","ACH-QUETIAPINE","QUETIAPINE TABLETS"
"90624","02421593","JAMP ALLOPURINOL","JAMP-ALLOPURINOL"
"90625","02421607","JAMP ALLOPURINOL","JAMP-ALLOPURINOL"
"90626","02421615","JAMP ALLOPURINOL","JAMP-ALLOPURINOL"
"93401","02448319","TEVA-DEXTROAMPHETAMINE SR","ACT DEXTROAMPHETAMINE SR"
"93402","02448327","TEVA-DEXTROAMPHETAMINE SR","ACT DEXTROAMPHETAMINE SR"
"86900","02383233","CALCITONIN SALMON INJECTION USP","CALCITONIN (SALMON) INJECTION, BP"
"102580","02537095","DEXMEDETOMIDINE HYDROCHLORIDE FOR INJECTION USP","DEXMEDETOMIDINE HYDROCHOLORIDE FOR INJECTION USP"
