drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"103542","49","INTRAVENOUS","ADDED","02546744"
"102255","56","ORAL","ADDED","02533561"
"103557","8","DISINFECTANT (Food Premises)","ADDED","02546906"
"103558","8","DISINFECTANT (Food Premises)","ADDED","02546914"
"103583","56","ORAL","ADDED","02547198"
"103588","74","VAGINAL","ADDED","02547252"
"103564","65","SUBCUTANEOUS","ADDED","02546973"
"103635","8","DISINFECTANT (Food Premises)","ADDED","02547422"
"43781","56","ORAL","ADDED","02091372"
"103596","70","TOPICAL","ADDED","02547325"
"103558","94","DISINFECTANT (Institutional/Industrial)","ADDED","02546914"
"103562","56","ORAL","ADDED","02546957"
"103558","93","DISINFECTANT (Domestic)","ADDED","02546914"
"103559","65","SUBCUTANEOUS","ADDED","02546922"
"103555","56","ORAL","ADDED","02546884"
"103634","94","DISINFECTANT (Institutional/Industrial)","ADDED","02547414"
"103558","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02546914"
"103558","2","DISINFECTANT (Barn)","ADDED","02546914"
"43771","56","ORAL","ADDED","02091216"
"103635","94","DISINFECTANT (Institutional/Industrial)","ADDED","02547422"
"102258","56","ORAL","ADDED","02533596"
"103582","56","ORAL","ADDED","02547171"
"103557","93","DISINFECTANT (Domestic)","ADDED","02546906"
"103325","56","ORAL","ADDED","02544687"
"103557","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02546906"
"103598","56","ORAL","ADDED","02547368"
"103551","56","ORAL","ADDED","02546833"
"103563","56","ORAL","ADDED","02546965"
"103634","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02547414"
"102257","56","ORAL","ADDED","02533618"
"103557","2","DISINFECTANT (Barn)","ADDED","02546906"
"103635","2","DISINFECTANT (Barn)","ADDED","02547422"
"102256","56","ORAL","ADDED","02533588"
"103549","56","ORAL","ADDED","02546817"
"103597","56","ORAL","ADDED","02547341"
"103557","94","DISINFECTANT (Institutional/Industrial)","ADDED","02546906"
"103589","74","VAGINAL","ADDED","02547260"
"103579","56","ORAL","ADDED","02547139"
"103552","56","ORAL","ADDED","02546841"
"103634","8","DISINFECTANT (Food Premises)","ADDED","02547414"
"103554","56","ORAL","ADDED","02546876"
"103561","56","ORAL","ADDED","02546949"
"103635","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02547422"
"103580","56","ORAL","ADDED","02547147"
"103594","56","ORAL","ADDED","02547317"
"103565","70","TOPICAL","ADDED","02546981"
"103577","56","ORAL","ADDED","02547120"
"103584","56","ORAL","ADDED","02547201"
"103581","56","ORAL","ADDED","02547155"
"103589","70","TOPICAL","ADDED","02547260"
"103556","56","ORAL","ADDED","02546892"
"103576","56","ORAL","ADDED","02547112"
"103593","56","ORAL","ADDED","02547309"
"103635","93","DISINFECTANT (Domestic)","ADDED","02547422"
"102253","56","ORAL","ADDED","02533545"
"103634","93","DISINFECTANT (Domestic)","ADDED","02547414"
"103634","2","DISINFECTANT (Barn)","ADDED","02547414"
"43782","56","ORAL","ADDED","02091380"
"103541","49","INTRAVENOUS","ADDED","02546736"
"103545","22","INTRAMUSCULAR","ADDED","02546779"
