drug_code,mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
19357,02184486,PROCAINAMIDE HYDROCHLORIDE INJECTION USP (chlorhydrate de procaïnamide 1000 mg par 10 mL solution injectable fiole) SANDOZ CANADA INCORPORATED,chlorhydrate de procaïnamide 1000 mg par 10 mL solution injectable fiole,procaïnamide,"mp_fr_description: ""PROCAINAMIDE HYDROCHLORIDE INJ.̲ USP (chlorhydrate de procaïnamide 1000 mg par 10 mL solution injectable fiole) SANDOZ CANADA INCORPORATED"" -> ""PROCAINAMIDE HYDROCHLORIDE INJE̲C̲T̲I̲O̲N̲ USP (chlorhydrate de procaïnamide 1000 mg par 10 mL solution injectable fiole) SANDOZ CANADA INCORPORATED"""
43813,02103613,APO-DOMPERIDONE (dompéridone (maléate de dompéridone) 10 mg comprimé oral) APOTEX INC,dompéridone (maléate de dompéridone) 10 mg comprimé oral,dompéridone,"mp_fr_description: ""APO-DOMPERIDONE ̲-̲ ̲T̲A̲B̲ ̲1̲0̲M̲G̲ (dompéridone (maléate de dompéridone) 10 mg comprimé oral) APOTEX INC"" -> ""APO-DOMPERIDONE (dompéridone (maléate de dompéridone) 10 mg comprimé oral) APOTEX INC"""
50823,02231493,XALATAN (latanoprost 50 mcg par mL gouttes ophtalmiques) BGP PHARMA ULC,latanoprost 50 mcg par mL gouttes ophtalmiques,latanoprost,"mp_fr_description: ""XALATAN (latanoprost 50 mcg par mL gouttes ophtalmiques) U̲P̲J̲O̲H̲N̲ ̲C̲A̲N̲A̲D̲A ULC"" -> ""XALATAN (latanoprost 50 mcg par mL gouttes ophtalmiques) B̲G̲P̲ ̲P̲H̲A̲R̲M̲A ULC"""
63248,02239766,VIAGRA (sildénafil (citrate de sildénafil) 25 mg comprimé oral) BGP PHARMA ULC,sildénafil (citrate de sildénafil) 25 mg comprimé oral,sildénafil,"mp_fr_description: ""VIAGRA (sildénafil (citrate de sildénafil) 25 mg comprimé oral) U̲P̲J̲O̲H̲N̲ ̲C̲A̲N̲A̲D̲A ULC"" -> ""VIAGRA (sildénafil (citrate de sildénafil) 25 mg comprimé oral) B̲G̲P̲ ̲P̲H̲A̲R̲M̲A ULC"""
63249,02239767,VIAGRA (sildénafil (citrate de sildénafil) 50 mg comprimé oral) BGP PHARMA ULC,sildénafil (citrate de sildénafil) 50 mg comprimé oral,sildénafil,"mp_fr_description: ""VIAGRA (sildénafil (citrate de sildénafil) 50 mg comprimé oral) U̲P̲J̲O̲H̲N̲ ̲C̲A̲N̲A̲D̲A ULC"" -> ""VIAGRA (sildénafil (citrate de sildénafil) 50 mg comprimé oral) B̲G̲P̲ ̲P̲H̲A̲R̲M̲A ULC"""
63250,02239768,VIAGRA (sildénafil (citrate de sildénafil) 100 mg comprimé oral) BGP PHARMA ULC,sildénafil (citrate de sildénafil) 100 mg comprimé oral,sildénafil,"mp_fr_description: ""VIAGRA (sildénafil (citrate de sildénafil) 100 mg comprimé oral) U̲P̲J̲O̲H̲N̲ ̲C̲A̲N̲A̲D̲A ULC"" -> ""VIAGRA (sildénafil (citrate de sildénafil) 100 mg comprimé oral) B̲G̲P̲ ̲P̲H̲A̲R̲M̲A ULC"""
70807,02246619,XALACOM (latanoprost 50 mcg par mL et timolol (maléate de timolol) 5 mg par mL gouttes ophtalmiques) BGP PHARMA ULC,latanoprost 50 mcg par mL et timolol (maléate de timolol) 5 mg par mL gouttes ophtalmiques,latanoprost et timolol,"mp_fr_description: ""XALACOM (latanoprost 50 mcg par mL et timolol (maléate de timolol) 5 mg par mL gouttes ophtalmiques) U̲P̲J̲O̲H̲N̲ ̲C̲A̲N̲A̲D̲A ULC"" -> ""XALACOM (latanoprost 50 mcg par mL et timolol (maléate de timolol) 5 mg par mL gouttes ophtalmiques) B̲G̲P̲ ̲P̲H̲A̲R̲M̲A ULC"""
76846,02282844,PAROXETINE (paroxétine (chlorhydrate de paroxétine hémihydraté) 10 mg comprimé oral) SANIS HEALTH INC,paroxétine (chlorhydrate de paroxétine) 10 mg comprimé oral,paroxétine,"mp_fr_description: ""PAROXETINE (paroxétine (chlorhydrate de paroxétine) 10 mg comprimé oral) SANIS HEALTH INC"" -> ""PAROXETINE (paroxétine (chlorhydrate de paroxétine ̲h̲é̲m̲i̲h̲y̲d̲r̲a̲t̲é̲) 10 mg comprimé oral) SANIS HEALTH INC"""
76847,02282852,PAROXETINE (paroxétine (chlorhydrate de paroxétine hémihydraté) 20 mg comprimé oral) SANIS HEALTH INC,paroxétine (chlorhydrate de paroxétine) 20 mg comprimé oral,paroxétine,"mp_fr_description: ""PAROXETINE (paroxétine (chlorhydrate de paroxétine) 20 mg comprimé oral) SANIS HEALTH INC"" -> ""PAROXETINE (paroxétine (chlorhydrate de paroxétine ̲h̲é̲m̲i̲h̲y̲d̲r̲a̲t̲é̲) 20 mg comprimé oral) SANIS HEALTH INC"""
76848,02282860,PAROXETINE (paroxétine (chlorhydrate de paroxétine hémihydraté) 30 mg comprimé oral) SANIS HEALTH INC,paroxétine (chlorhydrate de paroxétine) 30 mg comprimé oral,paroxétine,"mp_fr_description: ""PAROXETINE (paroxétine (chlorhydrate de paroxétine) 30 mg comprimé oral) SANIS HEALTH INC"" -> ""PAROXETINE (paroxétine (chlorhydrate de paroxétine ̲h̲é̲m̲i̲h̲y̲d̲r̲a̲t̲é̲) 30 mg comprimé oral) SANIS HEALTH INC"""
80855,02323052,INSPRA (éplérénone 25 mg comprimé oral) BGP PHARMA ULC,éplérénone 25 mg comprimé oral,éplérénone,"mp_fr_description: ""INSPRA (éplérénone 25 mg comprimé oral) U̲P̲J̲O̲H̲N̲ ̲C̲A̲N̲A̲D̲A ULC"" -> ""INSPRA (éplérénone 25 mg comprimé oral) B̲G̲P̲ ̲P̲H̲A̲R̲M̲A ULC"""
80856,02323060,INSPRA (éplérénone 50 mg comprimé oral) BGP PHARMA ULC,éplérénone 50 mg comprimé oral,éplérénone,"mp_fr_description: ""INSPRA (éplérénone 50 mg comprimé oral) U̲P̲J̲O̲H̲N̲ ̲C̲A̲N̲A̲D̲A ULC"" -> ""INSPRA (éplérénone 50 mg comprimé oral) B̲G̲P̲ ̲P̲H̲A̲R̲M̲A ULC"""
87152,02385910,OLANZAPINE (olanzapine 20 mg comprimé oral) SIVEM PHARMACEUTICALS ULC,olanzapine 20 mg comprimé oral,olanzapine,ADDED
89119,02406497,PMS-VANCOMYCIN (vancomycine (chlorhydrate de vancomycine) 125 mg capsule orale) PHARMASCIENCE INC,vancomycine (chlorhydrate de vancomycine) 125 mg capsule orale,vancomycine,"mp_fr_description: ""V̲A̲N̲C̲O̲M̲Y̲C̲I̲N̲ ̲H̲Y̲D̲R̲O̲C̲H̲L̲O̲R̲I̲D̲E̲ ̲C̲A̲P̲S̲U̲L̲E̲S̲,̲ ̲U̲S̲P̲ (vancomycine (chlorhydrate de vancomycine) 125 mg capsule orale) S̲T̲R̲I̲D̲E̲S̲ ̲P̲H̲A̲R̲M̲A̲ ̲C̲A̲N̲A̲D̲A̲ INC"" -> ""P̲M̲S̲-̲V̲A̲N̲C̲O̲M̲Y̲C̲I̲N̲ (vancomycine (chlorhydrate de vancomycine) 125 mg capsule orale) P̲H̲A̲R̲M̲A̲S̲C̲I̲E̲N̲C̲E̲ INC"""
89120,02406500,PMS-VANCOMYCIN (vancomycine (chlorhydrate de vancomycine) 250 mg capsule orale) PHARMASCIENCE INC,vancomycine (chlorhydrate de vancomycine) 250 mg capsule orale,vancomycine,"mp_fr_description: ""V̲A̲N̲C̲O̲M̲Y̲C̲I̲N̲ ̲H̲Y̲D̲R̲O̲C̲H̲L̲O̲R̲I̲D̲E̲ ̲C̲A̲P̲S̲U̲L̲E̲S̲,̲ ̲U̲S̲P̲ (vancomycine (chlorhydrate de vancomycine) 250 mg capsule orale) S̲T̲R̲I̲D̲E̲S̲ ̲P̲H̲A̲R̲M̲A̲ ̲C̲A̲N̲A̲D̲A̲ INC"" -> ""P̲M̲S̲-̲V̲A̲N̲C̲O̲M̲Y̲C̲I̲N̲ (vancomycine (chlorhydrate de vancomycine) 250 mg capsule orale) P̲H̲A̲R̲M̲A̲S̲C̲I̲E̲N̲C̲E̲ INC"""
90899,02424282,"LEVONORGESTREL AND ETHINYL ESTRADIOL TABLETS, 0.1 MG/0.02 MG (éthinylestradiol 20 mcg et lévonorgestrel 100 mcg comprimé oral) LUPIN LIMITED",éthinylestradiol 20 mcg et lévonorgestrel 100 mcg comprimé oral,éthinylestradiol et lévonorgestrel,ADDED
90900,02424290,"LEVONORGESTREL AND ETHINYL ESTRADIOL TABLETS, 0.1 MG/0.02 MG (éthinylestradiol 20 mcg et lévonorgestrel 100 mcg comprimé oral avec lactose comprimé oral) LUPIN LIMITED",éthinylestradiol 20 mcg et lévonorgestrel 100 mcg comprimé oral avec lactose comprimé oral,éthinylestradiol et lévonorgestrel,ADDED
95640,02468042,GALAFOLD (migalastat (chlorhydrate de migalastat) 123 mg capsule orale) AMICUS THERAPEUTICS CANADA INC.,migalastat (chlorhydrate de migalastat) 123 mg capsule orale,migalastat,"mp_fr_description: ""GALAFOLD (migalastat (chlorhydrate de migalastat) 123 mg capsule orale) AMICUS THERAPEUTICS U̲K̲ ̲L̲T̲D̲"" -> ""GALAFOLD (migalastat (chlorhydrate de migalastat) 123 mg capsule orale) AMICUS THERAPEUTICS C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
96104,02471833,"EQUATE AFTER SUN GEL WITH LIDOCAINE (lidocaïne (chlorhydrate de lidocaïne) 0,8 % gel cutané) FRUIT OF THE EARTH, INC","lidocaïne (chlorhydrate de lidocaïne) 0,8 % gel cutané",lidocaïne,"mp_fr_description: ""EQUATE AFTER SUN GEL WITH LIDOCAINE (chlorhydrate de lidocaïne 0,8 % gel cutané) FRUIT OF THE EARTH, INC"" -> ""EQUATE AFTER SUN GEL WITH LIDOCAINE (l̲i̲d̲o̲c̲a̲ï̲n̲e̲ ̲(̲chlorhydrate de lidocaïne)̲ 0,8 % gel cutané) FRUIT OF THE EARTH, INC""
ntp_code: ""9013200"" -> ""9014894""
ntp_fr_description: ""chlorhydrate de lidocaïne 0,8 % gel cutané"" -> ""l̲i̲d̲o̲c̲a̲ï̲n̲e̲ ̲(̲chlorhydrate de lidocaïne)̲ 0,8 % gel cutané"""
98190,02491893,LUPIN-PROPRANOLOL LA (chlorhydrate de propranolol 60 mg capsule orale à libération prolongée) LUPIN PHARMA CANADA LIMITED,chlorhydrate de propranolol 60 mg capsule orale à libération prolongée,propranolol,ADDED
98191,02491907,LUPIN-PROPRANOLOL LA (chlorhydrate de propranolol 80 mg capsule orale à libération prolongée) LUPIN PHARMA CANADA LIMITED,chlorhydrate de propranolol 80 mg capsule orale à libération prolongée,propranolol,ADDED
98192,02491915,LUPIN-PROPRANOLOL LA (chlorhydrate de propranolol 120 mg capsule orale à libération prolongée) LUPIN PHARMA CANADA LIMITED,chlorhydrate de propranolol 120 mg capsule orale à libération prolongée,propranolol,ADDED
