drug_code,drug_identification_number,current_brand_name,previous_brand_name
"27183","02049260","REFRESH PLUS","REFRESH PLUS DPS 5MG/ML"
"37198","02219336","DIPHENIST","DIPHENIST 50MG/ML"
"5121","00579408","TEARS PLUS","TEARS PLUS 1.4%"
"6450","00664065","FECTOLIME","FECTOLIME LIQ 4.8%"
"74296","02257726","TEVA-METFORMIN","ACT METFORMIN"
"74297","02257734","TEVA-METFORMIN","ACT METFORMIN"
"89602","02411407","RISEDRONATE","RISEDRONATE-35"
"91579","02431378","PHENYTOIN SODIUM INJECTION USP","PHENYTOIN SODIUM INJECTION, USP"
"95071","02462842","EURO-CHLORHEXIDINE","CHLORHEXIDINE"
"43367","02223511","APO-NORTRIPTYLINE","APO-NORTRIPTYLINE - CAP 10MG"
"43368","02223538","APO-NORTRIPTYLINE","APO-NORTRIPTYLINE - CAP 25MG"
"92663","02442272","LUXA-D","VITAMIN D3-SOFTGEL CAPSULES 10000 IU"
"79273","02307057","PMS-IBUPROFEN           (CAPLETS)","PMS-IBUPROFEN (CAPLETS)"
"78512","02299755","TARO-QUINAPRIL","RAN-QUINAPRIL"
"78513","02299763","TARO-QUINAPRIL","RAN-QUINAPRIL"
"90441","02419785","TARO-RABEPRAZOLE EC","RAN-RABEPRAZOLE EC"
"90442","02419793","TARO-RABEPRAZOLE EC","RAN-RABEPRAZOLE EC"
"102351","02534606","FARMAFEN","KETOMED"
