drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"66907","active","active","02243045","XEDITON PHARMACEUTICALS INC","ASTRAZENECA CANADA INC"
"9820","active","active","00210889","ABBVIE CORPORATION","ALLERGAN INC"
"12653","active","active","01926780","SEARCHLIGHT PHARMA INC","ERFA CANADA 2012 INC"
"13159","active","active","01926756","SEARCHLIGHT PHARMA INC","ERFA CANADA 2012 INC"
"12425","active","active","01926772","SEARCHLIGHT PHARMA INC","ERFA CANADA 2012 INC"
"73377","active","active","02248992","XEDITON PHARMACEUTICALS INC","ASTRAZENECA CANADA INC"
"73378","active","active","02248993","XEDITON PHARMACEUTICALS INC","ASTRAZENECA CANADA INC"
"72399","active","active","02248077","ZR PHARMA& GMBH","HOFFMANN-LA ROCHE LIMITED"
"62089","active","active","02238660","XEDITON PHARMACEUTICALS INC","ASTRAZENECA CANADA INC"
"80140","active","active","02315890","ABBVIE CORPORATION","ALLERGAN INC"
"18742","active","active","02148382","BAUSCH & LOMB INC","BAUSCH HEALTH, CANADA INC."
"83209","active","active","02346672","MEDEXUS INC","MEDEXUS PHARMACEUTICALS INC"
"84695","active","active","02361914","PIERREL PHARMA S.R.L.","PIERREL PHARMA S.P.A."
"84694","active","active","02361906","PIERREL PHARMA S.R.L.","PIERREL PHARMA S.P.A."
"94696","active","active","02459655","MEDEXUS INC","MEDEXUS PHARMACEUTICALS INC"
"97200","active","active","02481553","SERB SAS","IPSEN BIOPHARMACEUTICALS CANADA INC"
"82513","active","active","02339536","PIERREL S.P.A.","PIERREL PHARMA S.P.A."
"82514","active","active","02339544","PIERREL S.P.A.","PIERREL PHARMA S.P.A."
"18750","active","active","02148498","BAUSCH & LOMB INC","BAUSCH HEALTH, CANADA INC."
"18758","active","active","02148536","BAUSCH & LOMB INC","BAUSCH HEALTH, CANADA INC."
"11970","dormant","dormant","01926713","SEARCHLIGHT PHARMA INC","ERFA CANADA 2012 INC"
"14767","dormant","dormant","01926764","SEARCHLIGHT PHARMA INC","ERFA CANADA 2012 INC"
"19307","dormant","dormant","02148331","BAUSCH & LOMB INC","BAUSCH HEALTH, CANADA INC."
"92874","approved","approved","02443953","STERIMAX INC","STRIDES PHARMA CANADA INC"
"96002","approved","approved","02470969","ARXADA, LLC","LONZA LLC"
"99201","approved","approved","02502437","GESTIONS AGRI-MART INC","ENTREPRISES SI-MART INC"
