drug_code,drug_identification_number,current_brand_name,previous_brand_name
"11030","00893757","PRAVACHOL","PRAVACHOL - TAB 20MG"
"198","00013617","OVOL DROPS","OVOL DROPS 40MG"
"43329","02222051","PRAVACHOL","PRAVACHOL - TAB 40MG"
"75330","02267918","TARO-ZOPICLONE","RAN-ZOPICLONE"
"75331","02267926","TARO-ZOPICLONE","RAN-ZOPICLONE"
"77733","02291967","APO-ONDANSETRON","ONDANSETRON"
"8602","00751170","APO-METOPROLOL (TYPE L)","APO-METOPROLOL (TYPE L) TAB 100MG"
"8603","00749354","APO METOPROLOL (TYPE L)","APO METOPROLOL (TYPE L) TAB 50MG"
"86568","02379813","TARO-CLOPIDOGREL","RAN-CLOPIDOGREL"
"89954","02414910","COMET DISINFECTANT CLEANER NETTOYANT DÉSINFECTANT MULTI-SURFACE","OLD DUTCH BIODÉGRADABLE DISINFECTANT CLEANER NETTOYANT DÉSINFECTANT MULTI SURFACE"
"90668","02421984","LIDOCAINE HYDROCHLORIDE INJECTION USP","LIDOCAINE HCL INJECTION"
"90670","02422018","LIDOCAINE HYDROCHLORIDE INJECTION USP","LIDOCAINE HCL INJECTION WITH PRESERVATIVE"
"90671","02421992","LIDOCAINE HYDROCHLORIDE INJECTION USP","LIDOCAINE HCL INJECTION"
"90672","02422026","LIDOCAINE HYDROCHLORIDE INJECTION USP","LIDOCAINE HCL INJECTION WITH PRESERVATIVE"
"93422","02448548","DISINFECT IT - RTU","BACTICLEAN RTU DISINFECTANT"
"95633","02467976","DEXMEDETOMIDINE HYDROCHLORIDE FOR INJECTION, USP","DEXMEDETOMIDINE HYDROCHLORIDE FOR INJECTION"
"95793","02469243","PMS-ESCITALOPRAM","PHARMA-ESCITALOPRAM"
"95794","02469251","PMS-ESCITALOPRAM","PHARMA-ESCITALOPRAM"
"11029","00893749","PRAVACHOL","PRAVACHOL - TAB 10MG"
"67456","02243538","APO-LABETALOL","APO-LABETALOL TABLETS"
"67457","02243539","APO-LABETALOL","APO-LABETALOL TABLETS"
"84193","02356805","JAMP-ZOPICLONE TABLETS","JAMP-ZOPICLONE"
"85742","02372282","TARO-LETROZOLE","RAN-LETROZOLE"
"84192","02356791","JAMP-ZOPICLONE TABLETS","JAMP-ZOPICLONE"
"94139","02454696","TARO-FENOFIBRATE E","SUNPHARMA FENOFIBRATE E"
