drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"99116","49","INTRAVENOUS","ADDED","02501554"
"99091","49","INTRAVENOUS","ADDED","02501287"
"99178","104","TOPICAL (HOUSEHOLD)","ADDED","02502208"
"99087","29","INHALATION","ADDED","02501244"
"99218","49","INTRAVENOUS","ADDED","02502615"
"99185","93","DISINFECTANT (Domestic)","ADDED","02502275"
"99217","49","INTRAVENOUS","ADDED","02502607"
"98781","104","TOPICAL (HOUSEHOLD)","ADDED","02498006"
"99067","8","DISINFECTANT (Food Premises)","ADDED","02501023"
"99160","8","DISINFECTANT (Food Premises)","ADDED","02502003"
"99119","94","DISINFECTANT (Institutional/Industrial)","ADDED","02501589"
"99244","49","INTRAVENOUS","ADDED","02502917"
"99099","94","DISINFECTANT (Institutional/Industrial)","ADDED","02501376"
"99094","56","ORAL","ADDED","02501317"
"99205","8","DISINFECTANT (Food Premises)","ADDED","02502496"
"99041","56","ORAL","ADDED","02500752"
"99201","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02502437"
"99176","8","DISINFECTANT (Food Premises)","ADDED","02502186"
"99097","70","TOPICAL","ADDED","02501341"
"99203","94","DISINFECTANT (Institutional/Industrial)","ADDED","02502453"
"94103","2","DISINFECTANT (Barn)","ADDED","02454459"
"76537","30","DISINFECTANT (Medical Instruments)","REMOVED","02279789"
"8606","8","DISINFECTANT (Food Premises)","ADDED","00638862"
"99073","8","DISINFECTANT (Food Premises)","ADDED","02501082"
"99089","49","INTRAVENOUS","ADDED","02501260"
"99194","49","INTRAVENOUS","ADDED","02502364"
"99189","66","SUBLINGUAL","ADDED","02502313"
"99207","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02502518"
"99205","93","DISINFECTANT (Domestic)","ADDED","02502496"
"99200","56","ORAL","ADDED","02502429"
"99190","66","SUBLINGUAL","ADDED","02502321"
"99243","104","TOPICAL (HOUSEHOLD)","ADDED","02502909"
"99176","93","DISINFECTANT (Domestic)","ADDED","02502186"
"99119","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02501589"
"99160","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02502003"
"99111","49","INTRAVENOUS","ADDED","02501481"
"99084","2","DISINFECTANT (Barn)","ADDED","02501201"
"98569","70","TOPICAL","ADDED","02495791"
"99219","22","INTRAMUSCULAR","ADDED","02502623"
"99067","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02501023"
"99141","104","TOPICAL (HOUSEHOLD)","ADDED","02501805"
"99173","49","INTRAVENOUS","ADDED","02502143"
"99142","49","INTRAVENOUS","ADDED","02501813"
"99192","66","SUBLINGUAL","ADDED","02502356"
"99065","2","DISINFECTANT (Barn)","ADDED","02501007"
"99106","49","INTRAVENOUS","ADDED","02501430"
"99206","56","ORAL","ADDED","02502488"
"99107","49","INTRAVENOUS","ADDED","02501449"
"99118","94","DISINFECTANT (Institutional/Industrial)","ADDED","02501570"
"99064","70","TOPICAL","ADDED","02500973"
"99176","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02502186"
"99119","93","DISINFECTANT (Domestic)","ADDED","02501589"
"99201","8","DISINFECTANT (Food Premises)","ADDED","02502437"
"99207","94","DISINFECTANT (Institutional/Industrial)","ADDED","02502518"
"99105","2","DISINFECTANT (Barn)","ADDED","02501422"
"99216","49","INTRAVENOUS","ADDED","02502593"
"99205","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02502496"
"99195","49","INTRAVENOUS","ADDED","02502372"
