drug_code,active_ingredient_code,status,extract,ingredient,strength,strength_unit,drug_identification_number
"12492","309","Changed","inactive","IRON (FERROUS SUCCINATE)","2.5","MG","00879851"
"100821","22541","Changed","approved","APREMILAST","30","MG","02518929"
"101758","22541","Changed","approved","APREMILAST","30","MG","02528347"
"102171","8890","ADDED","approved","ALCOHOL ANHYDROUS","35.5","%","02532697"
"102195","23805","ADDED","approved","TIRZEPATIDE","15","MG","02532956"
"102178","5325","ADDED","approved","LEVOTHYROXINE SODIUM","0.3","MG","02532778"
"102196","331","ADDED","approved","ZINC (ZINC SULFATE)","1","MG","02532972"
"100820","22541","ADDED","active","APREMILAST","30","MG","02518910"
"102140","20128","ADDED","approved","MICAFUNGIN SODIUM","100","MG","02532360"
"100688","22541","ADDED","approved","APREMILAST","30","MG","02517493"
"101351","7532","ADDED","approved","HYDROCORTISONE","10","MG","02524465"
"101315","22541","Changed","approved","APREMILAST","30","MG","02524112"
"101092","22541","Changed","approved","APREMILAST","30","MG","02521725"
"12298","309","Changed","inactive","IRON (IRON GLUTARATE)",".5","MG","01901117"
"101924","22274","ADDED","approved","TOFACITINIB (TOFACITINIB CITRATE)","10","MG","02530015"
"102170","12209","ADDED","approved","MIRTAZAPINE","15","MG","02532689"
"102175","118","ADDED","approved","MYCOPHENOLATE MOFETIL","200","MG","02532735"
"100321","21372","ADDED","approved","LURASIDONE HYDROCHLORIDE","120","MG","02514036"
"101191","22274","ADDED","active","TOFACITINIB (TOFACITINIB CITRATE)","5","MG","02522799"
"101475","22541","ADDED","approved","APREMILAST","30","MG","02525747"
"102181","5325","ADDED","approved","LEVOTHYROXINE SODIUM","0.6","MG","02532808"
"101828","22541","Changed","approved","APREMILAST","30","MG","02529092"
"22943","4803","Changed","inactive","CALCIUM (CALCIUM CITRATE)","20","MG","01959840"
"101316","22541","Changed","approved","APREMILAST","30","MG","02524120"
"65824","14088","Changed","active","MESALAZINE","1000","MG","02242146"
"102204","1241","ADDED","approved","KETOROLAC TROMETHAMINE","30","MG","02533022"
"102171","2730","ADDED","approved","DIDECYL DIMETHYL AMMONIUM CHLORIDE","0.004","%","02532697"
"102161","23801","ADDED","approved","UBROGEPANT","100","MG","02532581"
"102160","23802","ADDED","approved","MAVACAMTEN","15","MG","02532573"
"102214","47","ADDED","approved","ACETIC ACID","10","%","02533138"
"102215","7218","ADDED","approved","IODINE","1","%","02533146"
"102159","23802","ADDED","approved","MAVACAMTEN","10","MG","02532565"
"86073","11163","ADDED","active","TIMOLOL (TIMOLOL MALEATE)","0.5","%","02375311"
"102223","390","ADDED","approved","TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID","0.5","%","02533227"
"102223","727","ADDED","approved","TITANIUM DIOXIDE","2.5","%","02533227"
"100052","22274","ADDED","approved","TOFACITINIB (TOFACITINIB CITRATE)","5","MG","02511304"
"101759","22541","ADDED","approved","APREMILAST","30","MG","02528355"
"102212","8565","ADDED","approved","TOBRAMYCIN (TOBRAMYCIN SULFATE)","40","MG","02533103"
"102126","19249","ADDED","approved","SUNITINIB (SUNITINIB MALATE)","12.5","MG","02532190"
"12305","331","Changed","inactive","ZINC (ZINC GLUTARATE)",".5","MG","01900625"
"101816","22541","Changed","active","APREMILAST","30","MG","02528967"
"12313","331","Changed","inactive","ZINC (ZINC SUCCINATE)",".5","MG","00849871"
"100687","22541","Changed","approved","APREMILAST","30","MG","02517485"
"102184","5325","ADDED","approved","LEVOTHYROXINE SODIUM","1","MG","02532832"
"102177","5325","ADDED","approved","LEVOTHYROXINE SODIUM","0.2","MG","02532751"
