drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"65791","active","active","02242115","KNIGHT THERAPEUTICS INC.","NOVARTIS PHARMACEUTICALS CANADA INC"
"65792","active","active","02242116","KNIGHT THERAPEUTICS INC.","NOVARTIS PHARMACEUTICALS CANADA INC"
"65793","active","active","02242117","KNIGHT THERAPEUTICS INC.","NOVARTIS PHARMACEUTICALS CANADA INC"
"65794","active","active","02242118","KNIGHT THERAPEUTICS INC.","NOVARTIS PHARMACEUTICALS CANADA INC"
"13121","active","active","01968300","ABBVIE CORPORATION","ALLERGAN INC"
"3453","active","active","00465283","CHEPLAPHARM ARZNEIMITTEL GMBH","BRISTOL-MYERS SQUIBB CANADA"
"69257","active","active","02245240","KNIGHT THERAPEUTICS INC.","NOVARTIS PHARMACEUTICALS CANADA INC"
"71123","active","active","02246896","ABBVIE CORPORATION","ALLERGAN INC"
"85557","active","active","02370417","ABBVIE CORPORATION","ALLERGAN INC"
"80233","active","active","02316838","ABBVIE CORPORATION","ALLERGAN INC"
"73086","active","active","02248722","ABBVIE CORPORATION","ALLERGAN INC"
"89901","active","active","02414422","ALCHEMEE, LLC","THE PROACTIV COMPANY, LLC"
"85428","active","active","02369362","ABBVIE CORPORATION","ALLERGAN INC"
"96764","active","active","02476835","ABBVIE CORPORATION","ALLERGAN INC"
"18510","active","active","02112795","ABBVIE CORPORATION","APTALIS PHARMA CANADA ULC"
"18509","active","active","02112809","ABBVIE CORPORATION","APTALIS PHARMA CANADA ULC"
"18214","active","active","02112787","ABBVIE CORPORATION","APTALIS PHARMA CANADA ULC"
"18212","active","active","02112760","ABBVIE CORPORATION","APTALIS PHARMA CANADA ULC"
"65824","active","active","02242146","ABBVIE CORPORATION","APTALIS PHARMA CANADA ULC"
"66031","active","active","02242320","PHARMASCIENCE INC","PENDOPHARM DIVISION OF PHARMASCIENCE INC"
"82129","active","active","02335700","PHARMASCIENCE INC","PENDOPHARM DIVISION OF PHARMASCIENCE INC"
"82130","active","active","02335719","PHARMASCIENCE INC","PENDOPHARM DIVISION OF PHARMASCIENCE INC"
"95105","active","active","02463148","ADVANZ PHARMA CANADA INC.","INTERCEPT PHARMA CANADA INC."
"95104","active","active","02463121","ADVANZ PHARMA CANADA INC.","INTERCEPT PHARMA CANADA INC."
"13907","active","active","01966294","BAUSCH & LOMB INC","BAUSCH HEALTH, CANADA INC."
"88392","active","active","02399016","ABBVIE CORPORATION","ALLERGAN INC"
"88393","active","active","02399024","ABBVIE CORPORATION","ALLERGAN INC"
"88391","active","active","02399008","ABBVIE CORPORATION","ALLERGAN INC"
"88390","active","active","02398990","ABBVIE CORPORATION","ALLERGAN INC"
"95811","active","active","02469332","MEDEXUS INC","MEDEXUS PHARMACEUTICALS INC"
"95721","active","active","02468735","KNIGHT THERAPEUTICS INC.","ELVIUM LIFE SCIENCES"
"89090","active","active","02406179","ALCHEMEE, LLC","THE PROACTIV COMPANY, LLC"
"86758","active","active","02381729","KNIGHT THERAPEUTICS INC.","ELVIUM LIFE SCIENCES"
"86757","active","active","02381710","KNIGHT THERAPEUTICS INC.","ELVIUM LIFE SCIENCES"
"92850","active","active","02443759","ABBVIE CORPORATION","ALLERGAN INC"
"92846","active","active","02443724","ABBVIE CORPORATION","ALLERGAN INC"
"92847","active","active","02443732","ABBVIE CORPORATION","ALLERGAN INC"
"92848","active","active","02443740","ABBVIE CORPORATION","ALLERGAN INC"
"82131","dormant","dormant","02335727","PHARMASCIENCE INC","PENDOPHARM DIVISION OF PHARMASCIENCE INC"
"102142","approved","approved","02532387","DR REDDY'S LABORATORIES LTD","DR. REDDY'S LABORATORIES CANADA INC."
"87800","approved","approved","02392755","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC."
