"mp_code"|"formal_description_mp"|"formal_description_ntp"|"ntp_code"
"01926543"|"SECTRAL [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] SANOFI-AVENTIS CANADA INC"|"acebutolol (acebutolol hydrochloride) 100 mg oral tablet"|9000015
"01926551"|"SECTRAL [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] SANOFI-AVENTIS CANADA INC"|"acebutolol (acebutolol hydrochloride) 200 mg oral tablet"|9000016
"01926578"|"SECTRAL [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] SANOFI-AVENTIS CANADA INC"|"acebutolol (acebutolol hydrochloride) 400 mg oral tablet"|9000017
"02147602"|"APO-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] APOTEX INC"|"acebutolol (acebutolol hydrochloride) 100 mg oral tablet"|9000015
"02147610"|"APO-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] APOTEX INC"|"acebutolol (acebutolol hydrochloride) 200 mg oral tablet"|9000016
"02147629"|"APO-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] APOTEX INC"|"acebutolol (acebutolol hydrochloride) 400 mg oral tablet"|9000017
"02164396"|"ACEBUTOLOL-100-TAB 100MG [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] PRO DOC LIMITEE"|"acebutolol (acebutolol hydrochloride) 100 mg oral tablet"|9000015
"02164418"|"ACEBUTOLOL-200 - TAB 200MG [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] PRO DOC LIMITEE"|"acebutolol (acebutolol hydrochloride) 200 mg oral tablet"|9000016
"02164426"|"ACEBUTOLOL - 400 - TAB 400MG [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] PRO DOC LIMITEE"|"acebutolol (acebutolol hydrochloride) 400 mg oral tablet"|9000017
"02204517"|"TEVA-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] TEVA CANADA LIMITED"|"acebutolol (acebutolol hydrochloride) 100 mg oral tablet"|9000015
"02204525"|"TEVA-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] TEVA CANADA LIMITED"|"acebutolol (acebutolol hydrochloride) 200 mg oral tablet"|9000016
"02204533"|"TEVA-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] TEVA CANADA LIMITED"|"acebutolol (acebutolol hydrochloride) 400 mg oral tablet"|9000017
"02237721"|"MYLAN-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|"acebutolol (acebutolol hydrochloride) 100 mg oral tablet"|9000015
"02237722"|"MYLAN-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|"acebutolol (acebutolol hydrochloride) 200 mg oral tablet"|9000016
"02237723"|"MYLAN-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|"acebutolol (acebutolol hydrochloride) 400 mg oral tablet"|9000017
"02237885"|"MYLAN-ACEBUTOLOL (TYPE S) [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|"acebutolol (acebutolol hydrochloride) 100 mg oral tablet"|9000015
"02237886"|"MYLAN-ACEBUTOLOL (TYPE S) [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|"acebutolol (acebutolol hydrochloride) 200 mg oral tablet"|9000016
"02237887"|"MYLAN-ACEBUTOLOL (TYPE S) [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|"acebutolol (acebutolol hydrochloride) 400 mg oral tablet"|9000017
"02257599"|"SANDOZ ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] SANDOZ CANADA INCORPORATED"|"acebutolol (acebutolol hydrochloride) 100 mg oral tablet"|9000015
"02257602"|"SANDOZ ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] SANDOZ CANADA INCORPORATED"|"acebutolol (acebutolol hydrochloride) 200 mg oral tablet"|9000016
"02257610"|"SANDOZ ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] SANDOZ CANADA INCORPORATED"|"acebutolol (acebutolol hydrochloride) 400 mg oral tablet"|9000017
