tm_code,tm_formal_name,tm_fr_description,changes
8002154,potassium phosphate dibasic and potassium phosphate monobasic,phosphate de potassium dibasique et phosphate de potassium monobasique,ADDED
8002161,sodium bicarbonate,bicarbonate de sodium,ADDED
8001844,magnesium chloride,chlorure de magnésium,ADDED
8001475,follitropin alfa,follitropine alfa,"tm_status_effective_time: ""20031229"" -> ""20031230"""
8002582,brexucabtagene autoleucel,bréxucabtagène autoleucel,ADDED
8002452,cytarabine and daunorubicin,cytarabine et daunorubicine,ADDED
8001757,doxorubicin,doxorubicine,ADDED
8002584,lisocabtagene maraleucel,lisocabtagène maraleucel,ADDED
8001004,benzoyl peroxide and salicylic acid,peroxyde de benzoyle et acide salicylique,ADDED
8001389,insulin degludec and liraglutide,insuline dégludec et liraglutide,DELETED
8002512,landiolol,landiolol,DELETED
8002160,sodium acetate,acétate de sodium,ADDED
8002215,amphotericin B,amphotéricine B,ADDED
8002049,palivizumab,palivizumab,"tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""20161103"" -> ""20260319"""
8001476,follitropin beta,follitropine bêta,ADDED
8002593,chloroprocaine,chloroprocaïne,ADDED
8001688,teriparatide,tériparatide,"tm_status_effective_time: ""20040715"" -> ""20200708"""
3a3af314a533f54e0cd5a4ea02307da7,pegunigalsidase alfa,pégunigalsidase alfa,ADDED
8002282,fibrinogen human and thrombin human,fibrinogène humaine et thrombine humaine,ADDED
8001239,tipranavir,tipranavir,DELETED
8001615,chloroxylenol,chloroxylénol,ADDED
8002278,coagulation factor ii (human) and coagulation factor IX human and coagulation factor vii (human) and coagulation factor x (human) and protein c and protein s,facteur II de coagulation humain et facteur IX de coagulation humain et facteur VII de coagulation humain et facteur X de coagulation humain et protéine c et protéine s,ADDED
8001579,benzethonium,benzéthonium,ADDED
8002581,axicabtagene ciloleucel,axicabtagène ciloleucel,ADDED
8002595,etranacogene dezaparvovec,étranacogène dézaparvovec,ADDED
8001976,triclosan,triclosan,ADDED
8002047,paclitaxel,paclitaxel,ADDED
8001870,potassium chloride,chlorure de potassium,ADDED
8002403,lurbinectedin,lurbinectédine,DELETED
bd7a2adbe63fe6bb23ec29a410a2aa0e,vosoritide,vosoritide,ADDED
8000796,benzalkonium,benzalkonium,ADDED
8001878,sodium iodide,iodure de sodium,ADDED
8002587,tisagenlecleucel,tisagenlecleucel,ADDED
8000912,alcohol anhydrous and chlorhexidine,alcool anhydre et chlorhexidine,ADDED
