drug_code,din,brand.name,company.name,brand.name.dpd,company.name.dpd,descriptor
90760,02422956,ALPROLIX,BIOVERATIV CANADA INC,ALPROLIX,SANOFI-AVENTIS CANADA INC,SINGLE USE VIAL & 5 ML PREFILLED DILUENT SYRINGE
90759,02422948,ALPROLIX,BIOVERATIV CANADA INC,ALPROLIX,SANOFI-AVENTIS CANADA INC,SINGLE USE VIAL & 5 ML PREFILLED DILUENT SYRINGE
90758,02422921,ALPROLIX,BIOVERATIV CANADA INC,ALPROLIX,SANOFI-AVENTIS CANADA INC,SINGLE USE VIAL & 5 ML PREFILLED DILUENT SYRINGE
90757,02422913,ALPROLIX,BIOVERATIV CANADA INC,ALPROLIX,SANOFI-AVENTIS CANADA INC,SINGLE USE VIAL & 5 ML PREFILLED DILUENT SYRINGE
77558,02290308,CYESTRA-35,PALADIN LABS INC,CYESTRA-35,PALADIN LABS INC.,NA
79517,02309556,TEVA-CYPROTERONE/ETHINYL ESTRADIOL,TEVA CANADA LIMITED,TEVA-CYPROTERONE / ETHINYL ESTRADIOL,TEVA CANADA LIMITED,NA
92104,02436736,CLÉO-35,ALTIUS HEALTHCARE INC,CLÉO -35,ALTIUS HEALTHCARE INC,NA
74376,02258560,TRI-CYCLEN LO (21 DAY),JANSSEN INC,TRI-CYCLEN LO        (-21 DAY),JANSSEN INC,NA
74378,02258587,TRI-CYCLEN LO (28 DAY),JANSSEN INC,TRI-CYCLEN LO        (28 DAY),JANSSEN INC,NA
87384,02388316,XIAFLEX,ENDO VENTURES LTD,XIAFLEX,ENDO VENTURES LTD.,SINGLE USE VIALS
43151,02215136,SAIZEN,"EMD SERONO, A DIVISION OF EMD INC., CANADA",SAIZEN 10IU  -  KIT,"EMD SERONO, A DIVISION OF EMD INC., CANADA",NA
5764,00598208,PODOFILM LIQ 250MG/ML,PALADIN LABS INC,PODOFILM LIQ 250MG/ML,PALADIN LABS INC.,NA
46885,01914022,UROCIT-K,MISSION PHARMACAL COMPANY,UROCIT K,MISSION PHARMACAL COMPANY,NA
86767,02381834,MINERAL OIL USP,VI-JON INC.,MINERAL OIL USP,"VI-JON, LLC",NA
91477,02430290,ELOCTATE,BIOVERATIV CANADA INC,ELOCTATE,SANOFI-AVENTIS CANADA INC,"SINGLE-USE VIAL (POWDER), PRE-FILLED SYRINGE (DILUENT)"
91479,02430304,ELOCTATE,BIOVERATIV CANADA INC,ELOCTATE,SANOFI-AVENTIS CANADA INC,"SINGLE-USE VIAL (POWDER), PRE-FILLED SYRINGE (DILUENT)"
91480,02430312,ELOCTATE,BIOVERATIV CANADA INC,ELOCTATE,SANOFI-AVENTIS CANADA INC,"SINGLE-USE VIAL (POWDER), PRE-FILLED SYRINGE (DILUENT)"
91481,02430320,ELOCTATE,BIOVERATIV CANADA INC,ELOCTATE,SANOFI-AVENTIS CANADA INC,"SINGLE-USE VIAL (POWDER), PRE-FILLED SYRINGE (DILUENT)"
91482,02430339,ELOCTATE,BIOVERATIV CANADA INC,ELOCTATE,SANOFI-AVENTIS CANADA INC,"SINGLE-USE VIAL (POWDER), PRE-FILLED SYRINGE (DILUENT)"
91483,02430347,ELOCTATE,BIOVERATIV CANADA INC,ELOCTATE,SANOFI-AVENTIS CANADA INC,"SINGLE-USE VIAL (POWDER), PRE-FILLED SYRINGE (DILUENT)"
91484,02430355,ELOCTATE,BIOVERATIV CANADA INC,ELOCTATE,SANOFI-AVENTIS CANADA INC,"SINGLE-USE VIAL (POWDER), PRE-FILLED SYRINGE (DILUENT)"
