"extract","drug_code","active_ingredient_code","ingredient","strength","strength_unit","status","drug_identification_number"
"inactive",12494,6487,"MAGNESIUM (MAGNESIUM SUCCINATE, MAGNESIUM GLUTARATE, MAGNESIUM FUMARATE, MAGNESIUM MALATE, MAGNESIUM CITRATE)","175.0","MG","ADDED","00899879"
"inactive",12494,6487,"MAGNESIUM (MAGNESIUM FUMARATE, MAGNESIUM MALATE, MAGNESIUM SUCCINATE, MAGNESIUM GLUTARATE, MAGNESIUM CITRATE)","175.0","MG","DELETED","00899879"
"inactive",12494,6487,"MAGNESIUM (MAGNESIUM SUCCINATE, MAGNESIUM GLUTARATE, MAGNESIUM FUMARATE, MAGNESIUM MALATE, MAGNESIUM CITRATE)","175.0","MG","NEW","00899879"
"inactive",50573,331,"ZINC (ZINC CITRATE, ZINC SUCCINATE, ZINC FUMARATE, ZINC MALATE, ZINC HVP CHELATE, ZINC GLUCONATE)","15","MG","ADDED","02231266"
"inactive",50573,331,"ZINC (ZINC HVP CHELATE, ZINC GLUCONATE, ZINC CITRATE, ZINC SUCCINATE, ZINC FUMARATE, ZINC MALATE)","15","MG","DELETED","02231266"
"inactive",50573,331,"ZINC (ZINC CITRATE, ZINC SUCCINATE, ZINC FUMARATE, ZINC MALATE, ZINC HVP CHELATE, ZINC GLUCONATE)","15","MG","NEW","02231266"
"inactive",50890,4803,"CALCIUM (CALCIUM SUCCINATE, CALCIUM FUMARATE, CALCIUM MALATE, OYSTER SHELLS, CALCIUM CARBONATE, CALCIUM GLUCONATE, CALCIUM CITRATE, CALCIUM HVP CHELATE)","500","MG","ADDED","02231549"
"inactive",50890,4803,"CALCIUM (OYSTER SHELLS, CALCIUM CARBONATE, CALCIUM GLUCONATE, CALCIUM CITRATE, CALCIUM HVP CHELATE, CALCIUM SUCCINATE, CALCIUM FUMARATE, CALCIUM MALATE)","500","MG","DELETED","02231549"
"inactive",50890,4803,"CALCIUM (CALCIUM SUCCINATE, CALCIUM FUMARATE, CALCIUM MALATE, OYSTER SHELLS, CALCIUM CARBONATE, CALCIUM GLUCONATE, CALCIUM CITRATE, CALCIUM HVP CHELATE)","500","MG","NEW","02231549"
"inactive",60440,6487,"MAGNESIUM (MAGNESIUM CITRATE, MAGNESIUM HVP CHELATE)","66.67","MG","ADDED","02237125"
"inactive",60440,6487,"MAGNESIUM (MAGNESIUM HVP CHELATE, MAGNESIUM CITRATE)","66.67","MG","DELETED","02237125"
"inactive",63945,4803,"CALCIUM (CALCIUM PHOSPHATE (DIBASIC), CALCIUM CARBONATE)","665","MG","ADDED","02240399"
"inactive",63945,331,"ZINC (ZINC OXIDE, ZINC SULFATE)","22.6","MG","ADDED","02240399"
"inactive",63945,4803,"CALCIUM (CALCIUM CARBONATE, CALCIUM PHOSPHATE (DIBASIC))","665","MG","DELETED","02240399"
"inactive",63945,331,"ZINC (ZINC SULFATE, ZINC OXIDE)","22.6","MG","DELETED","02240399"
"inactive",64073,331,"ZINC (ZINC HVP CHELATE, ZINC CITRATE)","10","MG","ADDED","02240504"
"inactive",64073,331,"ZINC (ZINC CITRATE, ZINC HVP CHELATE)","10","MG","DELETED","02240504"
"inactive",68113,646,"VITAMIN C (ASCORBIC ACID, SODIUM ASCORBATE)","50","MG","ADDED","02244152"
"inactive",68113,646,"VITAMIN C (SODIUM ASCORBATE, ASCORBIC ACID)","50","MG","DELETED","02244152"
"active",72822,197,"BENZALKONIUM CHLORIDE","5","%","ADDED","02248470"
"active",72822,196,"ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","5","%","ADDED","02248470"
"active",72822,197,"BENZALKONIUM CHLORIDE","5.0","%","DELETED","02248470"
"active",72822,196,"ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","5.0","%","DELETED","02248470"
"active",73926,55,"SODIUM CHLORIDE","268","G","ADDED","02254360"
"active",73926,42,"DEXTROSE","99","G","ADDED","02254360"
"approved",73926,42,"DEXTROSE","99.0","G","DELETED","02254360"
"approved",73926,55,"SODIUM CHLORIDE","268.0","G","DELETED","02254360"
"active",74794,55,"SODIUM CHLORIDE","263","G","ADDED","02262568"
"active",74794,51,"CALCIUM CHLORIDE","5","G","ADDED","02262568"
"approved",74794,51,"CALCIUM CHLORIDE","5.00","G","DELETED","02262568"
"approved",74794,55,"SODIUM CHLORIDE","263.0","G","DELETED","02262568"
"active",75807,55,"SODIUM CHLORIDE","263","G","ADDED","02272555"
"approved",75807,55,"SODIUM CHLORIDE","263.0","G","DELETED","02272555"
"active",79563,197,"BENZALKONIUM CHLORIDE","5","%","ADDED","02309947"
"active",79563,196,"ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","5","%","ADDED","02309947"
"approved",79563,196,"ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","5.0","%","DELETED","02309947"
"approved",79563,197,"BENZALKONIUM CHLORIDE","5.0","%","DELETED","02309947"
"approved",87768,180,"LANSOPRAZOLE","15","MG","ADDED","02392402"
"approved",87769,180,"LANSOPRAZOLE","30","MG","ADDED","02392410"
"approved",91439,1756,"LEUPROLIDE ACETATE","3.75","MG","ADDED","02429977"
"approved",91439,1756,"LEUPROLIDE ACETATE","5.06","MG","DELETED","02429977"
"active",94579,22816,"EDOXABAN (EDOXABAN TOSYLATE MONOHYDRATE)","15","MG","ADDED","02458640"
"active",94579,22816,"EDOXABAN (EDOXABAN TOSYLATE)","15","MG","DELETED","02458640"
"active",94579,22816,"EDOXABAN (EDOXABAN TOSYLATE MONOHYDRATE)","15","MG","NEW","02458640"
"active",94580,22816,"EDOXABAN (EDOXABAN TOSYLATE MONOHYDRATE)","30","MG","ADDED","02458659"
"active",94580,22816,"EDOXABAN (EDOXABAN TOSYLATE)","30","MG","DELETED","02458659"
"active",94580,22816,"EDOXABAN (EDOXABAN TOSYLATE MONOHYDRATE)","30","MG","NEW","02458659"
"active",94581,22816,"EDOXABAN (EDOXABAN TOSYLATE MONOHYDRATE)","60","MG","ADDED","02458667"
"active",94581,22816,"EDOXABAN (EDOXABAN TOSYLATE)","60","MG","DELETED","02458667"
"active",94581,22816,"EDOXABAN (EDOXABAN TOSYLATE MONOHYDRATE)","60","MG","NEW","02458667"
"approved",95052,1756,"LEUPROLIDE ACETATE","22.5","MG","ADDED","02462699"
"approved",95052,1756,"LEUPROLIDE ACETATE","28.13","MG","DELETED","02462699"
"approved",97251,5280,"CHLORHEXIDINE ACETATE","0.24","%","ADDED","02482053"
"approved",97948,11793,"ZOLMITRIPTAN","2.5","MG","ADDED","02489392"
"approved",97971,11163,"TIMOLOL (TIMOLOL MALEATE)","5","MG","ADDED","02489635"
"approved",97971,11213,"DORZOLAMIDE (DORZOLAMIDE HYDROCHLORIDE)","20","MG","ADDED","02489635"
"approved",97973,11175,"KETOTIFEN (KETOTIFEN FUMARATE)","0.25","MG","ADDED","02489651"
"approved",97978,9107,"METHIMAZOLE","5","MG","ADDED","02489716"
"approved",97979,9107,"METHIMAZOLE","10","MG","ADDED","02489724"
"approved",97981,9107,"METHIMAZOLE","20","MG","ADDED","02489732"
"approved",97983,2609,"IBUPROFEN","200","MG","ADDED","02489759"
"approved",97984,2609,"IBUPROFEN","400","MG","ADDED","02489767"
"approved",97986,23270,"NIRAPARIB (NIRAPARIB TOSYLATE)","100","MG","NEW","02489783"
"approved",97988,180,"LANSOPRAZOLE","15","MG","ADDED","02489805"
"approved",97989,180,"LANSOPRAZOLE","30","MG","ADDED","02489813"
"approved",97990,11784,"MONTELUKAST (MONTELUKAST SODIUM)","10","MG","ADDED","02489821"
"approved",97995,197,"BENZALKONIUM CHLORIDE","0.096","%","ADDED","02489880"
"approved",97995,2218,"OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","0.072","%","ADDED","02489880"
"approved",97995,2232,"DIOCTYL DIMETHYL AMMONIUM CHLORIDE","0.036","%","ADDED","02489880"
"approved",97995,2730,"DIDECYL DIMETHYL AMMONIUM CHLORIDE","0.036","%","ADDED","02489880"
"approved",97996,20022,"DEFERASIROX","90","MG","ADDED","02489899"
"approved",97997,20022,"DEFERASIROX","180","MG","ADDED","02489902"
"approved",97998,20022,"DEFERASIROX","360","MG","ADDED","02489910"
"approved",98001,11258,"DOXAZOSIN (DOXAZOSIN MESYLATE)","1","MG","ADDED","02489937"
"approved",98002,11258,"DOXAZOSIN (DOXAZOSIN MESYLATE)","2","MG","ADDED","02489945"
"approved",98003,11258,"DOXAZOSIN (DOXAZOSIN MESYLATE)","4","MG","ADDED","02489953"
"approved",98004,13346,"ELETRIPTAN (ELETRIPTAN HYDROBROMIDE)","20","MG","ADDED","02489961"
"approved",98005,13346,"ELETRIPTAN (ELETRIPTAN HYDROBROMIDE)","40","MG","ADDED","02489988"
