"extract","drug_code","route_of_administration_code","route_of_administration","status","drug_identification_number"
"active",65846,"2","DISINFECTANT (Barn)","ADDED","02242168"
"active",65846,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02242168"
"active",72822,"2","DISINFECTANT (Barn)","ADDED","02248470"
"active",75554,"2","DISINFECTANT (Barn)","ADDED","02270137"
"active",75554,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02270137"
"active",79844,"2","DISINFECTANT (Barn)","ADDED","02312875"
"active",79844,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02312875"
"approved",87768,"56","ORAL","ADDED","02392402"
"approved",87769,"56","ORAL","ADDED","02392410"
"approved",97251,"70","TOPICAL","ADDED","02482053"
"approved",97948,"56","ORAL","ADDED","02489392"
"approved",97971,"55","OPHTHALMIC","ADDED","02489635"
"approved",97973,"55","OPHTHALMIC","ADDED","02489651"
"approved",97978,"56","ORAL","ADDED","02489716"
"approved",97979,"56","ORAL","ADDED","02489724"
"approved",97981,"56","ORAL","ADDED","02489732"
"approved",97983,"56","ORAL","ADDED","02489759"
"approved",97984,"56","ORAL","ADDED","02489767"
"approved",97988,"56","ORAL","ADDED","02489805"
"approved",97989,"56","ORAL","ADDED","02489813"
"approved",97990,"56","ORAL","ADDED","02489821"
"approved",97995,"93","DISINFECTANT (Domestic)","ADDED","02489880"
"approved",97996,"56","ORAL","ADDED","02489899"
"approved",97997,"56","ORAL","ADDED","02489902"
"approved",97998,"56","ORAL","ADDED","02489910"
"approved",98001,"56","ORAL","ADDED","02489937"
"approved",98002,"56","ORAL","ADDED","02489945"
"approved",98003,"56","ORAL","ADDED","02489953"
"approved",98004,"56","ORAL","ADDED","02489961"
"approved",98005,"56","ORAL","ADDED","02489988"
"approved",98008,"2","DISINFECTANT (Barn)","ADDED","02490013"
"approved",98008,"8","DISINFECTANT (Food Premises)","ADDED","02490013"
"approved",98008,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02490013"
"approved",98008,"93","DISINFECTANT (Domestic)","ADDED","02490013"
"approved",98008,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02490013"
"approved",98011,"1","BLOCK/INFILTRATION","ADDED","02490048"
"approved",98011,"7","EPIDURAL","ADDED","02490048"
"approved",98012,"1","BLOCK/INFILTRATION","ADDED","02490056"
"approved",98012,"7","EPIDURAL","ADDED","02490056"
"approved",98018,"56","ORAL","ADDED","02490110"
"approved",98019,"56","ORAL","ADDED","02490129"
"approved",98020,"56","ORAL","ADDED","02490137"
"approved",98021,"56","ORAL","ADDED","02490145"
"approved",98022,"71","TRANSDERMAL","ADDED","02490153"
"approved",98023,"71","TRANSDERMAL","ADDED","02490161"
"approved",98025,"71","TRANSDERMAL","ADDED","02490188"
"approved",98026,"56","ORAL","ADDED","02490196"
"approved",98027,"56","ORAL","ADDED","02490218"
"approved",98028,"56","ORAL","ADDED","02490226"
"approved",98029,"56","ORAL","ADDED","02490234"
"approved",98030,"56","ORAL","ADDED","02490242"
"approved",98031,"56","ORAL","ADDED","02490250"
"approved",98032,"56","ORAL","ADDED","02490269"
"approved",98033,"56","ORAL","ADDED","02490277"
"approved",98034,"70","TOPICAL","ADDED","02490285"
"approved",98041,"49","INTRAVENOUS","ADDED","02490366"
"approved",98046,"56","ORAL","ADDED","02490420"
"approved",98047,"56","ORAL","ADDED","02490412"
"approved",98048,"49","INTRAVENOUS","ADDED","02490439"
"approved",98049,"56","ORAL","ADDED","02490447"
"approved",98053,"56","ORAL","ADDED","02490471"
"approved",98054,"56","ORAL","ADDED","02490498"
"approved",98056,"56","ORAL","ADDED","02490528"
"approved",98058,"56","ORAL","ADDED","02490544"
"approved",98059,"56","ORAL","ADDED","02490552"
"approved",98060,"56","ORAL","ADDED","02490560"
"approved",98061,"56","ORAL","ADDED","02490579"
"approved",98062,"56","ORAL","ADDED","02490587"
"approved",98066,"56","ORAL","ADDED","02490595"
"approved",98067,"56","ORAL","ADDED","02490609"
"approved",98068,"56","ORAL","ADDED","02490617"
"approved",98069,"56","ORAL","ADDED","02490625"
"approved",98070,"56","ORAL","ADDED","02490633"
"approved",98072,"56","ORAL","ADDED","02490668"
"approved",98073,"56","ORAL","ADDED","02490676"
"approved",98075,"56","ORAL","ADDED","02490692"
"approved",98076,"70","TOPICAL","ADDED","02490706"
"approved",98079,"93","DISINFECTANT (Domestic)","ADDED","02490730"
"approved",98079,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02490730"
"approved",98083,"22","INTRAMUSCULAR","ADDED","02490773"
"approved",98083,"49","INTRAVENOUS","ADDED","02490773"
"approved",98084,"56","ORAL","ADDED","02490781"
"approved",98085,"56","ORAL","ADDED","02490803"
"approved",98086,"56","ORAL","ADDED","02490811"
"approved",98091,"56","ORAL","ADDED","02490870"
"approved",98092,"56","ORAL","ADDED","02490889"
"approved",98093,"56","ORAL","ADDED","02490897"
"approved",98096,"70","TOPICAL","ADDED","02490927"
"approved",98097,"56","ORAL","ADDED","02490935"
"approved",98097,"70","TOPICAL","ADDED","02490935"
"approved",98098,"56","ORAL","ADDED","02490943"
"approved",98099,"93","DISINFECTANT (Domestic)","ADDED","02490951"
"approved",98099,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02490951"
"approved",98101,"56","ORAL","ADDED","02490986"
"approved",98102,"56","ORAL","ADDED","02490994"
"approved",98109,"56","ORAL","ADDED","02491079"
"approved",98112,"22","INTRAMUSCULAR","ADDED","02491109"
"approved",98112,"70","TOPICAL","ADDED","02491109"
"active",68929,"56","ORAL","DELETED","02244931"
