"drug_code","extract_current","extract_previous","company_name_current","company_name_previous","drug_identification_number"
1275,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","00029246"
2866,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","00393444"
10567,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","00869961"
12645,"active","active","PFIZER CANADA ULC","HOSPIRA HEALTHCARE ULC","00884154"
17789,"active","active","PFIZER CANADA ULC","PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC","02141442"
71847,"active","active","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL","02247590"
72371,"active","active","SUNOVION PHARMACEUTICALS CANADA INC","TEVA CANADA LIMITED","02248051"
74869,"active","active","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL","02263300"
74870,"active","active","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL","02263319"
74898,"active","active","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL","02263602"
74899,"active","active","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL","02263610"
74900,"active","active","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL","02263629"
74901,"active","active","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL","02263637"
74902,"active","active","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL","02263645"
74946,"active","active","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL","02264048"
75216,"active","active","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL","02266741"
76967,"active","active","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL","02284111"
78464,"active","active","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL","02299259"
79247,"active","active","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL","02306786"
80244,"active","active","JANSSEN INC","PATRIOT A DIVISION OF JANSSEN INC","02316943"
85000,"active","active","BGP PHARMA ULC","NOVARTIS PHARMACEUTICALS CANADA INC","02365154"
85046,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","02365561"
87699,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","02391678"
92088,"active","active","APOPHARMA, A DIVISION OF APOTEX INC.","APOPHARMA INC","02436558"
16862,"dormant","dormant","PHARMA STULLN INC.","EBERTH PHARMACEUTICALS INC","02023776"
79622,"dormant","dormant","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL","02310597"
79782,"dormant","dormant","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL","02312328"
84567,"dormant","active","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL","02360667"
88708,"dormant","dormant","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL","02402238"
83918,"approved","approved","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL","02353962"
86392,"approved","approved","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL","02378140"
91439,"approved","approved","VERITY PHARMACEUTICALS INC.","PENDOPHARM DIVISION OF PHARMASCIENCE INC","02429977"
95052,"approved","approved","VERITY PHARMACEUTICALS INC.","PENDOPHARM DIVISION OF PHARMASCIENCE INC","02462699"
