"extract","drug_code","pharm_form_code","pharmaceutical_form","status","drug_identification_number"
"active",65846,134,"SOLUTION","ADDED","02242168"
"active",87740,134,"SOLUTION","ADDED","02392119"
"active",89703,2,"AEROSOL","ADDED","02412411"
"approved",87768,109,"TABLET (DELAYED-RELEASE)","ADDED","02392402"
"approved",87769,109,"TABLET (DELAYED-RELEASE)","ADDED","02392410"
"approved",97251,134,"SOLUTION","ADDED","02482053"
"approved",97948,85,"TABLET","ADDED","02489392"
"approved",97971,134,"SOLUTION","ADDED","02489635"
"approved",97973,134,"SOLUTION","ADDED","02489651"
"approved",97978,85,"TABLET","ADDED","02489716"
"approved",97979,85,"TABLET","ADDED","02489724"
"approved",97981,85,"TABLET","ADDED","02489732"
"approved",97983,5,"CAPSULE","ADDED","02489759"
"approved",97984,5,"CAPSULE","ADDED","02489767"
"approved",97988,137,"CAPSULE (DELAYED RELEASE)","ADDED","02489805"
"approved",97989,137,"CAPSULE (DELAYED RELEASE)","ADDED","02489813"
"approved",97990,85,"TABLET","ADDED","02489821"
"approved",97995,2,"AEROSOL","ADDED","02489880"
"approved",97996,85,"TABLET","ADDED","02489899"
"approved",97997,85,"TABLET","ADDED","02489902"
"approved",97998,85,"TABLET","ADDED","02489910"
"approved",98001,85,"TABLET","ADDED","02489937"
"approved",98002,85,"TABLET","ADDED","02489945"
"approved",98003,85,"TABLET","ADDED","02489953"
"approved",98004,85,"TABLET","ADDED","02489961"
"approved",98005,85,"TABLET","ADDED","02489988"
"approved",98008,105,"WIPE","ADDED","02490013"
"approved",98011,134,"SOLUTION","ADDED","02490048"
"approved",98012,134,"SOLUTION","ADDED","02490056"
"approved",98018,85,"TABLET","ADDED","02490110"
"approved",98019,85,"TABLET","ADDED","02490129"
"approved",98020,85,"TABLET","ADDED","02490137"
"approved",98021,85,"TABLET","ADDED","02490145"
"approved",98022,145,"PATCH","ADDED","02490153"
"approved",98023,145,"PATCH","ADDED","02490161"
"approved",98025,145,"PATCH","ADDED","02490188"
"approved",98026,85,"TABLET","ADDED","02490196"
"approved",98027,85,"TABLET","ADDED","02490218"
"approved",98028,151,"TABLET (CHEWABLE)","ADDED","02490226"
"approved",98029,151,"TABLET (CHEWABLE)","ADDED","02490234"
"approved",98030,151,"TABLET (CHEWABLE)","ADDED","02490242"
"approved",98031,151,"TABLET (CHEWABLE)","ADDED","02490250"
"approved",98032,151,"TABLET (CHEWABLE)","ADDED","02490269"
"approved",98033,151,"TABLET (CHEWABLE)","ADDED","02490277"
"approved",98034,114,"GEL","ADDED","02490285"
"approved",98041,55,"POWDER","ADDED","02490366"
"approved",98046,137,"CAPSULE (DELAYED RELEASE)","ADDED","02490420"
"approved",98047,137,"CAPSULE (DELAYED RELEASE)","ADDED","02490412"
"approved",98048,134,"SOLUTION","ADDED","02490439"
"approved",98049,134,"SOLUTION","ADDED","02490447"
"approved",98053,56,"POWDER FOR SOLUTION","ADDED","02490471"
"approved",98054,56,"POWDER FOR SOLUTION","ADDED","02490498"
"approved",98056,85,"TABLET","ADDED","02490528"
"approved",98058,85,"TABLET","ADDED","02490544"
"approved",98059,85,"TABLET","ADDED","02490552"
"approved",98060,85,"TABLET","ADDED","02490560"
"approved",98061,85,"TABLET","ADDED","02490579"
"approved",98062,5,"CAPSULE","ADDED","02490587"
"approved",98066,5,"CAPSULE","ADDED","02490595"
"approved",98067,5,"CAPSULE","ADDED","02490609"
"approved",98068,134,"SOLUTION","ADDED","02490617"
"approved",98069,85,"TABLET","ADDED","02490625"
"approved",98070,85,"TABLET","ADDED","02490633"
"approved",98072,85,"TABLET","ADDED","02490668"
"approved",98073,85,"TABLET","ADDED","02490676"
"approved",98075,109,"TABLET (DELAYED-RELEASE)","ADDED","02490692"
"approved",98076,98,"SPRAY","ADDED","02490706"
"approved",98079,2,"AEROSOL","ADDED","02490730"
"approved",98083,56,"POWDER FOR SOLUTION","ADDED","02490773"
"approved",98084,85,"TABLET","ADDED","02490781"
"approved",98085,85,"TABLET","ADDED","02490803"
"approved",98086,85,"TABLET","ADDED","02490811"
"approved",98091,85,"TABLET","ADDED","02490870"
"approved",98092,137,"CAPSULE (DELAYED RELEASE)","ADDED","02490889"
"approved",98093,137,"CAPSULE (DELAYED RELEASE)","ADDED","02490897"
"approved",98096,9,"CREAM","ADDED","02490927"
"approved",98097,5,"CAPSULE","ADDED","02490935"
"approved",98097,9,"CREAM","ADDED","02490935"
"approved",98098,85,"TABLET","ADDED","02490943"
"approved",98099,98,"SPRAY","ADDED","02490951"
"approved",98099,134,"SOLUTION","ADDED","02490951"
"approved",98101,85,"TABLET","ADDED","02490986"
"approved",98102,85,"TABLET","ADDED","02490994"
"approved",98109,56,"POWDER FOR SOLUTION","ADDED","02491079"
"approved",98112,56,"POWDER FOR SOLUTION","ADDED","02491109"
"active",65846,34,"LIQUID","DELETED","02242168"
"active",87740,34,"LIQUID","DELETED","02392119"
"active",89703,98,"SPRAY","DELETED","02412411"
