mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
00030848,DEPO-PROVERA (acétate de médroxyprogestérone 250 mg par 5 mL suspension injectable fiole) PFIZER CANADA ULC,acétate de médroxyprogestérone 250 mg par 5 mL suspension injectable fiole,médroxyprogestérone,"mp_fr_description: ""DEPO-PROVERA STERILE AQUEOUS SUSPENSION 50 MG/ML (acétate de médroxyprogestérone 250 mg par 5 mL suspension injectable fiole) PFIZER CANADA ULC"" -> ""DEPO-PROVERA (acétate de médroxyprogestérone 250 mg par 5 mL suspension injectable fiole) PFIZER CANADA ULC"""
00263818,COTAZYM (amylase 40000 unité et lipase 10000 unité et protéase 35000 unité capsule orale) ORGANON CANADA INC.,amylase 40000 unité et lipase 10000 unité et protéase 35000 unité capsule orale,pancrelipase,"mp_fr_description: ""COTAZYM (amylase 40000 unité et lipase 10000 unité et protéase 35000 unité capsule orale) MERCK CANADA INC"" -> ""COTAZYM (amylase 40000 unité et lipase 10000 unité et protéase 35000 unité capsule orale) ORGANON CANADA INC."""
00502790,COTAZYM ECS 8 (amylase 42000 unité et lipase 10800 unité et protéase 45000 unité capsule gastrorésistante) ORGANON CANADA INC.,amylase 42000 unité et lipase 10800 unité et protéase 45000 unité capsule gastrorésistante,pancrelipase,"mp_fr_description: ""COTAZYM ECS 8 (amylase 42000 unité et lipase 10800 unité et protéase 45000 unité capsule gastrorésistante) MERCK CANADA INC"" -> ""COTAZYM ECS 8 (amylase 42000 unité et lipase 10800 unité et protéase 45000 unité capsule gastrorésistante) ORGANON CANADA INC."""
00585092,DEPO-PROVERA (acétate de médroxyprogestérone 150 mg par 1 mL suspension injectable fiole) PFIZER CANADA ULC,acétate de médroxyprogestérone 150 mg par 1 mL suspension injectable fiole,médroxyprogestérone,"mp_fr_description: ""DEPO-PROVERA STERILE AQUEOUS SUSPENSION 150 MG/ML (acétate de médroxyprogestérone 150 mg par 1 mL suspension injectable fiole) PFIZER CANADA ULC"" -> ""DEPO-PROVERA (acétate de médroxyprogestérone 150 mg par 1 mL suspension injectable fiole) PFIZER CANADA ULC"""
00674354,"COLLYRE BLEU LAITER (bleu de méthylène 0,2 mg par mL et nitrate de naphazoline 0,5 mg par mL gouttes ophtalmiques) BIOCODEX SAS","bleu de méthylène 0,2 mg par mL et nitrate de naphazoline 0,5 mg par mL gouttes ophtalmiques",bleu de méthylène et naphazoline,"mp_fr_description: ""COLLYRE BLEU LAITER (bleu de méthylène 0,2 mg par mL et nitrate de naphazoline 0,5 mg par mL gouttes ophtalmiques) BIOCODEX SA"" -> ""COLLYRE BLEU LAITER (bleu de méthylène 0,2 mg par mL et nitrate de naphazoline 0,5 mg par mL gouttes ophtalmiques) BIOCODEX SAS"""
00821373,COTAZYM ECS 20 (amylase 100000 unité et lipase 25000 unité et protéase 100000 unité capsule gastrorésistante) ORGANON CANADA INC.,amylase 100000 unité et lipase 25000 unité et protéase 100000 unité capsule gastrorésistante,pancrelipase,"mp_fr_description: ""COTAZYM ECS 20 (amylase 100000 unité et lipase 25000 unité et protéase 100000 unité capsule gastrorésistante) MERCK CANADA INC"" -> ""COTAZYM ECS 20 (amylase 100000 unité et lipase 25000 unité et protéase 100000 unité capsule gastrorésistante) ORGANON CANADA INC."""
01919245,DR. SCHOLL'S ATHLETE'S FOOT SPRAY POWDER (tolnaftate 1 % poudre pour vaporisation cutanée) SCHOLL'S WELLNESS COMPANY,tolnaftate 1 % poudre pour vaporisation cutanée,tolnaftate,"mp_fr_description: ""DR. SCHOLL'S ATHLETE'S FOOT SPRAY POWDER (tolnaftate 1 % poudre pour vaporisation cutanée) BAYER INC"" -> ""DR. SCHOLL'S ATHLETE'S FOOT SPRAY POWDER (tolnaftate 1 % poudre pour vaporisation cutanée) SCHOLL'S WELLNESS COMPANY"""
02163152,"LIDEMOL (fluocinonide 0,05 % crème cutanée) BAUSCH HEALTH, CANADA INC.","fluocinonide 0,05 % crème cutanée",fluocinonide,"mp_fr_description: ""LIDEMOL EMOLLIENT CREAM 0.05% (fluocinonide 0,05 % crème cutanée) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""LIDEMOL (fluocinonide 0,05 % crème cutanée) BAUSCH HEALTH, CANADA INC."""
02230366,"CLONAPAM (clonazépam 0,5 mg comprimé oral) BAUSCH HEALTH, CANADA INC.","clonazépam 0,5 mg comprimé oral",clonazépam,"mp_fr_description: ""CLONAPAM (clonazépam 0,5 mg comprimé oral) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""CLONAPAM (clonazépam 0,5 mg comprimé oral) BAUSCH HEALTH, CANADA INC."""
02230368,"CLONAPAM (clonazépam 1 mg comprimé oral) BAUSCH HEALTH, CANADA INC.",clonazépam 1 mg comprimé oral,clonazépam,"mp_fr_description: ""CLONAPAM (clonazépam 1 mg comprimé oral) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""CLONAPAM (clonazépam 1 mg comprimé oral) BAUSCH HEALTH, CANADA INC."""
