tm_code,tm_formal_name,tm_fr_description,changes
8002154,potassium phosphate dibasic and potassium phosphate monobasic,phosphate de potassium dibasique et phosphate de potassium monobasique,ADDED
8002161,sodium bicarbonate,bicarbonate de sodium,ADDED
8001844,magnesium chloride,chlorure de magnésium,ADDED
8002452,cytarabine and daunorubicin,cytarabine et daunorubicine,ADDED
8001757,doxorubicin,doxorubicine,ADDED
8001004,benzoyl peroxide and salicylic acid,peroxyde de benzoyle et acide salicylique,ADDED
cc4226f30d88823fb6d6a888ecc2f2d5,dextromethorphan and pheniramine and phenylephrine,dextrométhorphane et phéniramine et phényléphrine,ADDED
8002160,sodium acetate,acétate de sodium,ADDED
b22951d9d4a32be66596b6929d416fc5,mirvetuximab soravtansine,mirvétuximab soravtansine,ADDED
8002215,amphotericin B,amphotéricine B,ADDED
0290f316b439f56384d6bed5b1dd1038,osilodrostat,osilodrostat,ADDED
8001476,follitropin beta,follitropine bêta,ADDED
c5f88991e3bd134998aa65fcfedf0fd9,garadacimab,garadacimab,ADDED
8002282,fibrinogen human and thrombin human,fibrinogène humaine et thrombine humaine,ADDED
8001615,chloroxylenol,chloroxylénol,ADDED
8002278,coagulation factor ii (human) and coagulation factor IX human and coagulation factor vii (human) and coagulation factor x (human) and protein c and protein s,facteur II de coagulation humain et facteur IX de coagulation humain et facteur VII de coagulation humain et facteur X de coagulation humain et protéine c et protéine s,ADDED
8002073,polyvinyl alcohol,alcool polyvinylique,"tm_status_effective_time: ""19821231"" -> ""19951231"""
8001579,benzethonium,benzéthonium,ADDED
a75fc6e22231bc53450f051f3c94cef0,acetaminophen and dextromethorphan,acétaminophène et dextrométhorphane,ADDED
8001976,triclosan,triclosan,ADDED
8002047,paclitaxel,paclitaxel,ADDED
8001870,potassium chloride,chlorure de potassium,ADDED
8000796,benzalkonium,benzalkonium,ADDED
8001878,sodium iodide,iodure de sodium,ADDED
8001602,buserelin,buséréline,"tm_status_effective_time: ""19970210"" -> ""19980203"""
8000912,alcohol anhydrous and chlorhexidine,alcool anhydre et chlorhexidine,ADDED
