"mp_code","mp_formal_name","Health_Canada_identifier","Health_Canada_product_name","Health_Canada_description"
"01926543","SECTRAL (acebutolol (acebutolol hydrochloride) 100 mg oral tablet) SANOFI-AVENTIS CANADA INC","01926543","SECTRAL",NA
"01926551","SECTRAL (acebutolol (acebutolol hydrochloride) 200 mg oral tablet) SANOFI-AVENTIS CANADA INC","01926551","SECTRAL",NA
"02147602","APO-ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 100 mg oral tablet) APOTEX INC","02147602","APO-ACEBUTOLOL",NA
"02147610","APO-ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 200 mg oral tablet) APOTEX INC","02147610","APO-ACEBUTOLOL",NA
"02147629","APO-ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 400 mg oral tablet) APOTEX INC","02147629","APO-ACEBUTOLOL",NA
"02164396","ACEBUTOLOL-100-TAB 100MG (acebutolol (acebutolol hydrochloride) 100 mg oral tablet) PRO DOC LIMITEE","02164396","ACEBUTOLOL-100-TAB 100MG",NA
"02164418","ACEBUTOLOL-200 - TAB 200MG (acebutolol (acebutolol hydrochloride) 200 mg oral tablet) PRO DOC LIMITEE","02164418","ACEBUTOLOL-200 - TAB 200MG",NA
"02164426","ACEBUTOLOL - 400 - TAB 400MG (acebutolol (acebutolol hydrochloride) 400 mg oral tablet) PRO DOC LIMITEE","02164426","ACEBUTOLOL - 400 - TAB 400MG",NA
"02204517","TEVA-ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 100 mg oral tablet) TEVA CANADA LIMITED","02204517","TEVA-ACEBUTOLOL",NA
"02204525","TEVA-ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 200 mg oral tablet) TEVA CANADA LIMITED","02204525","TEVA-ACEBUTOLOL",NA
"02204533","TEVA-ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 400 mg oral tablet) TEVA CANADA LIMITED","02204533","TEVA-ACEBUTOLOL",NA
"02237721","MYLAN-ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 100 mg oral tablet) MYLAN PHARMACEUTICALS ULC","02237721","MYLAN-ACEBUTOLOL",NA
"02237722","MYLAN-ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 200 mg oral tablet) MYLAN PHARMACEUTICALS ULC","02237722","MYLAN-ACEBUTOLOL",NA
"02237723","MYLAN-ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 400 mg oral tablet) MYLAN PHARMACEUTICALS ULC","02237723","MYLAN-ACEBUTOLOL",NA
"02237885","MYLAN-ACEBUTOLOL (TYPE S) (acebutolol (acebutolol hydrochloride) 100 mg oral tablet) MYLAN PHARMACEUTICALS ULC","02237885","MYLAN-ACEBUTOLOL (TYPE S)",NA
"02237887","MYLAN-ACEBUTOLOL (TYPE S) (acebutolol (acebutolol hydrochloride) 400 mg oral tablet) MYLAN PHARMACEUTICALS ULC","02237887","MYLAN-ACEBUTOLOL (TYPE S)",NA
"02286246","ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 100 mg oral tablet) SANIS HEALTH INC","02286246","ACEBUTOLOL",NA
"02286254","ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 200 mg oral tablet) SANIS HEALTH INC","02286254","ACEBUTOLOL",NA
"02286262","ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 400 mg oral tablet) SANIS HEALTH INC","02286262","ACEBUTOLOL",NA
"02237886","MYLAN-ACEBUTOLOL (TYPE S) (acebutolol (acebutolol hydrochloride) 200 mg oral tablet) MYLAN PHARMACEUTICALS ULC","02237886","MYLAN-ACEBUTOLOL (TYPE S)",NA
"00293490","ATASOL 8 (acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet) CHURCH & DWIGHT CANADA CORP","00293490","ATASOL 8",NA
