tm_code,tm_formal_name,tm_fr_description,changes
8000940,alcohol anhydrous and butanediol and propyl alcohol and propylene glycol,alcool anhydre et butanédiol et alcool propylique et propylène glycol,CHANGED
8002278,coagulation factor IX human and coagulation factor ii (human) and coagulation factor vii (human) and coagulation factor x (human) and protein c and protein s,facteur IX de coagulation humain et facteur II de coagulation humain et facteur VII de coagulation humain et facteur X de coagulation humain et protéine c et protéine s,CHANGED
8002047,paclitaxel,paclitaxel,CHANGED
8001681,prasugrel,prasugrel,"tm_status_effective_time: ""20100517"" -> ""20210514"""
8000912,alcohol anhydrous and chlorhexidine,alcool anhydre et chlorhexidine,CHANGED
8002088,acetic acid and sodium acetate,acide acétique et acétate de sodium,CHANGED
8001615,chloroxylenol,chloroxylénol,CHANGED
8002282,fibrinogen human and thrombin human,fibrinogène humaine et thrombine humaine,CHANGED
8001878,sodium iodide,iodure de sodium,CHANGED
8002245,onabotulinumtoxinA,onabotulinumtoxineA,CHANGED
8001464,etodolac,étodolac,"tm_status_effective_time: ""20211210"" -> ""20220203"""
8000796,benzalkonium,benzalkonium,CHANGED
8001539,trifluridine,trifluridine,"tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""19871231"" -> ""20201008"""
8002089,aluminum chlorohydrate and methylprednisolone acetate and neomycin and sulfur,chlorhydrate d'aluminium et acétate de méthylprednisolone et néomycine et soufre,DELETED
8001870,potassium chloride,chlorure de potassium,CHANGED
8001751,dimethicone and white petrolatum,diméthicone et pétrolatum blanc,DELETED
8002215,amphotericin B,amphotéricine B,CHANGED
8001757,doxorubicin,doxorubicine,CHANGED
8001579,benzethonium,benzéthonium,CHANGED
8002154,potassium phosphate dibasic and potassium phosphate monobasic,phosphate de potassium dibasique et phosphate de potassium monobasique,CHANGED
8001976,triclosan,triclosan,CHANGED
8001476,follitropin beta,follitropine bêta,CHANGED
8001659,glycopyrrolate,glycopyrrolate,DELETED
8002161,sodium bicarbonate,bicarbonate de sodium,CHANGED
8001004,benzoyl peroxide and salicylic acid,peroxyde de benzoyle et acide salicylique,CHANGED
8002160,sodium acetate,acétate de sodium,CHANGED
8001098,asparaginase,asparaginase,CHANGED
8001844,magnesium chloride,chlorure de magnésium,CHANGED
