tm_code,tm_formal_name,tm_fr_description,changes
0cfb348dbcc159f391d8cad4a5f663fc,cipaglucosidase alfa,cipaglucosidase alfa,ADDED
8002154,potassium phosphate dibasic and potassium phosphate monobasic,phosphate de potassium dibasique et phosphate de potassium monobasique,ADDED
8002161,sodium bicarbonate,bicarbonate de sodium,ADDED
8001844,magnesium chloride,chlorure de magnésium,ADDED
8000886,acetylsalicylic acid and citric acid and sodium bicarbonate,acide acétylsalicylique et acide citrique et bicarbonate de sodium,"tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""19951231"" -> ""20210920"""
3b110fb65b1414404489d4c898e4aa51,efanesoctocog alfa,efanesoctocog alfa,ADDED
8001118,dexmedetomidine,dexmédétomidine,"tm_status_effective_time: ""20100224"" -> ""20160509"""
8002452,cytarabine and daunorubicin,cytarabine et daunorubicine,ADDED
8001757,doxorubicin,doxorubicine,ADDED
03870d3f01d04a506331a078e0325f53,pirtobrutinib,pirtobrutinib,ADDED
8001004,benzoyl peroxide and salicylic acid,peroxyde de benzoyle et acide salicylique,ADDED
8002160,sodium acetate,acétate de sodium,ADDED
a80135bd0ca44f3eba71b823abd9a22d,seladelpar,séladelpar,ADDED
8002215,amphotericin B,amphotéricine B,ADDED
8001951,taliglucerase alfa,taliglucérase alfa,DELETED
8001164,abacavir and lamivudine,abacavir et lamivudine,"tm_status_effective_time: ""20050817"" -> ""20160314"""
8001476,follitropin beta,follitropine bêta,ADDED
b0c4be39204f70d3123ae42163a1ce38,sepiapterin,sépiaptérine,ADDED
3cda70353474b553708e7ed5fc443433,alcohol anhydrous and doxylamine and etafedrine and hydrocodone and sodium citrate,alcool anhydre et doxylamine et étafédrine et hydrocodone et citrate de sodium,ADDED
8002282,fibrinogen human and thrombin human,fibrinogène humaine et thrombine humaine,ADDED
8001615,chloroxylenol,chloroxylénol,ADDED
8000779,alcohol anhydrous and doxylamine and etafedrin and hydrocodone and sodium citrate,alcool anhydre et doxylamine et étafédrine et hydrocodone et citrate de sodium,DELETED
8002278,coagulation factor ii (human) and coagulation factor IX human and coagulation factor vii (human) and coagulation factor x (human) and protein c and protein s,facteur II de coagulation humain et facteur IX de coagulation humain et facteur VII de coagulation humain et facteur X de coagulation humain et protéine c et protéine s,ADDED
8001579,benzethonium,benzéthonium,ADDED
8002561,retifanlimab,rétifanlimab,ADDED
8001976,triclosan,triclosan,ADDED
8002047,paclitaxel,paclitaxel,ADDED
8001870,potassium chloride,chlorure de potassium,ADDED
8000796,benzalkonium,benzalkonium,ADDED
01c01951789d07b6ea877bc074f06cb6,lecanemab,lécanémab,ADDED
2c82dd2a50fa9b6b1dbaf6c42f051caa,bismuth oxide and metronidazole and tetracycline,oxyde de bismuth et métronidazole et tétracycline,ADDED
8001878,sodium iodide,iodure de sodium,ADDED
8000912,alcohol anhydrous and chlorhexidine,alcool anhydre et chlorhexidine,ADDED
