ntp_code,ntp_formal_name,ntp_fr_description,changes
5f7146158624daada0898e5a0943ddf5,miglustat 65 mg oral capsule,miglustat 65 mg capsule orale,ADDED
9004056,sodium bicarbonate 80.7 g per l solution for haemodialysis,"bicarbonate de sodium 80,7 g par l solution pour hémodialyse",ADDED
9013760,amphotericin B 50 mg per vial powder for solution for injection,amphotéricine B 50 mg par fiole poudre pour solution injectable,ADDED
9012563,abacavir (abacavir sulfate) 600 mg and lamivudine 300 mg oral tablet,abacavir (sulfate d'abacavir) 600 mg et lamivudine 300 mg comprimé oral,"ntp_status_effective_time: ""20050817"" -> ""20160314"""
9001819,potassium chloride 20 meq per 10 mL solution for injection,chlorure de potassium 20 meq par 10 mL solution injectable,ADDED
9002087,sodium bicarbonate 81.3 g per l solution for haemodialysis,"bicarbonate de sodium 81,3 g par l solution pour hémodialyse",ADDED
9006201,alcohol anhydrous 0.25 mL per 5 mL and doxylamine succinate 6 mg per 5 mL and etafedrin hydrochloride 16.65 mg per 5 mL and hydrocodone bitartrate 1.65 mg per 5 mL and sodium citrate 200 mg per 5 mL syrup,"alcool anhydre 0,25 mL par 5 mL et succinate de doxylamine 6 mg par 5 mL et chlorhydrate d'étafédrine 16,65 mg par 5 mL et bitartrate d'hydrocodone 1,65 mg par 5 mL et citrate de sodium 200 mg par 5 mL sirop",DELETED
9003378,benzalkonium chloride 0.13 % cutaneous liquid,"chlorure de benzalkonium 0,13 % liquide cutané",ADDED
0ac41e9933ffc297fba78a442db5c29c,lecanemab 200 mg per 2 mL solution for injection vial,lécanémab 200 mg par 2 mL solution injectable fiole,ADDED
9003126,doxorubicin hydrochloride 50 mg per vial powder for solution for injection,chlorhydrate de doxorubicine 50 mg par fiole poudre pour solution injectable,ADDED
e32fe5a817398336d2c661b5cb3a9840,methylphenidate hydrochloride 25 mg prolonged-release oral capsule,chlorhydrate de méthylphénidate 25 mg capsule orale à libération prolongée,ADDED
9013554,fexofenadine hydrochloride 60 mg and pseudoephedrine hydrochloride 120 mg modified-release oral tablet,chlorhydrate de fexofénadine 60 mg et chlorhydrate de pseudoéphédrine 120 mg comprimé oral à libération modifiée,DELETED
9002379,loratadine 5 mg and pseudoephedrine sulfate 120 mg modified-release oral tablet,loratadine 5 mg et sulfate de pseudoéphédrine 120 mg comprimé oral à libération modifiée,DELETED
9003657,follitropin beta 833 unit per mL solution for injection,follitropine bêta 833 unité par mL solution injectable,ADDED
dd7a5c45d184aff331865323295ee8be,efanesoctocog alfa 500 unit per vial powder for solution for injection with diluent solution syringe,efanesoctocog alfa 500 unité par fiole poudre pour solution injectable avec solution diluante seringue,ADDED
9004163,benzalkonium chloride 0.12 % wipe,"chlorure de benzalkonium 0,12 % lingette",ADDED
9003097,doxorubicin hydrochloride 150 mg per vial powder for solution for injection,chlorhydrate de doxorubicine 150 mg par fiole poudre pour solution injectable,ADDED
9014640,fibrinogen human 160 mg per 2 mL and thrombin human 1000 unit per 2 mL cutaneous solution,fibrinogène humaine 160 mg par 2 mL et thrombine humaine 1000 unité par 2 mL solution pour application cutanée,ADDED
9013272,calcium chloride 7.45 g per bottle powder for concentrate for solution for haemodialysis,"chlorure de calcium 7,45 g par bouteille poudre pour solution à diluer pour solution pour hémodialyse",ADDED
55d4e2da0c1dcb520a88d6786e651ef8,bismuth oxide (bismuth subcitrate potassium) 40 mg and metronidazole 125 mg and tetracycline hydrochloride 125 mg oral capsule,oxyde de bismuth (sous-citrate de bismuth potassique) 40 mg et métronidazole 125 mg et chlorhydrate de tétracycline 125 mg capsule orale,ADDED
9013933,potassium (potassium chloride) 10 mmol per 100 mL solution for injection bag,potassium (chlorure de potassium) 10 mmol par 100 mL solution injectable sac,ADDED
9004671,benzalkonium chloride 0.13 % wipe,"chlorure de benzalkonium 0,13 % lingette",ADDED
9013171,iodide (sodium iodide) 1000 mcg per 10 mL solution for injection vial,iodure (iodure de sodium) 1000 mcg par 10 mL solution injectable fiole,ADDED
511285c170e8c114c9d6412519c07ebd,acetylsalicylic acid 25 mg and dipyridamole 200 mg prolonged-release oral capsule,acide acétylsalicylique 25 mg et dipyridamole 200 mg capsule orale à libération prolongée,ADDED
9014971,coagulation factor ii (human) 800 unit and coagulation factor IX human 620 unit and coagulation factor vii (human) 500 unit and coagulation factor x (human) 1020 unit and protein c 820 unit and protein s 680 unit powder for solution for injection,facteur II de coagulation humain 800 unité et facteur IX de coagulation humain 620 unité et facteur VII de coagulation humain 500 unité et facteur X de coagulation humain 1020 unité et protéine c 820 unité et protéine s 680 unité poudre pour solution injectable,ADDED
9012441,methylphenidate hydrochloride 85 mg modified-release oral capsule,chlorhydrate de méthylphénidate 85 mg capsule orale à libération modifiée,DELETED
9001709,triclosan 0.5 % cutaneous liquid,"triclosan 0,5 % liquide cutané",ADDED
9013087,doxorubicin hydrochloride 20 mg per 10 mL suspension for injection vial,chlorhydrate de doxorubicine 20 mg par 10 mL suspension injectable fiole,ADDED
9005757,chloroxylenol 3 % cutaneous liquid,chloroxylénol 3 % liquide cutané,ADDED
9cb36e93d3e7aefe72b49efe1d90400a,retifanlimab 500 mg per 20 mL solution for injection vial,rétifanlimab 500 mg par 20 mL solution injectable fiole,ADDED
9004599,chloroxylenol 0.6 % cutaneous solution,"chloroxylénol 0,6 % solution pour application cutanée",ADDED
9003875,benzethonium chloride 0.2 % cutaneous liquid,"chlorure de benzéthonium 0,2 % liquide cutané",ADDED
9004469,benzalkonium chloride 0.1 % cutaneous solution,"chlorure de benzalkonium 0,1 % solution pour application cutanée",ADDED
9005356,sodium bicarbonate 1250 g per cartridge powder for concentrate for solution for haemodialysis,bicarbonate de sodium 1250 g par cartouche poudre pour solution à diluer pour solution pour hémodialyse,ADDED
9012436,methylphenidate hydrochloride 25 mg modified-release oral capsule,chlorhydrate de méthylphénidate 25 mg capsule orale à libération modifiée,DELETED
9012438,methylphenidate hydrochloride 45 mg modified-release oral capsule,chlorhydrate de méthylphénidate 45 mg capsule orale à libération modifiée,DELETED
9006025,guaifenesin 600 mg modified-release oral tablet,guaïfénésine 600 mg comprimé oral à libération modifiée,DELETED
b23f7454062418153c3a73d2e4844759,pirtobrutinib 100 mg oral tablet,pirtobrutinib 100 mg comprimé oral,ADDED
9001725,sodium bicarbonate 84 mg per mL solution for injection,bicarbonate de sodium 84 mg par mL solution injectable,ADDED
9013271,calcium chloride 14.9 g per bottle powder for concentrate for solution for haemodialysis,"chlorure de calcium 14,9 g par bouteille poudre pour solution à diluer pour solution pour hémodialyse",ADDED
9014983,raxtozinameran 10 mcg per 0.3 mL suspension for injection 0.3 mL vial,"raxtozinaméran 10 mcg par 0,3 mL suspension injectable 0,3 mL fiole",DELETED
a6069b7621bd3f767b417844b3de9b98,methylphenidate hydrochloride 100 mg prolonged-release oral capsule,chlorhydrate de méthylphénidate 100 mg capsule orale à libération prolongée,ADDED
9014652,potassium chloride 40 meq per 100 mL solution for injection,chlorure de potassium 40 meq par 100 mL solution injectable,ADDED
9014987,raxtozinameran 3 mcg per 0.2 mL suspension for injection 2 mL vial,"raxtozinaméran 3 mcg par 0,2 mL suspension injectable 2 mL fiole",DELETED
4d24d1c2e9d146af30770dc35a43d497,fexofenadine hydrochloride 60 mg and pseudoephedrine hydrochloride 120 mg prolonged-release oral tablet,chlorhydrate de fexofénadine 60 mg et chlorhydrate de pseudoéphédrine 120 mg comprimé oral à libération prolongée,ADDED
1aa2b99efb2dbfce10343686d3021211,lecanemab 500 mg per 5 mL solution for injection vial,lécanémab 500 mg par 5 mL solution injectable fiole,ADDED
4b773335a43eda5cb79f4f6987654ce2,efanesoctocog alfa 1000 unit per vial powder for solution for injection with diluent solution syringe,efanesoctocog alfa 1000 unité par fiole poudre pour solution injectable avec solution diluante seringue,ADDED
899ecf9c57077abec37b612ab755de8f,methylphenidate hydrochloride 70 mg prolonged-release oral capsule,chlorhydrate de méthylphénidate 70 mg capsule orale à libération prolongée,ADDED
9013086,doxorubicin hydrochloride 20 mg per 10 mL solution for injection vial,chlorhydrate de doxorubicine 20 mg par 10 mL solution injectable fiole,ADDED
7c652597ec5cb56c04d562dfda392ed9,risdiplam 5 mg oral tablet,risdiplam 5 mg comprimé oral,ADDED
9012485,dexmedetomidine (dexmedetomidine hydrochloride) 200 mcg per 2 mL solution for injection vial,dexmédétomidine (chlorhydrate de dexmédétomidine) 200 mcg par 2 mL solution injectable fiole,"ntp_status_effective_time: ""20100224"" -> ""20190115"""
9000009,phenytoin 125 mg per 5 mL oral suspension,phénytoïne 125 mg par 5 mL suspension orale,"ntp_status_effective_time: ""19531231"" -> ""20050503"""
9003605,chloroxylenol 0.5 % cutaneous solution,"chloroxylénol 0,5 % solution pour application cutanée",ADDED
9013085,doxorubicin hydrochloride 2 mg per mL solution for injection 100 mL vial,chlorhydrate de doxorubicine 2 mg par mL solution injectable 100 mL fiole,ADDED
9015036,magnesium chloride 20.5 g per bottle powder for concentrate for solution for haemodialysis,"chlorure de magnésium 20,5 g par bouteille poudre pour solution à diluer pour solution pour hémodialyse",ADDED
