tm_code,tm_formal_name,tm_fr_description,changes
"8002326","gemtuzumab ozogamicin","gemtuzumab ozogamicine","ADDED"
"8001531","telbivudine","telbivudine","tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""20061214"" -> ""20200421"""
"8002324","darolutamide","darolutamide","ADDED"
"8002329","trifarotene","trifarotène","ADDED"
"8002325","entrectinib","entrectinib","ADDED"
"8002328","tafamidis","tafamidis","ADDED"
"8002327","siponimod","siponimod","ADDED"
"8001659","glycopyrrolate","glycopyrrolate","DELETED"
"8002212","sodium aurothiomalate","aurothiomalate de sodium","tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""19351231"" -> ""20190604"""
"8002319","damoctocog alfa pegol","damoctocog alfa pégol","ADDED"
"8002300","bacillus Calmette-Guérin substrain TICE","bacille de Calmette-Guérin sous-souche TICE","ADDED"
