drug_code,drug_identification_number,current_brand_name,previous_brand_name
"13226","01926683","CERUBIDINE","CERUBIDINE 20MG/VIAL"
"66208","02242481","TEVA-ZOPICLONE","RATIO-ZOPICLONE"
"68271","02244304","APO-GABAPENTIN","APO-GABAPENTIN CAPSULES"
"68273","02244305","APO-GABAPENTIN","APO-GABAPENTIN CAPSULES"
"68274","02244306","APO-GABAPENTIN","APO-GABAPENTIN CAPSULES"
"69468","02245416","JAMP-DIMENHYDRINATE","JAMP-DIMENHYDRINATE 50 MG TABLETS"
"70717","02246534","TEVA-ZOPICLONE","RATIO-ZOPICLONE"
"77000","02284421","TARO-PRAVASTATIN","RAN-PRAVASTATIN"
"77001","02284448","TARO-PRAVASTATIN","RAN-PRAVASTATIN"
"77002","02284456","TARO-PRAVASTATIN","RAN-PRAVASTATIN"
"90968","02425017","TARO-CYPROTERONE/ETHINYL ESTRADIOL","RAN-CYPROTERONE/ETHINYL ESTRADIOL"
"95491","02466570","NOURISHING DAY CREAM","ESSENTIALS 24H MOISTURE BOOST + NOURISH"
"95492","02466589","REFRESHING DAY CREAM","ESSENTIALS 24H MOISTURE BOOST + REFRESH"
"95493","02466597","MATTIFYING DAY CREAM","ESSENTIALS 24H MOISTURE BOOST + MATTE"
"95494","02466600","SOOTHING DAY CREAM","ESSENTIALS 24H MOISTURE BOOST + SOOTHE"
"21993","01935933","HEPARIN SODIUM IN 0.9% SODIUM CHLORIDE INJECTION","HEPARIN SODIUM 1000UNITS IN 0.9% SODIUM CHLORIDE INJECTION USP"
"66207","02242480","TEVA-ZOPICLONE","RATIO-ZOPICLONE"
"76053","02275015","MAQUAT 7.5-M","MAQUAT 7.5 M"
