drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"2481","active","active","00363812","SANOFI CONSUMER HEALTH INC","SANOFI-AVENTIS CANADA INC"
"2483","active","active","00363839","SANOFI CONSUMER HEALTH INC","SANOFI-AVENTIS CANADA INC"
"3429","active","active","00481815","SEARCHLIGHT PHARMA INC","HOFFMANN-LA ROCHE LIMITED"
"3430","active","active","00481823","SEARCHLIGHT PHARMA INC","HOFFMANN-LA ROCHE LIMITED"
"19807","active","active","02213834","SANOFI CONSUMER HEALTH INC","SANOFI-AVENTIS CANADA INC"
"41952","active","active","01929313","FOUNDATION CONSUMER BRANDS, LLC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"41954","active","active","01929372","FOUNDATION CONSUMER BRANDS, LLC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"41970","active","active","01929380","FOUNDATION CONSUMER BRANDS, LLC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"42981","active","active","02202581","TAKEDA CANADA INC","SHIRE PHARMA CANADA ULC"
"43308","active","active","02221829","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"43309","active","active","02221837","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"43310","active","active","02221845","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"43311","active","active","02221853","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"44137","active","active","02169525","ELANCO CANADA LIMITED","BAYER INC., ANIMAL HEALTH"
"44134","active","active","02169495","ELANCO CANADA LIMITED","BAYER INC., ANIMAL HEALTH"
"44135","active","active","02169509","ELANCO CANADA LIMITED","BAYER INC., ANIMAL HEALTH"
"44136","active","active","02169517","ELANCO CANADA LIMITED","BAYER INC., ANIMAL HEALTH"
"61069","active","active","02237715","BOEHRINGER INGELHEIM ANIMAL HEALTH CANADA INC.","BOEHRINGER INGELHEIM (CANADA) LTD LTEE"
"63584","active","active","02240073","ELANCO CANADA LIMITED","BAYER INC., ANIMAL HEALTH"
"65700","active","active","02242029","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"65701","active","active","02242030","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"66642","active","active","02242814","BAJAJ MEDICAL, LLC","APOTEX INC"
"67912","active","active","02243969","FOUNDATION CONSUMER BRANDS, LLC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"67924","active","active","02243980","FOUNDATION CONSUMER BRANDS, LLC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"68031","active","active","02244078","FOUNDATION CONSUMER BRANDS, LLC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"68034","active","active","02244079","FOUNDATION CONSUMER BRANDS, LLC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"68035","active","active","02244080","FOUNDATION CONSUMER BRANDS, LLC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"69079","active","active","02245075","FOUNDATION CONSUMER BRANDS, LLC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"69080","active","active","02245076","FOUNDATION CONSUMER BRANDS, LLC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"75672","active","active","02271249","IMCLONE, LLC","IMCLONE LLC"
"76678","active","active","02281112","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"77258","active","active","02287145","TAKEDA CANADA INC","SHIRE PHARMA CANADA ULC"
"77259","active","active","02287153","TAKEDA CANADA INC","SHIRE PHARMA CANADA ULC"
"77260","active","active","02287161","TAKEDA CANADA INC","SHIRE PHARMA CANADA ULC"
"77261","active","active","02287188","TAKEDA CANADA INC","SHIRE PHARMA CANADA ULC"
"80727","active","active","02321866","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC."
"80726","active","active","02321858","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC."
"83030","active","active","02344823","AURO PHARMA INC","AUROBINDO PHARMA LIMITED (UNIT VI)"
"83031","active","active","02344831","AURO PHARMA INC","AUROBINDO PHARMA LIMITED (UNIT VI)"
"83695","active","active","02351692","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC."
"83696","active","active","02351706","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC."
"83912","active","active","02353903","TAKEDA CANADA INC","SHIRE PHARMA CANADA ULC"
"83965","active","active","02354489","NAOS CANADA INC.","NAOS"
"83966","active","active","02354497","NAOS CANADA INC.","NAOS"
"86080","active","active","02375397","THE AVON COMPANY CANADA LIMITED","AVON CANADA INC"
"86257","active","active","02376997","SANOFI CONSUMER HEALTH INC","SANOFI-AVENTIS CANADA INC"
"88252","active","active","02397587","THE AVON COMPANY CANADA LIMITED","AVON CANADA INC"
"88879","active","active","02404044","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C."
"89735","active","active","02412683","BIOMARIN PHARMACEUTICAL INC.","BIOMARIN PHARMACEUTICAL INC"
"89853","active","active","02413892","CHIEF MEDICAL SUPPLIES LTD","TQM ENTERPRISES LIMITED"
"89855","active","active","02413906","CHIEF MEDICAL SUPPLIES LTD","TQM ENTERPRISES LIMITED"
"89856","active","active","02413914","CHIEF MEDICAL SUPPLIES LTD","TQM ENTERPRISES LIMITED"
"89857","active","active","02413922","CHIEF MEDICAL SUPPLIES LTD","TQM ENTERPRISES LIMITED"
"89860","active","active","02413957","CHIEF MEDICAL SUPPLIES LTD","TQM ENTERPRISES LIMITED"
"92278","active","active","02438399","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY"
"93100","active","active","02445727","TAKEDA CANADA INC","SHIRE PHARMACEUTICALS IRELAND LIMITED"
