drug_code,active_ingredient_code,status,extract,ingredient,strength,strength_unit,drug_identification_number
"74902","7104","REMOVED","active",NA,NA,NA,"02263645"
"70173","2232","Changed","approved","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","0.9","%","02246042"
"12492","309","Changed","inactive","IRON (FERROUS SUCCINATE)","2.5","MG","00879851"
"101203","9615","ADDED","approved","GUAIFENESIN","50","MG","02522950"
"100777","662","ADDED","active","PYRITHIONE ZINC","1","%","02518457"
"101200","11907","ADDED","approved","TELMISARTAN","80","MG","02522926"
"101242","1241","ADDED","approved","KETOROLAC TROMETHAMINE","30","MG","02523310"
"101218","13353","ADDED","approved","ALENDRONIC ACID (ALENDRONATE SODIUM)","70","MG","02523116"
"101256","7538","ADDED","approved","MEDROXYPROGESTERONE ACETATE","150","MG","02523493"
"101222","13353","ADDED","approved","ALENDRONIC ACID (ALENDRONATE SODIUM)","5","MG","02523159"
"101217","13353","ADDED","approved","ALENDRONIC ACID (ALENDRONATE SODIUM)","10","MG","02523108"
"99549","20185","ADDED","approved","LENALIDOMIDE","5","MG","02506149"
"101239","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.14","%","02523280"
"101220","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.14","%","02523132"
"101297","12251","ADDED","approved","TENOFOVIR DISOPROXIL FUMARATE","300","MG","02523922"
"81386","723","Changed","active","RISPERIDONE","2","MG","02328348"
"12298","309","Changed","inactive","IRON (IRON GLUTARATE)",".5","MG","01901117"
"61803","2232","Changed","approved","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","6","%","02238390"
"61803","2218","Changed","approved","OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","15","%","02238390"
"66132","2218","Changed","approved","OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","0.39","%","02242420"
"101215","2232","ADDED","approved","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","0.0364","%","02523086"
"101196","20171","ADDED","approved","DULOXETINE (DULOXETINE HYDROCHLORIDE)","30","MG","02522861"
"101215","2218","ADDED","approved","OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","0.0909","%","02523086"
"99550","20185","ADDED","approved","LENALIDOMIDE","10","MG","02506157"
"101284","13356","ADDED","approved","ADALIMUMAB","40","MG","02523779"
"101253","2232","ADDED","approved","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","1.5","%","02523442"
"101253","2218","ADDED","approved","OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","3","%","02523442"
"101250","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.1","%","02523418"
"22943","4803","Changed","inactive","CALCIUM (CALCIUM CITRATE)","20","MG","01959840"
"70160","2232","Changed","approved","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","1.69","%","02246031"
"81385","723","Changed","active","RISPERIDONE","1","MG","02328321"
"70173","197","Changed","approved","BENZALKONIUM CHLORIDE","3","%","02246042"
"101236","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.1","%","02523256"
"101212","232","ADDED","approved","PERINDOPRIL ERBUMINE","8","MG","02523043"
"101212","1960","ADDED","approved","INDAPAMIDE","2.5","MG","02523043"
"101216","13353","ADDED","approved","ALENDRONIC ACID (ALENDRONATE SODIUM)","5","MG","02523094"
"101206","11336","ADDED","approved","VENLAFAXINE (VENLAFAXINE HYDROCHLORIDE)","75","MG","02522985"
"101204","10224","ADDED","approved","DOXYLAMINE SUCCINATE","3.125","MG","02522969"
"100982","196","ADDED","active","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","0.14","%","02520613"
"101237","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.1","%","02523264"
"61803","197","Changed","approved","BENZALKONIUM CHLORIDE","20","%","02238390"
"66132","197","Changed","approved","BENZALKONIUM CHLORIDE","0.52","%","02242420"
"12305","331","Changed","inactive","ZINC (ZINC SUCCINATE)",".5","MG","01900625"
"81388","723","Changed","active","RISPERIDONE","3","MG","02328364"
"12313","331","Changed","inactive","ZINC (ZINC SUCCINATE)",".5","MG","00849871"
"101292","12594","ADDED","approved","TREPROSTINIL (TREPROSTINIL SODIUM)","5","MG","02523876"
"101247","20625","ADDED","approved","DEXLANSOPRAZOLE","60","MG","02523361"
"100592","196","ADDED","approved","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","0.125","%","02516586"
"101199","11907","ADDED","approved","TELMISARTAN","40","MG","02522918"
"101205","11336","ADDED","approved","VENLAFAXINE (VENLAFAXINE HYDROCHLORIDE)","37.5","MG","02522977"
"101293","12594","ADDED","approved","TREPROSTINIL (TREPROSTINIL SODIUM)","10","MG","02523884"
"101282","13356","ADDED","approved","ADALIMUMAB","40","MG","02523760"
"101189","16200","ADDED","approved","BEVACIZUMAB","400","MG","02522837"
"101203","10247","ADDED","approved","DEXTROMETHORPHAN HYDROBROMIDE","5","MG","02522950"
"101276","196","ADDED","approved","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","0.125","%","02523698"
"101295","5891","ADDED","approved","THIOTEPA","400","MG","02523906"
"101283","2730","ADDED","approved","DIDECYL DIMETHYL AMMONIUM CHLORIDE","0.0545","%","02523787"
"71462","1221","ADDED","approved","SIMVASTATIN","5","MG","02247220"
"101230","12094","ADDED","approved","INFLIXIMAB","100","MG","02523191"
"101259","8500","ADDED","approved","BACITRACIN ZINC","500","UNIT","02523507"
"99553","20185","ADDED","approved","LENALIDOMIDE","25","MG","02506181"
"101223","13353","ADDED","approved","ALENDRONIC ACID (ALENDRONATE SODIUM)","10","MG","02523167"
"101187","16200","ADDED","approved","BEVACIZUMAB","100","MG","02522829"
"101283","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.1212","%","02523787"
"101197","20171","ADDED","approved","DULOXETINE (DULOXETINE HYDROCHLORIDE)","60","MG","02522888"
"99552","20185","ADDED","approved","LENALIDOMIDE","20","MG","02506173"
"100982","197","ADDED","active","BENZALKONIUM CHLORIDE","0.14","%","02520613"
"101204","10247","ADDED","approved","DEXTROMETHORPHAN HYDROBROMIDE","7.5","MG","02522969"
"101210","1960","ADDED","approved","INDAPAMIDE","0.625","MG","02523027"
"101261","2218","ADDED","approved","OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","0.026","%","02523523"
"101210","232","ADDED","approved","PERINDOPRIL ERBUMINE","2","MG","02523027"
"101261","2232","ADDED","approved","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","0.013","%","02523523"
"101290","12594","ADDED","approved","TREPROSTINIL (TREPROSTINIL SODIUM)","1","MG","02523841"
"99551","20185","ADDED","approved","LENALIDOMIDE","15","MG","02506165"
"101249","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.13","%","02523396"
"101248","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.1","%","02523388"
