drug_code,drug_identification_number,current_brand_name,previous_brand_name
"1508","00155365","ADRENALIN TOPICAL SOLUTION","ADRENALIN CHLORIDE SOL 1:1000"
"2472","00362166","APO-FUROSEMIDE","APO FUROSEMIDE TAB 40MG"
"2798","00396788","APO-FUROSEMIDE","APO FUROSEMIDE TAB 20MG"
"3463","00402680","APO-OXAZEPAM","APO OXAZEPAM TAB 10MG"
"3464","00402737","APO-OXAZEPAM","APO OXAZEPAM TAB 30MG"
"3465","00402745","APO-OXAZEPAM","APO OXAZEPAM TAB 15MG"
"6827","00707570","APO-FUROSEMIDE","APO FUROSEMIDE TAB 80MG"
"71914","02247651","TARO-TERCONAZOLE","TARO-TERCONAZOLE CREAM"
"75346","02268078","TARO-DOMPERIDONE","RAN-DOMPERIDONE"
"793","00000809","ALCON TEARS 0.5%","ISOPTO TEARS 0.5%"
"794","00000817","ALCON TEARS 1%","ISOPTO TEARS 1%"
"81383","02328305","TARO-RISPERIDONE","RAN-RISPERIDONE"
"81384","02328313","TARO-RISPERIDONE","RAN-RISPERIDONE"
"81385","02328321","TARO-RISPERIDONE","RAN-RISPERIDONE"
"81386","02328348","TARO-RISPERIDONE","RAN-RISPERIDONE"
"81388","02328364","TARO-RISPERIDONE","RAN-RISPERIDONE"
"81389","02328372","TARO-RISPERIDONE","RAN-RISPERIDONE"
"81411","02328593","SANDOZ MONTELUKAST","SANDOZ MONTELUKAST TABLET"
"84365","02358611","SANDOZ MONTELUKAST","SANDOZ MONTELUKAST GRANULES"
"84814","02363127","ENTERIC COATED DAILY LOW DOSE ASA 81 MG","ENTERIC COATED DAILY LOW DOSE ASA 81MG"
"88210","02397102","TARO-QUETIAPINE","RAN-QUETIAPINE"
"88211","02397110","TARO-QUETIAPINE","RAN-QUETIAPINE"
"88212","02397129","TARO-QUETIAPINE","RAN-QUETIAPINE"
"9349","00728187","PMS-LORAZEPAM","PMS-LORAZEPAM TAB 0.5MG"
"9423","00728195","PMS-LORAZEPAM","PMS-LORAZEPAM TAB 1MG"
"9424","00728209","PMS-LORAZEPAM","PMS-LORAZEPAM TAB 2MG"
"18350","02163772","SOTALOL","NU-SOTALOL - TAB 160 MG"
"19817","02200996","SOTALOL","NU-SOTALOL - TAB 80MG"
"60898","02237560","TICLOPIDINE","NU-TICLOPIDINE 250 MG"
"88209","02397099","TARO-QUETIAPINE","RAN-QUETIAPINE"
"89455","02409895","JAMP-MEMANTINE","MED-MEMANTINE"
"91336","02428911","JAMP SOLIFENACIN SUCCINATE","MED-SOLIFENACIN"
"91337","02428938","JAMP SOLIFENACIN SUCCINATE","MED-SOLIFENACIN"
"66132","02242420","BARDAC 205M-1.3","BARDAC 205M-1.30"
"89454","02409887","JAMP-MEMANTINE","MED-MEMANTINE"
"90778","02423057","ALEMBIC-BOSENTAN","IPG-BOSENTAN"
"90779","02423065","ALEMBIC-BOSENTAN","IPG-BOSENTAN"
"100520","02515806","ULTRA-LIGHT UV LOTION","ULTRA LIGHT LOTION 40 MIN WATER RESISTANCE"
