drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"100982","105","WIPE","ADDED","02520613"
"94597","109","TABLET (DELAYED-RELEASE)","ADDED","02458926"
"92157","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","REMOVED","02437260"
"74093","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02255758"
"93023","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","REMOVED","02445026"
"63507","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02240000"
"89690","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02412322"
"101223","85","TABLET","ADDED","02523167"
"99553","5","CAPSULE","ADDED","02506181"
"99322","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02503786"
"101211","85","TABLET","ADDED","02523035"
"94598","17","TABLET (ENTERIC-COATED)","REMOVED","02458934"
"71462","85","TABLET","ADDED","02247220"
"101290","134","SOLUTION","ADDED","02523841"
"74089","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02255707"
"61803","134","SOLUTION","ADDED","02238390"
"93022","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02445018"
"70160","34","LIQUID","REMOVED","02246031"
"63321","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","REMOVED","02239834"
"88211","150","TABLET (IMMEDIATE RELEASE)","ADDED","02397110"
"101199","85","TABLET","ADDED","02522918"
"101221","134","SOLUTION","ADDED","02523140"
"44014","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","REMOVED","02148730"
"97096","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02480433"
"63179","17","TABLET (ENTERIC-COATED)","REMOVED","02239698"
"62794","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02239325"
"92155","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02437252"
"100777","59","SHAMPOO","ADDED","02518457"
"101297","85","TABLET","ADDED","02523922"
"99721","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02507838"
"90545","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","REMOVED","02420864"
"62793","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","REMOVED","02239324"
"101204","82","SYRUP","ADDED","02522969"
"101203","82","SYRUP","ADDED","02522950"
"101260","79","SUSPENSION","ADDED","02523515"
"48922","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","REMOVED","02230248"
"101206","141","CAPSULE (EXTENDED RELEASE)","ADDED","02522985"
"44013","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02148722"
"101216","85","TABLET","ADDED","02523094"
"101219","75","TABLET (EXTENDED-RELEASE)","ADDED","02523124"
"101248","134","SOLUTION","ADDED","02523388"
"99721","126","POWDER FOR SUSPENSION","REMOVED","02507838"
"101218","85","TABLET","ADDED","02523116"
"13443","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","REMOVED","00884502"
"92156","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02437279"
"101207","141","CAPSULE (EXTENDED RELEASE)","ADDED","02522993"
"72576","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02248239"
"97095","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","REMOVED","02480425"
"71710","134","SOLUTION","ADDED","02247462"
"99320","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02503751"
"101249","134","SOLUTION","ADDED","02523396"
"101276","134","SOLUTION","ADDED","02523698"
"99722","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02507846"
"101196","137","CAPSULE (DELAYED RELEASE)","ADDED","02522861"
"88212","150","TABLET (IMMEDIATE RELEASE)","ADDED","02397129"
"93433","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","REMOVED","02448610"
"90546","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02420872"
"67797","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","REMOVED","02243856"
"99550","5","CAPSULE","ADDED","02506157"
"101213","5","CAPSULE","ADDED","02523051"
"101242","134","SOLUTION","ADDED","02523310"
"91439","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02429977"
"70160","134","SOLUTION","ADDED","02246031"
"62792","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","REMOVED","02239323"
"99548","5","CAPSULE","ADDED","02506130"
"88212","85","TABLET","REMOVED","02397129"
"99551","5","CAPSULE","ADDED","02506165"
"72577","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","REMOVED","02248240"
"99552","5","CAPSULE","ADDED","02506173"
"61803","34","LIQUID","REMOVED","02238390"
"78377","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","REMOVED","02298465"
"101246","137","CAPSULE (DELAYED RELEASE)","ADDED","02523353"
"63181","17","TABLET (ENTERIC-COATED)","REMOVED","02239700"
"74091","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02255723"
"75428","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02268892"
"101282","134","SOLUTION","ADDED","02523760"
"101220","105","WIPE","ADDED","02523132"
"71711","134","SOLUTION","ADDED","02247463"
"92157","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","02437260"
"71712","134","SOLUTION","ADDED","02247464"
"101253","134","SOLUTION","ADDED","02523442"
"63179","109","TABLET (DELAYED-RELEASE)","ADDED","02239698"
"95052","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","REMOVED","02462699"
"10318","118","POWDER FOR SUSPENSION, EXTENDED-RELEASE","ADDED","00836273"
"101261","98","SPRAY","ADDED","02523523"
"101222","85","TABLET","ADDED","02523159"
"63507","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","REMOVED","02240000"
"101250","134","SOLUTION","ADDED","02523418"
"89690","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","REMOVED","02412322"
"66132","134","SOLUTION","ADDED","02242420"
