drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"101259","55","OPHTHALMIC","ADDED","02523507"
"100592","8","DISINFECTANT (Food Premises)","ADDED","02516586"
"100982","94","DISINFECTANT (Institutional/Industrial)","ADDED","02520613"
"101213","56","ORAL","ADDED","02523051"
"101196","56","ORAL","ADDED","02522861"
"101292","65","SUBCUTANEOUS","ADDED","02523876"
"64397","6","DIALYSIS","ADDED","02240806"
"99548","56","ORAL","ADDED","02506130"
"101284","65","SUBCUTANEOUS","ADDED","02523779"
"101246","56","ORAL","ADDED","02523353"
"101216","56","ORAL","ADDED","02523094"
"101220","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02523132"
"99552","56","ORAL","ADDED","02506173"
"101237","104","TOPICAL (HOUSEHOLD)","ADDED","02523264"
"101218","56","ORAL","ADDED","02523116"
"101261","94","DISINFECTANT (Institutional/Industrial)","ADDED","02523523"
"101297","56","ORAL","ADDED","02523922"
"101292","49","INTRAVENOUS","ADDED","02523876"
"99553","56","ORAL","ADDED","02506181"
"71462","56","ORAL","ADDED","02247220"
"101282","65","SUBCUTANEOUS","ADDED","02523760"
"62801","94","DISINFECTANT (Institutional/Industrial)","ADDED","02239332"
"100592","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02516586"
"100982","93","DISINFECTANT (Domestic)","ADDED","02520613"
"101230","49","INTRAVENOUS","ADDED","02523191"
"101220","94","DISINFECTANT (Institutional/Industrial)","ADDED","02523132"
"101295","49","INTRAVENOUS","ADDED","02523906"
"101211","56","ORAL","ADDED","02523035"
"101261","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02523523"
"101221","49","INTRAVENOUS","ADDED","02523140"
"61803","2","DISINFECTANT (Barn)","ADDED","02238390"
"100592","93","DISINFECTANT (Domestic)","ADDED","02516586"
"64397","33","INTRAPERITONEAL","REMOVED","02240806"
"101223","56","ORAL","ADDED","02523167"
"70173","94","DISINFECTANT (Institutional/Industrial)","ADDED","02246042"
"101290","49","INTRAVENOUS","ADDED","02523841"
"101220","8","DISINFECTANT (Food Premises)","ADDED","02523132"
"62801","2","DISINFECTANT (Barn)","ADDED","02239332"
"101283","94","DISINFECTANT (Institutional/Industrial)","ADDED","02523787"
"101239","93","DISINFECTANT (Domestic)","ADDED","02523280"
"101293","49","INTRAVENOUS","ADDED","02523884"
"101187","49","INTRAVENOUS","ADDED","02522829"
"101276","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02523698"
"101215","93","DISINFECTANT (Domestic)","ADDED","02523086"
"101189","49","INTRAVENOUS","ADDED","02522837"
"101247","56","ORAL","ADDED","02523361"
"101291","65","SUBCUTANEOUS","ADDED","02523868"
"101212","56","ORAL","ADDED","02523043"
"70173","2","DISINFECTANT (Barn)","ADDED","02246042"
"101271","56","ORAL","ADDED","02523620"
"101239","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02523280"
"1508","70","TOPICAL","ADDED","00155365"
"101215","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02523086"
"61803","94","DISINFECTANT (Institutional/Industrial)","ADDED","02238390"
"101276","93","DISINFECTANT (Domestic)","ADDED","02523698"
"101204","56","ORAL","ADDED","02522969"
"101203","56","ORAL","ADDED","02522950"
"101210","56","ORAL","ADDED","02523027"
"101197","56","ORAL","ADDED","02522888"
"100569","93","DISINFECTANT (Domestic)","ADDED","02516330"
"101220","2","DISINFECTANT (Barn)","ADDED","02523132"
"100569","94","DISINFECTANT (Institutional/Industrial)","ADDED","02516330"
"101207","56","ORAL","ADDED","02522993"
"66132","2","DISINFECTANT (Barn)","ADDED","02242420"
"101200","56","ORAL","ADDED","02522926"
"101276","94","DISINFECTANT (Institutional/Industrial)","ADDED","02523698"
"101242","22","INTRAMUSCULAR","ADDED","02523310"
"101206","56","ORAL","ADDED","02522985"
"100592","2","DISINFECTANT (Barn)","ADDED","02516586"
"101217","56","ORAL","ADDED","02523108"
"99549","56","ORAL","ADDED","02506149"
"101276","8","DISINFECTANT (Food Premises)","ADDED","02523698"
