"tm_code","tm_formal_name","greater_than_5_AIs","n_dins","n_ntps","tm_status","tm_status_effective_time"
"8000003","epinephrine","FALSE","10","3","active","1951-12-31"
"8000795","acetylsalicylic acid","FALSE","65","4","active","1951-12-31"
"8000006","testosterone","FALSE","13","5","active","1953-12-31"
"8000799","phenobarbital","FALSE","5","2","active","1957-12-31"
"8000800","bisacodyl","FALSE","21","3","active","1958-12-31"
"8001044","acetaminophen","FALSE","124","11","active","1961-12-31"
"8000028","dexamethasone (base)","FALSE","13","6","active","1966-12-31"
"8001078","ephedrine","FALSE","2","1","active","1966-12-31"
"8000036","clindamycin","FALSE","25","5","active","1970-12-31"
"8000806","acetylsalicylic acid and caffeine and codeine","FALSE","3","1","active","1970-12-31"
"8000809","chlorhexidine","FALSE","43","10","active","1972-12-31"
"8000055","folic acid","FALSE","6","2","active","1975-12-31"
"8000811","docusate and sennosides","FALSE","5","1","active","1975-12-31"
"8000071","morphine","FALSE","62","8","active","1978-12-31"
"8000072","valproic acid (valproate)","FALSE","3","2","active","1978-12-31"
"8000817","alcohol anhydrous","FALSE","1","1","active","1978-12-31"
"8000792","betamethasone valerate","FALSE","17","5","active","1979-12-31"
"8000814","metronidazole and nystatin","FALSE","1","1","active","1979-12-31"
"8000821","guaifenesin","FALSE","16","4","active","1979-12-31"
"8000823","phenylephrine","FALSE","9","4","active","1979-12-31"
"8000796","benzalkonium","FALSE","49","7","active","1980-11-04"
"8001097","nitrazepam","FALSE","2","1","active","1980-12-31"
"8000826","guaifenesin and oxtriphylline","FALSE","1","1","active","1981-12-31"
"8000827","tobramycin","FALSE","14","6","active","1981-12-31"
"8001049","aminophylline","FALSE","3","1","active","1981-12-31"
"8001077","cromolyn","FALSE","5","4","active","1981-12-31"
"8000828","acetaminophen and codeine and doxylamine","FALSE","1","1","active","1982-12-31"
"8000829","benzoyl peroxide","FALSE","43","8","active","1982-12-31"
"8000106","hydromorphone","FALSE","38","6","active","1984-12-31"
"8001045","docusate","FALSE","42","4","active","1985-12-31"
"8001090","theophylline","FALSE","12","3","active","1985-12-31"
"8000114","dexamethasone phosphate","FALSE","6","1","active","1986-12-31"
"8000837","acetaminophen and caffeine","FALSE","5","1","active","1986-12-31"
"8000118","enalapril","FALSE","43","1","active","1987-12-31"
"8000841","cyproterone","FALSE","5","2","active","1987-12-31"
"8000132","salbutamol","FALSE","21","5","active","1989-12-31"
"8000843","acetaminophen and phenylephrine","FALSE","8","3","active","1989-12-31"
"8001101","triazolam","FALSE","1","1","active","1989-12-31"
"8000846","betamethasone dipropionate and clotrimazole","FALSE","1","1","active","1990-12-31"
"8000848","dexamethasone (base) and tobramycin","FALSE","2","2","active","1990-12-31"
"8000849","enalapril and hydrochlorothiazide","FALSE","3","1","active","1990-12-31"
"8000850","fluconazole","FALSE","24","4","active","1990-12-31"
"8000851","hydralazine","FALSE","7","2","active","1990-12-31"
"8001088","terbutaline","FALSE","1","1","active","1990-12-31"
"8001095","chloral hydrate","FALSE","2","1","active","1990-12-31"
"8000159","ciprofloxacin","FALSE","60","6","active","1992-12-31"
"8000866","mupirocin","FALSE","3","2","active","1992-12-31"
"8001068","ampicillin","FALSE","12","1","active","1992-12-31"
"8000870","acetylsalicylic acid and caffeine","FALSE","3","1","active","1993-12-31"
"8000202","ipratropium","FALSE","14","4","active","1994-12-31"
"8000217","methotrexate","FALSE","22","2","active","1995-12-31"
"8000891","naloxone","FALSE","9","2","active","1995-12-31"
