ccdd_code,ccdd_formal_name,ccdd_type,policy_type,policy_reference,special_groupings_status,special_groupings_status_effective_time,changes
"02485532","HYDROMORPHONE HYDROCHLORIDE INJECTION USP (hydromorphone hydrochloride 20 mg per 50 mL solution for injection bag) STERINOVA INC","MP","500002","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html","Active","20170919","ADDED"
"02394197","ACT OXYCODONE CR (oxycodone hydrochloride 20 mg prolonged-release oral tablet) TEVA CANADA LIMITED","MP","500002","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html","Active","20170919","ccdd_formal_name: ""ACT OXYCODONE CR (oxycodone hydrochloride 20 mg prolonged-release oral tablet) ACTAVIS PHARMA COMPANY"" -> ACT OXYCODONE CR (oxycodone hydrochloride 20 mg prolonged-release oral tablet) TEVA CANADA LIMITED"
"02394219","ACT OXYCODONE CR (oxycodone hydrochloride 80 mg prolonged-release oral tablet) TEVA CANADA LIMITED","MP","500002","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html","Active","20170919","ccdd_formal_name: ""ACT OXYCODONE CR (oxycodone hydrochloride 80 mg prolonged-release oral tablet) ACTAVIS PHARMA COMPANY"" -> ACT OXYCODONE CR (oxycodone hydrochloride 80 mg prolonged-release oral tablet) TEVA CANADA LIMITED"
"6be648740c482209b6fceac1c9d6167e","hydromorphone hydrochloride 20 mg per 50 mL solution for injection bag","NTP","500001","http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php","Active","20170919","ADDED"
"02394170","ACT OXYCODONE CR (oxycodone hydrochloride 5 mg prolonged-release oral tablet) TEVA CANADA LIMITED","MP","500001","http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php","Active","20170919","ccdd_formal_name: ""ACT OXYCODONE CR (oxycodone hydrochloride 5 mg prolonged-release oral tablet) ACTAVIS PHARMA COMPANY"" -> ACT OXYCODONE CR (oxycodone hydrochloride 5 mg prolonged-release oral tablet) TEVA CANADA LIMITED"
"6c8ba82f9e74f7e69929c4e5f8d96ead","hydromorphone hydrochloride 40 mg per 100 mL solution for injection bag","NTP","500002","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html","Active","20170919","ADDED"
"02485540","HYDROMORPHONE HYDROCHLORIDE INJECTION USP (hydromorphone hydrochloride 40 mg per 100 mL solution for injection bag) STERINOVA INC","MP","500002","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html","Active","20170919","ADDED"
"6c8ba82f9e74f7e69929c4e5f8d96ead","hydromorphone hydrochloride 40 mg per 100 mL solution for injection bag","NTP","500001","http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php","Active","20170919","ADDED"
"02485540","HYDROMORPHONE HYDROCHLORIDE INJECTION USP (hydromorphone hydrochloride 40 mg per 100 mL solution for injection bag) STERINOVA INC","MP","500001","http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php","Active","20170919","ADDED"
"02485532","HYDROMORPHONE HYDROCHLORIDE INJECTION USP (hydromorphone hydrochloride 20 mg per 50 mL solution for injection bag) STERINOVA INC","MP","500001","http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php","Active","20170919","ADDED"
