mp_code,mp_formal_name,mp_en_description,mp_fr_description,mp_status,mp_status_effective_time,mp_type,Health_Canada_identifier,Health_Canada_product_name,tm_is_publishable
"02025337","ACETAMINOPHEN, CAFFEINE & CODEINE (acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet) PHARMASCIENCE INC",NA,NA,"Active","19931231","DIN","02025337","ACETAMINOPHEN, CAFFEINE & CODEINE","t"
"02028174","ACETAMINOPHEN, CAFFEINE & CODEINE (acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet) PHARMASCIENCE INC",NA,NA,"Active","19931231","DIN","02028174","ACETAMINOPHEN, CAFFEINE & CODEINE","t"
"02370077","MINT-CITALOPRAM (citalopram (citalopram hydrobromide) 10 mg oral tablet) MINT PHARMACEUTICALS INC",NA,NA,"Active","20110913","DIN","02370077","MINT-CITALOPRAM","t"
"02429691","MINT-CITALOPRAM (citalopram (citalopram hydrobromide) 10 mg oral tablet) MINT PHARMACEUTICALS INC",NA,NA,"Active","20151014","DIN","02429691","MINT-CITALOPRAM","t"
"02304686","MINT-CITALOPRAM (citalopram (citalopram hydrobromide) 20 mg oral tablet) MINT PHARMACEUTICALS INC",NA,NA,"Active","20080310","DIN","02304686","MINT-CITALOPRAM","t"
"02429705","MINT-CITALOPRAM (citalopram (citalopram hydrobromide) 20 mg oral tablet) MINT PHARMACEUTICALS INC",NA,NA,"Active","20151014","DIN","02429705","MINT-CITALOPRAM","t"
"02429713","MINT-CITALOPRAM (citalopram (citalopram hydrobromide) 40 mg oral tablet) MINT PHARMACEUTICALS INC",NA,NA,"Active","20151014","DIN","02429713","MINT-CITALOPRAM","t"
"02304694","MINT-CITALOPRAM (citalopram (citalopram hydrobromide) 40 mg oral tablet) MINT PHARMACEUTICALS INC",NA,NA,"Active","20080310","DIN","02304694","MINT-CITALOPRAM","t"
"02285371","PMS-ASA EC (acetylsalicylic acid 325 mg gastro-resistant tablet) PHARMASCIENCE INC",NA,NA,"Active","20060928","DIN","02285371","PMS-ASA EC","f"
"02284529","PMS-ASA EC (acetylsalicylic acid 325 mg gastro-resistant tablet) PHARMASCIENCE INC",NA,NA,"Active","20060831","DIN","02284529","PMS-ASA EC","f"
"02313456","PMS-ATORVASTATIN (atorvastatin (atorvastatin calcium) 20 mg oral tablet) PHARMASCIENCE INC",NA,NA,"Active","20100519","DIN","02313456","PMS-ATORVASTATIN","t"
"02399385","PMS-ATORVASTATIN (atorvastatin (atorvastatin calcium) 20 mg oral tablet) PHARMASCIENCE INC",NA,NA,"Active","20130326","DIN","02399385","PMS-ATORVASTATIN","t"
"02294273","PMS-TERBINAFINE (terbinafine (terbinafine hydrochloride) 250 mg oral tablet) PHARMASCIENCE INC",NA,NA,"Active","20090619","DIN","02294273","PMS-TERBINAFINE","t"
"02240807","PMS-TERBINAFINE (terbinafine (terbinafine hydrochloride) 250 mg oral tablet) PHARMASCIENCE INC",NA,NA,"Active","20000214","DIN","02240807","PMS-TERBINAFINE","t"
