drug_code,mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
4226,00497193,"AMINOPHYLLINE INJ 25MG/ML (aminophylline 25 mg par mL solution injectable) ABBOTT LABORATORIES, LIMITED",aminophylline 25 mg par mL solution injectable,aminophylline,"mp_fr_description: ""AMINOPHYLLINE INJE̲C̲T̲I̲O̲N̲ ̲U̲S̲P̲ ̲(̲a̲m̲i̲n̲o̲p̲h̲y̲l̲l̲i̲n̲e̲ ̲2̲5̲0̲ ̲m̲g̲ ̲p̲a̲r̲ ̲1̲0̲ ̲m̲L̲ ̲s̲o̲l̲u̲t̲i̲o̲n̲ ̲i̲n̲j̲e̲c̲t̲a̲b̲l̲e̲ ̲f̲i̲o̲l̲e̲)̲ ̲P̲F̲I̲Z̲E̲R̲ ̲C̲A̲N̲A̲D̲A̲ ̲U̲L̲C̲"" -> ""AMINOPHYLLINE INJ ̲2̲5̲M̲G̲/̲M̲L̲ ̲(̲a̲m̲i̲n̲o̲p̲h̲y̲l̲l̲i̲n̲e̲ ̲2̲5̲ ̲m̲g̲ ̲p̲a̲r̲ ̲m̲L̲ ̲s̲o̲l̲u̲t̲i̲o̲n̲ ̲i̲n̲j̲e̲c̲t̲a̲b̲l̲e̲)̲ ̲A̲B̲B̲O̲T̲T̲ ̲L̲A̲B̲O̲R̲A̲T̲O̲R̲I̲E̲S̲,̲ ̲L̲I̲M̲I̲T̲E̲D̲""
ntp_code: ""9012367"" -> ""d028d01b7c92e37bad93910c6d8b0b23""
ntp_fr_description: ""aminophylline 250̲ mg par ̲1̲0̲ mL solution injectable ̲f̲i̲o̲l̲e̲"" -> ""aminophylline 25 mg par mL solution injectable"""
6547,00497193,"AMINOPHYLLINE INJ 25MG/ML (aminophylline 25 mg par mL solution injectable) ABBOTT LABORATORIES, LIMITED",aminophylline 25 mg par mL solution injectable,aminophylline,"mp_fr_description: ""AMINOPHYLLINE INJE̲C̲T̲I̲O̲N̲ ̲U̲S̲P̲ ̲(̲a̲m̲i̲n̲o̲p̲h̲y̲l̲l̲i̲n̲e̲ ̲2̲5̲0̲ ̲m̲g̲ ̲p̲a̲r̲ ̲1̲0̲ ̲m̲L̲ ̲s̲o̲l̲u̲t̲i̲o̲n̲ ̲i̲n̲j̲e̲c̲t̲a̲b̲l̲e̲ ̲f̲i̲o̲l̲e̲)̲ ̲P̲F̲I̲Z̲E̲R̲ ̲C̲A̲N̲A̲D̲A̲ ̲U̲L̲C̲"" -> ""AMINOPHYLLINE INJ ̲2̲5̲M̲G̲/̲M̲L̲ ̲(̲a̲m̲i̲n̲o̲p̲h̲y̲l̲l̲i̲n̲e̲ ̲2̲5̲ ̲m̲g̲ ̲p̲a̲r̲ ̲m̲L̲ ̲s̲o̲l̲u̲t̲i̲o̲n̲ ̲i̲n̲j̲e̲c̲t̲a̲b̲l̲e̲)̲ ̲A̲B̲B̲O̲T̲T̲ ̲L̲A̲B̲O̲R̲A̲T̲O̲R̲I̲E̲S̲,̲ ̲L̲I̲M̲I̲T̲E̲D̲""
ntp_code: ""9012367"" -> ""d028d01b7c92e37bad93910c6d8b0b23""
ntp_fr_description: ""aminophylline 250̲ mg par ̲1̲0̲ mL solution injectable ̲f̲i̲o̲l̲e̲"" -> ""aminophylline 25 mg par mL solution injectable"""
14551,02044013,"ROBITUSSIN CHILDREN'S COUGH AND COLD (bromhydrate de dextrométhorphane 7,5 mg par 5 mL et chlorhydrate de pseudoéphédrine 15 mg par 5 mL sirop) HALEON CANADA ULC","bromhydrate de dextrométhorphane 7,5 mg par 5 mL et chlorhydrate de pseudoéphédrine 15 mg par 5 mL sirop",dextrométhorphane et pseudoéphédrine,"mp_fr_description: ""ROBITUSSIN CHILDREN'S COUGH AND COLD (bromhydrate de dextrométhorphane 7,5 mg par 5 mL et chlorhydrate de pseudoéphédrine 15 mg par 5 mL sirop) G̲L̲A̲X̲O̲S̲M̲I̲T̲H̲K̲L̲I̲N̲E̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ULC"" -> ""ROBITUSSIN CHILDREN'S COUGH AND COLD (bromhydrate de dextrométhorphane 7,5 mg par 5 mL et chlorhydrate de pseudoéphédrine 15 mg par 5 mL sirop) H̲A̲L̲E̲O̲N̲ ̲C̲A̲N̲A̲D̲A̲ ULC"""
15210,01924567,DEXEDRINE SPANSULE (sulfate de dextroamphétamine 15 mg capsule orale à libération prolongée) PALADIN PHARMA INC.,sulfate de dextroamphétamine 15 mg capsule orale à libération prolongée,dextroamphétamine,"mp_fr_description: ""DEXEDRINE SPANSULE ̲S̲R̲C̲ ̲1̲5̲M̲G̲ (sulfate de dextroamphétamine 15 mg capsule orale à libération prolongée) PALADIN PHARMA INC."" -> ""DEXEDRINE SPANSULE (sulfate de dextroamphétamine 15 mg capsule orale à libération prolongée) PALADIN PHARMA INC."""
15211,01924559,DEXEDRINE SPANSULE (sulfate de dextroamphétamine 10 mg capsule orale à libération prolongée) PALADIN PHARMA INC.,sulfate de dextroamphétamine 10 mg capsule orale à libération prolongée,dextroamphétamine,"mp_fr_description: ""DEXEDRINE SPANSULE ̲S̲R̲C̲ ̲1̲0̲M̲G̲ (sulfate de dextroamphétamine 10 mg capsule orale à libération prolongée) PALADIN PHARMA INC."" -> ""DEXEDRINE SPANSULE (sulfate de dextroamphétamine 10 mg capsule orale à libération prolongée) PALADIN PHARMA INC."""
15225,01924516,DEXEDRINE (sulfate de dextroamphétamine 5 mg comprimé oral) PALADIN PHARMA INC.,sulfate de dextroamphétamine 5 mg comprimé oral,dextroamphétamine,"mp_fr_description: ""DEXEDRINE ̲T̲A̲B̲L̲E̲T̲S̲ ̲(̲5̲M̲G̲)̲ (sulfate de dextroamphétamine 5 mg comprimé oral) PALADIN PHARMA INC."" -> ""DEXEDRINE (sulfate de dextroamphétamine 5 mg comprimé oral) PALADIN PHARMA INC."""
15482,01999761,KENALOG-10 INJECTION (acétonide de triamcinolone 50 mg par 5 mL suspension injectable fiole) BRISTOL-MYERS SQUIBB CANADA,acétonide de triamcinolone 50 mg par 5 mL suspension injectable fiole,acétonide de triamcinolone,"mp_fr_description: ""KENALOG-10 INJECTION ̲1̲0̲M̲G̲/̲M̲L̲ (acétonide de triamcinolone 50 mg par 5 mL suspension injectable fiole) BRISTOL-MYERS SQUIBB CANADA"" -> ""KENALOG-10 INJECTION (acétonide de triamcinolone 50 mg par 5 mL suspension injectable fiole) BRISTOL-MYERS SQUIBB CANADA"""
19044,02142783,ROBITUSSIN EXTRA STRENGTH MUCUS AND PHLEGM (guaïfénésine 200 mg par 5 mL sirop) HALEON CANADA ULC,guaïfénésine 200 mg par 5 mL sirop,guaïfénésine,"mp_fr_description: ""ROBITUSSIN EXTRA STRENGTH MUCUS AND PHLEGM (guaïfénésine 200 mg par 5 mL sirop) G̲L̲A̲X̲O̲S̲M̲I̲T̲H̲K̲L̲I̲N̲E̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ULC"" -> ""ROBITUSSIN EXTRA STRENGTH MUCUS AND PHLEGM (guaïfénésine 200 mg par 5 mL sirop) H̲A̲L̲E̲O̲N̲ ̲C̲A̲N̲A̲D̲A̲ ULC"""
19060,02172380,ROBITUSSIN EXTRA STRENGTH COUGH & COLD (bromhydrate de dextrométhorphane 15 mg par 5 mL et guaïfénésine 200 mg par 5 mL et chlorhydrate de pseudoéphédrine 30 mg par 5 mL sirop) HALEON CANADA ULC,bromhydrate de dextrométhorphane 15 mg par 5 mL et guaïfénésine 200 mg par 5 mL et chlorhydrate de pseudoéphédrine 30 mg par 5 mL sirop,dextrométhorphane et guaïfénésine et pseudoéphédrine,"mp_fr_description: ""ROBITUSSIN EXTRA STRENGTH COUGH & COLD (bromhydrate de dextrométhorphane 15 mg par 5 mL et guaïfénésine 200 mg par 5 mL et chlorhydrate de pseudoéphédrine 30 mg par 5 mL sirop) G̲L̲A̲X̲O̲S̲M̲I̲T̲H̲K̲L̲I̲N̲E̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ULC"" -> ""ROBITUSSIN EXTRA STRENGTH COUGH & COLD (bromhydrate de dextrométhorphane 15 mg par 5 mL et guaïfénésine 200 mg par 5 mL et chlorhydrate de pseudoéphédrine 30 mg par 5 mL sirop) H̲A̲L̲E̲O̲N̲ ̲C̲A̲N̲A̲D̲A̲ ULC"""
63982,02240433,"PMS-CHLORHEXIDINE (gluconate de chlorhexidine 0,12 % solution pour bain de bouche) PHARMASCIENCE INC","gluconate de chlorhexidine 0,12 % solution pour bain de bouche",chlorhexidine,"mp_fr_description: ""PE̲R̲I̲C̲H̲L̲O̲R̲ (gluconate de chlorhexidine 0,12 % solution pour bain de bouche) PE̲N̲D̲O̲P̲H̲A̲R̲M̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲P̲HARMASCIENCE INC"" -> ""PM̲S̲-̲C̲H̲L̲O̲R̲H̲E̲X̲I̲D̲I̲N̲E̲ (gluconate de chlorhexidine 0,12 % solution pour bain de bouche) PHARMASCIENCE INC"""
