"ntp_formal_name","ccdd","n_mp","greater_than_5_AIs","ntp_status_effective_time","ntp_code"
"ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with lactose oral tablet",TRUE,2,FALSE,1974-12-31,9006198
"ethinyl estradiol 0.03 mg and norethindrone acetate 1.5 mg oral tablet",TRUE,1,FALSE,1974-12-31,9006199
"ethinyl estradiol 0.02 mg and norethindrone acetate 1 mg oral tablet",TRUE,1,FALSE,1975-12-31,9006200
"ethinyl estradiol 0.02 mg and norethindrone acetate 1 mg oral tablet with lactose oral tablet",TRUE,1,FALSE,1975-12-31,9006201
"ethinyl estradiol 0.03 mg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet",TRUE,1,FALSE,1976-12-31,9006202
"penicillin v potassium 300 mg per 5 mL powder for oral solution",TRUE,2,FALSE,1977-12-31,9006203
"codeine phosphate 10 mg per 5 mL oral solution",TRUE,1,FALSE,1978-12-31,9006204
"ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet with lactose oral tablet",TRUE,3,FALSE,1980-12-31,9006205
"alcohol anhydrous 0.25 mL per 5 mL and doxylamine succinate 6 mg per 5 mL and etafedrin hydrochloride 16.65 mg per 5 mL and hydrocodone bitartrate 1.65 mg per 5 mL and sodium citrate 200 mg per 5 mL syrup",TRUE,2,FALSE,1983-12-31,9006206
"ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 750 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablett",TRUE,1,TRUE,1983-12-31,9006207
"ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 750 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet with lactose oral tablet",TRUE,1,TRUE,1983-12-31,9006208
"hydromorphone hydrochloride 10 mg per mL solution for injection 50 mL vial",TRUE,2,FALSE,1984-12-31,9006209
"penicillin v potassium 125 mg per 5 mL powder for oral solution",TRUE,1,FALSE,1985-12-31,9006210
"penicillin v potassium 300 mg oral tablet",TRUE,1,FALSE,1985-12-31,9006211
"codeine phosphate 25 mg per 5 mL syrup",TRUE,1,FALSE,1986-12-18,9006212
"meperidine hydrochloride 10 mg per mL solution for injection 30 mL vial",TRUE,1,FALSE,1986-12-31,9006213
"ethinyl estradiol 0.03 mg and levonorgestrel 0.05 mg oral tablet with ethinyl estradiol 0.04 mg and norgestimate 0.75 mg oral tablet with ethinyl estradiol 0.03 mg and norgestimate 0.125 mg oral tablet",TRUE,1,TRUE,1987-12-31,9006214
"ethinyl estradiol 0.03 mg and levonorgestrel 0.05 mg oral tablet with ethinyl estradiol 0.04 mg and norgestimate 0.75 mg oral tablet with ethinyl estradiol 0.03 mg and norgestimate 0.125 mg oral tablet with lactose oral tablet",TRUE,1,TRUE,1987-12-31,9006215
