drug_code,active_ingredient_code,status,extract,ingredient,strength,strength_unit,drug_identification_number
"93364","7762","REMOVED","approved",NA,NA,NA,"02447959"
"93393","7762","REMOVED","approved",NA,NA,NA,"02448262"
"12492","309","Changed","inactive","IRON (FERROUS SUCCINATE)","2.5","MG","00879851"
"12298","309","Changed","inactive","IRON (IRON GLUTARATE)",".5","MG","01901117"
"99959","22295","ADDED","active","CANAGLIFLOZIN","100","MG","02510367"
"106757","11784","ADDED","approved","MONTELUKAST (MONTELUKAST SODIUM)","4","MG","02564912"
"106695","1381","ADDED","approved","FENOFIBRATE","145","MG","02564246"
"106719","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.13","%","02564491"
"106705","9880","ADDED","approved","METRONIDAZOLE","0.75","%","02564343"
"106740","13107","ADDED","approved","LEVETIRACETAM","100","MG","02564734"
"106720","2564","ADDED","approved","CLONIDINE HYDROCHLORIDE","0.1","MG","02564505"
"106792","1810","ADDED","approved","ENALAPRIL MALEATE","10","MG","02565307"
"103307","22295","ADDED","approved","CANAGLIFLOZIN","300","MG","02544520"
"106711","662","ADDED","approved","PYRITHIONE ZINC","1","%","02564416"
"106734","27125","ADDED","approved","VOSORITIDE","0.4","MG","02564653"
"106776","11104","ADDED","approved","ONDANSETRON","4","MG","02565129"
"106722","2414","ADDED","approved","NAPROXEN","375","MG","02564521"
"106706","9880","ADDED","approved","METRONIDAZOLE","1","%","02564351"
"106756","20422","ADDED","approved","USTEKINUMAB","90","MG","02564904"
"84660","11323","ADDED","inactive","SUMATRIPTAN (SUMATRIPTAN SUCCINATE)","100","MG","02361523"
"106349","10021","ADDED","approved","CITRIC ACID","12","G","02560429"
"106724","22295","ADDED","approved","CANAGLIFLOZIN","100","MG","02564556"
"106723","2414","ADDED","approved","NAPROXEN","500","MG","02564548"
"106349","778","ADDED","approved","MAGNESIUM OXIDE","3.5","G","02560429"
"106700","2300","ADDED","approved","LORAZEPAM","2","MG","02564297"
"106716","21079","ADDED","approved","ERIBULIN MESYLATE","0.5","MG","02564467"
"106725","22295","ADDED","approved","CANAGLIFLOZIN","300","MG","02564564"
"106753","22602","ADDED","approved","LEVOMILNACIPRAN (LEVOMILNACIPRAN HYDROCHLORIDE)","120","MG","02564874"
"106773","17119","ADDED","approved","FIBRINOGEN (HUMAN)","2","G","02565099"
"106718","22978","ADDED","approved","LANADELUMAB","300","MG","02564483"
"106704","13353","ADDED","approved","ALENDRONIC ACID (ALENDRONATE SODIUM)","70","MG","02564335"
