"","DRUG_CODE","DRUG_IDENTIFICATION_NUMBER","ai_set_str","ai_set","ai_group","AI_GROUP_NO"
"1","10008","00644579","IMIPRAMINE HYDROCHLORIDE 75 MG","IMIPRAMINE HYDROCHLORIDE","0103832","0103832004"
"2","10009","00799823","CALCIUM CHLORIDE 23.9 MG|DEXTROSE 2.5 G|MAGNESIUM CHLORIDE 15.2 MG|SODIUM CHLORIDE 567 MG|SODIUM LACTATE 392 MG","CALCIUM CHLORIDE|DEXTROSE|MAGNESIUM CHLORIDE|SODIUM CHLORIDE|SODIUM LACTATE","0500162","0500162043"
"3","10015","00012882","FLUOROURACIL 50 MG","FLUOROURACIL","0107505","0107505001"
"4","10024","00860751","DOXYCYCLINE 100 MG","DOXYCYCLINE","0105569","0105569001"
"5","10026","00808652","HALOPERIDOL 5 MG","HALOPERIDOL","0101774","0101774001"
"6","10032","00743445","DEXTRAN 70 0.1 %|HYPROMELLOSE 0.3 %","DEXTRAN 70|HYPROMELLOSE","0228553","0228553001"
"7","10034","00782483","VERAPAMIL HYDROCHLORIDE 80 MG","VERAPAMIL HYDROCHLORIDE","0113846","0113846002"
"8","10035","00784354","NAPROXEN SODIUM 275 MG","NAPROXEN SODIUM","0113934","0113934001"
"9","10036","00839175","DICLOFENAC SODIUM 25 MG","DICLOFENAC SODIUM","0114417","0114417003"
"10","10037","00839183","DICLOFENAC SODIUM 50 MG","DICLOFENAC SODIUM","0114417","0114417002"
"11","10040","00060208","SODIUM CHLORIDE 900 MG","SODIUM CHLORIDE","0100053","0100053002"
"12","10041","00438049","DEXTROSE 5 G|POTASSIUM CHLORIDE 150 MG","DEXTROSE|POTASSIUM CHLORIDE","0200305","0200305001"
"13","10042","00438030","DEXTROSE 5 G|POTASSIUM CHLORIDE 300 MG","DEXTROSE|POTASSIUM CHLORIDE","0200305","0200305003"
"14","10044","00437999","DEXTROSE 5 G|POTASSIUM CHLORIDE 150 MG|SODIUM CHLORIDE 450 MG","DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0300097","0300097005"
"15","10045","00438006","DEXTROSE 5 G|POTASSIUM CHLORIDE 300 MG|SODIUM CHLORIDE 450 MG","DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0300097","0300097003"
"16","10052","00770957","HYDROCORTISONE 1 %|PRAMOXINE HYDROCHLORIDE 1 %","HYDROCORTISONE|PRAMOXINE HYDROCHLORIDE","0220065","0220065001"
"17","10054","00800813","DEXTROMETHORPHAN HYDROBROMIDE 15 MG","DEXTROMETHORPHAN HYDROBROMIDE","0100807","0100807001"
"18","10062","00807435","GRAMICIDIN 0.025 MG|NEOMYCIN 1.75 MG|POLYMYXIN B 10000 UNIT","GRAMICIDIN|NEOMYCIN|POLYMYXIN B","0331392","0331392001"
"19","10062","00807435","GRAMICIDIN 0.025 MG|NEOMYCIN 1.75 MG|POLYMYXIN B 10000 UNIT","GRAMICIDIN|NEOMYCIN|POLYMYXIN B","0331392","0331392001"
"20","10063","00816078","THIAMINE HYDROCHLORIDE 100 MG","THIAMINE HYDROCHLORIDE","0108220","0108220001"
"21","10063","00816078","THIAMINE HYDROCHLORIDE 100 MG","THIAMINE HYDROCHLORIDE","0108220","0108220001"
"22","10064","00816108","METHYLENE BLUE 10 MG","METHYLENE BLUE","0106816","0106816001"
"23","10114","00774936","ACETIC ACID 10.8 G|CALCIUM CHLORIDE 6.24 G|DEXTROSE 67.54 G|MAGNESIUM CHLORIDE 1.61 G|SODIUM CHLORIDE 263 G","ACETIC ACID|CALCIUM CHLORIDE|DEXTROSE|MAGNESIUM CHLORIDE|SODIUM CHLORIDE","0517387","0517387076"
"24","10115","00774944","ACETIC ACID 10.8 G|CALCIUM CHLORIDE 6.24 G|DEXTROSE 67.54 G|MAGNESIUM CHLORIDE 1.61 G|POTASSIUM CHLORIDE 6.71 G|SODIUM CHLORIDE 263 G","ACETIC ACID|CALCIUM CHLORIDE|DEXTROSE|MAGNESIUM CHLORIDE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0617386","0617386366"
"25","10116","00852384","NITROGLYCERIN 50 MG","NITROGLYCERIN","0103615","0103615006"
"26","10117","00725250","DOXYCYCLINE 100 MG","DOXYCYCLINE","0105569","0105569001"
"27","10128","00786047","PYRANTEL 35 MG","PYRANTEL","0108709","0108709002"
"28","10134","00842664","KETOPROFEN 100 MG","KETOPROFEN","0110497","0110497002"
"29","10135","00790435","KETOPROFEN 50 MG","KETOPROFEN","0110497","0110497001"
"30","10136","00790427","KETOPROFEN 50 MG","KETOPROFEN","0110497","0110497001"
"31","10143","00799807","CALCIUM CHLORIDE 23.9 MG|DEXTROSE 4.25 G|MAGNESIUM CHLORIDE 15.2 MG|SODIUM CHLORIDE 567 MG|SODIUM LACTATE 392 MG","CALCIUM CHLORIDE|DEXTROSE|MAGNESIUM CHLORIDE|SODIUM CHLORIDE|SODIUM LACTATE","0500162","0500162041"
"32","10144","00799815","CALCIUM CHLORIDE 23.9 MG|DEXTROSE 1.5 G|MAGNESIUM CHLORIDE 15.2 MG|SODIUM CHLORIDE 567 MG|SODIUM LACTATE 392 MG","CALCIUM CHLORIDE|DEXTROSE|MAGNESIUM CHLORIDE|SODIUM CHLORIDE|SODIUM LACTATE","0500162","0500162042"
"33","10169","00807788","PREDNISOLONE ACETATE 0.2 %|SULFACETAMIDE SODIUM 10 %","PREDNISOLONE ACETATE|SULFACETAMIDE SODIUM","0206094","0206094001"
"34","10173","00786535","HYDROMORPHONE HYDROCHLORIDE 1 MG","HYDROMORPHONE HYDROCHLORIDE","0108698","0108698004"
"35","10177","00788422","CHLORHEXIDINE GLUCONATE 0.05 %","CHLORHEXIDINE GLUCONATE","0107629","0107629005"
"36","10188","00843792","ACETAMINOPHEN 650 MG|PHENYLEPHRINE HYDROCHLORIDE 10 MG","ACETAMINOPHEN|PHENYLEPHRINE HYDROCHLORIDE","0217793","0217793001"
"37","10200","00472468","ACETYLSALICYLIC ACID 325 MG","ACETYLSALICYLIC ACID","0101169","0101169001"
"38","10211","00862975","BETAMETHASONE 0.5 MG","BETAMETHASONE","0106299","0106299003"
"39","10217","00623709","ALUMINUM HYDROXIDE 200 MG|DIMETHICONE 25 MG|MAGNESIUM HYDROXIDE 200 MG","ALUMINUM HYDROXIDE|DIMETHICONE|MAGNESIUM HYDROXIDE","0301453","0301453001"
"40","1025","00095494","ACETYLSALICYLIC ACID 375 MG|CAFFEINE 15 MG|CODEINE PHOSPHATE 8 MG","ACETYLSALICYLIC ACID|CAFFEINE|CODEINE PHOSPHATE","0301235","0301235001"
