"","Active Ingredient","ACTIVE_INGREDIENT_CODE","n_names","ingredient_names","basis_of_strength_ing","precise_ing","AI UNII","AM UNII","Active Moiety","Basis of Strength","RD UNII","Referenced Drug"
"1","ABACAVIR","11893",1,"ABACAVIR (ABACAVIR SULFATE)","ABACAVIR","ABACAVIR SULFATE","WR2TIP26VS","WR2TIP26VS","ABACAVIR","Active Ingredient","",""
"2","ABATACEPT","15233",1,"ABATACEPT","ABATACEPT","ABATACEPT","7D0YB67S97","7D0YB67S97","ABATACEPT","Active Ingredient","",""
"3","ABCIXIMAB","61",1,"ABCIXIMAB","ABCIXIMAB","ABCIXIMAB","X85G7936GV","X85G7936GV","ABCIXIMAB","Active Ingredient","",""
"4","ABIRATERONE ACETATE","20883",1,"Abiraterone acetate","Abiraterone acetate","Abiraterone acetate","EM5OCB9YJ6","G819A456D0","ABIRATERONE","Active Ingredient","",""
"5","ABOBOTULINUMTOXINA","21617",1,"AbobotulinumtoxinA","AbobotulinumtoxinA","AbobotulinumtoxinA",NA,NA,NA,NA,NA,NA
"6","ACAMPROSATE CALCIUM","20124",1,"ACAMPROSATE CALCIUM","ACAMPROSATE CALCIUM","ACAMPROSATE CALCIUM","59375N1D0U","N4K14YGM3J","ACAMPROSATE","Active Ingredient","",""
"7","ACARBOSE","917",1,"ACARBOSE","ACARBOSE","ACARBOSE","T58MSI464G","T58MSI464G","ACARBOSE","Active Ingredient","",""
"8","ACEBUTOLOL","11162",1,"ACEBUTOLOL (ACEBUTOLOL HYDROCHLORIDE)","ACEBUTOLOL","ACEBUTOLOL HYDROCHLORIDE","67P356D8GH","67P356D8GH","ACEBUTOLOL","Active Ingredient","",""
"9","ACENOCOUMAROL","9062",1,"ACENOCOUMAROL","ACENOCOUMAROL","ACENOCOUMAROL","I6WP63U32H","I6WP63U32H","ACENOCOUMAROL","Active Ingredient","",""
"10","ACETAMINOPHEN","270",1,"ACETAMINOPHEN","ACETAMINOPHEN","ACETAMINOPHEN","362O9ITL9D","362O9ITL9D","ACETAMINOPHEN","Active Ingredient","",""
"11","ACETAZOLAMIDE","6299",2,"ACETAZOLAMIDE|ACETAZOLAMIDE (ACETAZOLAMIDE SODIUM)","ACETAZOLAMIDE","ACETAZOLAMIDE SODIUM","O3FX965V0I","O3FX965V0I","ACETAZOLAMIDE","Active Ingredient","",""
"12","ACETIC ACID","47",1,"ACETIC ACID","ACETIC ACID","ACETIC ACID","Q40Q9N063P","Q40Q9N063P","ACETIC ACID","Active Ingredient","",""
"13","ACETYLCHOLINE CHLORIDE","4957",1,"ACETYLCHOLINE CHLORIDE","ACETYLCHOLINE CHLORIDE","ACETYLCHOLINE CHLORIDE","AF73293C2R","N9YNS0M02X","ACETYLCHOLINE","","",""
"14","ACETYLCYSTEINE","10303",1,"ACETYLCYSTEINE","ACETYLCYSTEINE","ACETYLCYSTEINE","WYQ7N0BPYC","WYQ7N0BPYC","ACETYLCYSTEINE","Active Ingredient","",""
"15","ACETYLSALICYLIC ACID","150",1,"ACETYLSALICYLIC ACID","ACETYLSALICYLIC ACID","ACETYLSALICYLIC ACID",NA,NA,NA,NA,NA,NA
"16","ACITRETIN","1209",1,"ACITRETIN","ACITRETIN","ACITRETIN","LCH760E9T7","LCH760E9T7","ACITRETIN","Active Ingredient","",""
"17","ACLIDINIUM BROMIDE","22129",1,"Aclidinium bromide","Aclidinium bromide","Aclidinium bromide","UQW7UF9N91","K17VY42F6C","ACLIDINIUM","Active Ingredient","",""
"18","ACYCLOVIR","1950",2,"ACYCLOVIR|ACYCLOVIR (ACYCLOVIR SODIUM)","ACYCLOVIR","ACYCLOVIR SODIUM","X4HES1O11F","X4HES1O11F","ACYCLOVIR","Active Ingredient","",""
"19","ADALIMUMAB","13356",1,"ADALIMUMAB","ADALIMUMAB","ADALIMUMAB","FYS6T7F842","FYS6T7F842","ADALIMUMAB","Active Ingredient","",""
"20","ADAPALENE","224",1,"ADAPALENE","ADAPALENE","ADAPALENE","1L4806J2QF","1L4806J2QF","ADAPALENE","Active Ingredient","",""
"21","ADEFOVIR DIPIVOXIL","13233",1,"ADEFOVIR DIPIVOXIL","ADEFOVIR DIPIVOXIL","ADEFOVIR DIPIVOXIL","U6Q8Z01514","6GQP90I798","ADEFOVIR","Active Ingredient","",""
"22","ADENINE","5028",1,"ADENINE","ADENINE","ADENINE","JAC85A2161","JAC85A2161","ADENINE","Active Ingredient","",""
"23","ADENOSINE","4732",1,"ADENOSINE","ADENOSINE","ADENOSINE","K72T3FS567","K72T3FS567","ADENOSINE","Active Ingredient","",""
"24","AFATINIB","22160",1,"Afatinib (Afatinib Dimaleate)","Afatinib","Afatinib Dimaleate","41UD74L59M","41UD74L59M","AFATINIB","Active Ingredient","",""
"25","AFLIBERCEPT","22163",1,"Aflibercept","Aflibercept","Aflibercept","15C2VL427D","15C2VL427D","AFLIBERCEPT","Active Ingredient","",""
"26","AGALSIDASE BETA","13296",1,"AGALSIDASE BETA","AGALSIDASE BETA","AGALSIDASE BETA","RZD65TSM9U","RZD65TSM9U","AGALSIDASE BETA","Active Ingredient","",""
"27","AIR","2328",1,"AIR","AIR","AIR","K21NZZ5Y0B","K21NZZ5Y0B","AIR","Active Ingredient","",""
"28","ALANINE","2963",1,"ALANINE","ALANINE","ALANINE","OF5P57N2ZX","OF5P57N2ZX","ALANINE","Active Ingredient","",""
"29","ALBUMIN","7867",1,"ALBUMIN (HUMAN)","ALBUMIN","HUMAN",NA,NA,NA,NA,NA,NA
"30","ALBUMIN","3275",1,"ALBUMIN","ALBUMIN","ALBUMIN",NA,NA,NA,NA,NA,NA
"31","ALCOHOL ANHYDROUS","8890",1,"ALCOHOL ANHYDROUS","ALCOHOL ANHYDROUS","ALCOHOL ANHYDROUS",NA,NA,NA,NA,NA,NA
"32","ALDESLEUKIN","278",1,"ALDESLEUKIN","ALDESLEUKIN","ALDESLEUKIN","M89N0Q7EQR","M89N0Q7EQR","ALDESLEUKIN","Active Ingredient","",""
"33","ALECTINIB","22813",1,"ALECTINIB (ALECTINIB HYDROCHLORIDE)","ALECTINIB","ALECTINIB HYDROCHLORIDE",NA,NA,NA,NA,NA,NA
"34","ALEMTUZUMAB","12491",1,"ALEMTUZUMAB","ALEMTUZUMAB","ALEMTUZUMAB","3A189DH42V","3A189DH42V","ALEMTUZUMAB","Active Ingredient","",""
"35","ALENDRONIC ACID","13353",2,"ALENDRONIC ACID (ALENDRONATE SODIUM TRIHYDRATE)|ALENDRONIC ACID (ALENDRONATE SODIUM)","ALENDRONIC ACID","ALENDRONATE SODIUM TRIHYDRATE|ALENDRONATE SODIUM","X1J18R4W8P","X1J18R4W8P","ALENDRONIC ACID","Active Ingredient","",""
"36","ALFACALCIDOL","4892",1,"ALFACALCIDOL","ALFACALCIDOL","ALFACALCIDOL","URQ2517572","URQ2517572","ALFACALCIDOL","Active Ingredient","",""
