drug_code,drug_identification_number,current_brand_name,previous_brand_name
"65558","02241888","ARAVA","ARAVA 10MG"
"65559","02241889","ARAVA","ARAVA 20 MG"
"65560","02241890","ARAVA","ARAVA 100 MG"
"74388","02258692","COSOPT PRESERVATIVE-FREE","COSOPT"
"77845","02293072","GERMICIDE3 SURFACE DISINFECTANT CLEANER","GERMICIDE-3 SURFACE DISINFECTANT CLEANER"
"78168","02296349","TEVA-ONDANSETRON","ACT ONDANSETRON"
"78169","02296357","TEVA-ONDANSETRON","ACT ONDANSETRON"
"8977","00716871","NYADERM","NYADERM CRM 100000UNIT/GM"
"95550","02467100","COPPERTONE SUNSCREEN STICK SPF 50 WATER BABIES","COPPERTONE SUNSCREEN STICK WATERBABIES"
"95098","02463083","PEMETREXED FOR INJECTION, USP","PEMETREXED FOR INJECTION"
"95099","02463091","PEMETREXED FOR INJECTION, USP","PEMETREXED FOR INJECTION"
