drug_code,drug_identification_number,current_brand_name,previous_brand_name
"14142","02014327","MS CONTIN","MS CONTIN SRT 200MG"
"14176","02014297","MS CONTIN","MS CONTIN SRT 30MG"
"14178","02014319","MS CONTIN","MS CONTIN SRT 100MG"
"14394","02014300","MS CONTIN","MS CONTIN SRT 60MG"
"14395","02015439","MS CONTIN","MS CONTIN SRT 15MG"
"50637","02231329","APO-FLUVOXAMINE","APO-FLUVOXAMINE TABLETS"
"50638","02231330","APO-FLUVOXAMINE","APO-FLUVOXAMINE TABLETS"
"75311","02267691","MEDI-WHITE PETROLATUM OINTMENT","MEDI-WHITE PETROLEUM JELLY"
"84648","02361426","TARO-CLARITHROMYCIN","RAN-CLARITHROMYCIN"
"84649","02361434","TARO-CLARITHROMYCIN","RAN-CLARITHROMYCIN"
"88455","02399695","PYRITHIONE ZINC DANDRUFF SHAMPOO SMOOTH & SILKY","HEAD & SHOULDERS SMOOTH & SILKY"
"88456","02399709","PYRITHIONE ZINC DANDRUFF SHAMPOO SMOOTH & SILKY 2IN1","HEAD & SHOULDERS SMOOTH & SILKY 2IN1"
"91586","02431440","Q10 POWER TM/MC ANTI-WRINKLE FIRMING DAY CREAM","Q10TM/MC POWER ANTI-WRINKLE"
"98289","02492903","PYRITHIONE ZINC DANDRUFF SHAMPOO 2IN1 MEN SANDALWOOD","2IN1 MEN ADVANCED SERIES SANDALWOOD"
"18964","02139286","CLINDAMYCIN INJECTION, USP","CLINDAMYCIN INJECTION"
"87697","02391643","TARO-CLINDAMYCIN","RAN-CLINDAMYCIN"
"87698","02391651","TARO-CLINDAMYCIN","RAN-CLINDAMYCIN"
"89468","02410036","TARO-CLARITHROMYCIN XL","RAN-CLARITHROMYCIN XL"
"94584","02458683","MAEVE","NORETHINDRONE TABLETS, USP"
"101626","02527219","JAMP PERINDOPRIL ERBUMINE","AG-PERINDOPRIL ERBUMINE"
"101627","02527227","JAMP PERINDOPRIL ERBUMINE","AG-PERINDOPRIL ERBUMINE"
"101623","02527200","JAMP PERINDOPRIL ERBUMINE","AG-PERINDOPRIL ERBUMINE"
