drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"101696","56","ORAL","ADDED","02527782"
"101670","56","ORAL","ADDED","02527650"
"78057","70","TOPICAL","REMOVED","02295253"
"101731","56","ORAL","ADDED","02528045"
"78102","105","TOPICAL (COMMERCIAL)","ADDED","02295679"
"101707","49","INTRAVENOUS","ADDED","02527871"
"101705","93","DISINFECTANT (Domestic)","ADDED","02527855"
"101721","56","ORAL","ADDED","02527944"
"101699","70","TOPICAL","ADDED","02527812"
"101692","94","DISINFECTANT (Institutional/Industrial)","ADDED","02527758"
"97756","56","ORAL","ADDED","02487381"
"101697","56","ORAL","ADDED","02527790"
"101705","8","DISINFECTANT (Food Premises)","ADDED","02527855"
"101764","29","INHALATION","ADDED","02528428"
"101738","56","ORAL","ADDED","02528126"
"101769","56","ORAL","ADDED","02528479"
"101730","56","ORAL","ADDED","02528037"
"101692","93","DISINFECTANT (Domestic)","ADDED","02527758"
"100818","56","ORAL","ADDED","02518899"
"101705","94","DISINFECTANT (Institutional/Industrial)","ADDED","02527855"
"101241","8","DISINFECTANT (Food Premises)","ADDED","02523302"
"101704","56","ORAL","ADDED","02527847"
"101700","2","DISINFECTANT (Barn)","ADDED","02527820"
"101749","56","ORAL","ADDED","02528258"
"101675","56","ORAL","ADDED","02527707"
"101707","65","SUBCUTANEOUS","ADDED","02527871"
"101764","56","ORAL","ADDED","02528428"
"101140","8","DISINFECTANT (Food Premises)","ADDED","02522241"
"101693","70","TOPICAL","ADDED","02527731"
"101732","56","ORAL","ADDED","02528053"
"101750","56","ORAL","ADDED","02528266"
"101692","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02527758"
"101720","56","ORAL","ADDED","02527936"
"78102","70","TOPICAL","REMOVED","02295679"
"101690","70","TOPICAL","ADDED","02527723"
"101705","2","DISINFECTANT (Barn)","ADDED","02527855"
"101751","49","INTRAVENOUS","ADDED","02528274"
"101698","56","ORAL","ADDED","02527804"
"101700","94","DISINFECTANT (Institutional/Industrial)","ADDED","02527820"
"101722","56","ORAL","ADDED","02527952"
"78057","105","TOPICAL (COMMERCIAL)","ADDED","02295253"
"101251","94","DISINFECTANT (Institutional/Industrial)","ADDED","02523426"
"101700","8","DISINFECTANT (Food Premises)","ADDED","02527820"
"101694","70","TOPICAL","ADDED","02527766"
"70059","94","DISINFECTANT (Institutional/Industrial)","ADDED","02245935"
"101671","56","ORAL","ADDED","02527669"
"101140","2","DISINFECTANT (Barn)","ADDED","02522241"
"101659","55","OPHTHALMIC","ADDED","02527529"
"101741","55","OPHTHALMIC","ADDED","02528169"
"97757","56","ORAL","ADDED","02487403"
"101673","22","INTRAMUSCULAR","ADDED","02527685"
"101755","56","ORAL","ADDED","02528312"
"101772","56","ORAL","ADDED","02528495"
"101747","70","TOPICAL","ADDED","02528223"
"101723","56","ORAL","ADDED","02527960"
"101771","56","ORAL","ADDED","02528460"
"101770","56","ORAL","ADDED","02528487"
"101700","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02527820"
"101709","56","ORAL","ADDED","02527901"
"101251","93","DISINFECTANT (Domestic)","ADDED","02523426"
"101739","56","ORAL","ADDED","02528150"
"101707","22","INTRAMUSCULAR","ADDED","02527871"
"101202","70","TOPICAL","ADDED","02522942"
"101706","22","INTRAMUSCULAR","ADDED","02527863"
"101745","56","ORAL","ADDED","02528207"
"101744","6","DIALYSIS","ADDED","02528193"
"101753","56","ORAL","ADDED","02528290"
"101692","2","DISINFECTANT (Barn)","ADDED","02527758"
"101719","56","ORAL","ADDED","02527928"
"101695","56","ORAL","ADDED","02527774"
"101700","93","DISINFECTANT (Domestic)","ADDED","02527820"
"101754","56","ORAL","ADDED","02528304"
"101705","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02527855"
"101241","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02523302"
"101779","56","ORAL","ADDED","02528584"
"101692","8","DISINFECTANT (Food Premises)","ADDED","02527758"
"101746","55","OPHTHALMIC","ADDED","02528215"
"101241","94","DISINFECTANT (Institutional/Industrial)","ADDED","02523302"
"101733","56","ORAL","ADDED","02528061"
"100819","56","ORAL","ADDED","02518902"
