drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"100064","22","INTRAMUSCULAR","ADDED","02511444"
"100197","56","ORAL","ADDED","02512718"
"100219","22","INTRAMUSCULAR","ADDED","02512947"
"99252","93","DISINFECTANT (Domestic)","ADDED","02503018"
"97760","56","ORAL","ADDED","02487446"
"99996","8","DISINFECTANT (Food Premises)","ADDED","02510766"
"100135","56","ORAL","ADDED","02512130"
"100207","8","DISINFECTANT (Food Premises)","ADDED","02512815"
"100103","22","INTRAMUSCULAR","ADDED","02511843"
"100136","8","DISINFECTANT (Food Premises)","ADDED","02512149"
"99857","49","INTRAVENOUS","ADDED","02509261"
"99996","93","DISINFECTANT (Domestic)","ADDED","02510766"
"100193","56","ORAL","ADDED","02512653"
"99316","2","DISINFECTANT (Barn)","ADDED","02503719"
"100138","94","DISINFECTANT (Institutional/Industrial)","ADDED","02512165"
"98789","49","INTRAVENOUS","ADDED","02498103"
"100136","93","DISINFECTANT (Domestic)","ADDED","02512149"
"100194","104","TOPICAL (HOUSEHOLD)","ADDED","02512661"
"100126","70","TOPICAL","ADDED","02512033"
"99996","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02510766"
"100133","56","ORAL","ADDED","02512114"
"100196","56","ORAL","ADDED","02512696"
"100158","56","ORAL","ADDED","02512289"
"100136","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02512149"
"100207","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02512815"
"100117","93","DISINFECTANT (Domestic)","ADDED","02512009"
"100156","56","ORAL","ADDED","02512262"
"66040","56","ORAL","REMOVED","02242329"
"100137","8","DISINFECTANT (Food Premises)","ADDED","02512157"
"99340","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02503948"
"100140","56","ORAL","ADDED","02512181"
"100224","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02513005"
"100181","8","DISINFECTANT (Food Premises)","ADDED","02512521"
"100004","22","INTRAMUSCULAR","ADDED","02510847"
"99316","94","DISINFECTANT (Institutional/Industrial)","ADDED","02503719"
"100201","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02512750"
"100181","94","DISINFECTANT (Institutional/Industrial)","ADDED","02512521"
"98673","49","INTRAVENOUS","ADDED","02496887"
"99954","93","DISINFECTANT (Domestic)","ADDED","02510316"
"99316","8","DISINFECTANT (Food Premises)","ADDED","02503719"
"100105","56","ORAL","ADDED","02511886"
"100130","104","TOPICAL (HOUSEHOLD)","ADDED","02512084"
"100212","56","ORAL","ADDED","02512874"
"100182","93","DISINFECTANT (Domestic)","ADDED","02512548"
"100118","93","DISINFECTANT (Domestic)","ADDED","02512017"
"100131","104","TOPICAL (HOUSEHOLD)","ADDED","02512092"
"100171","40","INTRASPINAL","ADDED","02512424"
"100137","94","DISINFECTANT (Institutional/Industrial)","ADDED","02512157"
"100198","56","ORAL","ADDED","02512726"
"100201","93","DISINFECTANT (Domestic)","ADDED","02512750"
"100157","56","ORAL","ADDED","02512270"
"100091","49","INTRAVENOUS","ADDED","02511738"
"98762","70","TOPICAL","ADDED","02497824"
"100180","56","ORAL","ADDED","02512513"
"100224","93","DISINFECTANT (Domestic)","ADDED","02513005"
"99340","93","DISINFECTANT (Domestic)","ADDED","02503948"
"100213","56","ORAL","ADDED","02512882"
"100117","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02512009"
"100151","104","TOPICAL (HOUSEHOLD)","ADDED","02512203"
"100210","56","ORAL","ADDED","02512858"
"100118","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02512017"
"100083","56","ORAL","ADDED","02511649"
"100161","104","TOPICAL (HOUSEHOLD)","ADDED","02512319"
"100201","8","DISINFECTANT (Food Premises)","ADDED","02512750"
"100181","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02512521"
"100137","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02512157"
"99340","8","DISINFECTANT (Food Premises)","ADDED","02503948"
"100188","104","TOPICAL (HOUSEHOLD)","ADDED","02512602"
"100224","8","DISINFECTANT (Food Premises)","ADDED","02513005"
"98671","49","INTRAVENOUS","ADDED","02496860"
"100162","56","ORAL","ADDED","02512327"
"99340","94","DISINFECTANT (Institutional/Industrial)","ADDED","02503948"
"100224","94","DISINFECTANT (Institutional/Industrial)","ADDED","02513005"
"100139","65","SUBCUTANEOUS","ADDED","02512173"
"100179","56","ORAL","ADDED","02512505"
"99316","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02503719"
"100201","94","DISINFECTANT (Institutional/Industrial)","ADDED","02512750"
"100119","56","ORAL","ADDED","02512025"
"100117","8","DISINFECTANT (Food Premises)","ADDED","02512009"
"100215","56","ORAL","ADDED","02512904"
"100118","94","DISINFECTANT (Institutional/Industrial)","ADDED","02512017"
"100137","93","DISINFECTANT (Domestic)","ADDED","02512157"
"100209","56","ORAL","ADDED","02512831"
"98674","49","INTRAVENOUS","ADDED","02496895"
"100181","93","DISINFECTANT (Domestic)","ADDED","02512521"
"100132","56","ORAL","ADDED","02512106"
"99996","2","DISINFECTANT (Barn)","ADDED","02510766"
"100154","94","DISINFECTANT (Institutional/Industrial)","ADDED","02512246"
"100214","56","ORAL","ADDED","02512890"
"66040","3","BUCCAL","ADDED","02242329"
"100228","104","TOPICAL (HOUSEHOLD)","ADDED","02513048"
"100175","56","ORAL","ADDED","02512467"
"99847","49","INTRAVENOUS","ADDED","02509164"
"99316","93","DISINFECTANT (Domestic)","ADDED","02503719"
"100186","104","TOPICAL (HOUSEHOLD)","ADDED","02512580"
"100187","104","TOPICAL (HOUSEHOLD)","ADDED","02512599"
"100207","2","DISINFECTANT (Barn)","ADDED","02512815"
"100118","8","DISINFECTANT (Food Premises)","ADDED","02512017"
"100117","94","DISINFECTANT (Institutional/Industrial)","ADDED","02512009"
"99856","49","INTRAVENOUS","ADDED","02509253"
"77802","2","DISINFECTANT (Barn)","ADDED","02292653"
"100195","56","ORAL","ADDED","02512688"
"100071","56","ORAL","ADDED","02511517"
"100185","70","TOPICAL","ADDED","02512572"
"100201","2","DISINFECTANT (Barn)","ADDED","02512750"
"96788","56","ORAL","ADDED","02477114"
"99848","49","INTRAVENOUS","ADDED","02509172"
"100224","2","DISINFECTANT (Barn)","ADDED","02513005"
"100190","55","OPHTHALMIC","ADDED","02512629"
"100170","93","DISINFECTANT (Domestic)","ADDED","02512416"
"100163","56","ORAL","ADDED","02512335"
"100207","94","DISINFECTANT (Institutional/Industrial)","ADDED","02512815"
"99679","93","DISINFECTANT (Domestic)","ADDED","02507390"
"98670","49","INTRAVENOUS","ADDED","02496852"
"100138","93","DISINFECTANT (Domestic)","ADDED","02512165"
"100218","56","ORAL","ADDED","02512939"
"100159","56","ORAL","ADDED","02512297"
"100166","104","TOPICAL (HOUSEHOLD)","ADDED","02512378"
"100136","94","DISINFECTANT (Institutional/Industrial)","ADDED","02512149"
"98790","49","INTRAVENOUS","ADDED","02498111"
"99996","94","DISINFECTANT (Institutional/Industrial)","ADDED","02510766"
"100134","56","ORAL","ADDED","02512122"
