drug_code,active_ingredient_code,status,extract,ingredient,strength,strength_unit,drug_identification_number
"10535","8174","Changed","dormant","SULFAMETHOXAZOLE","40","MG","00846465"
"12492","309","Changed","inactive","IRON (IRON MALATE)","7.5","MG","00879851"
"80167","2092","Changed","active","PRAZIQUANTEL","60","MG","02316145"
"80168","2092","Changed","active","PRAZIQUANTEL","96","MG","02316153"
"100179","20171","ADDED","approved","DULOXETINE (DULOXETINE HYDROCHLORIDE)","30","MG","02512505"
"100166","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.15","%","02512378"
"100134","12346","ADDED","approved","TADALAFIL","10","MG","02512122"
"100130","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.13","%","02512084"
"100083","1966","ADDED","approved","NIFEDIPINE","60","MG","02511649"
"100182","2730","ADDED","approved","DIDECYL DIMETHYL AMMONIUM CHLORIDE","0.25","%","02512548"
"100119","7942","ADDED","approved","CETIRIZINE HYDROCHLORIDE","20","MG","02512025"
"100213","20636","ADDED","approved","LACOSAMIDE","100","MG","02512882"
"98671","13270","ADDED","approved","BENDAMUSTINE HYDROCHLORIDE","100","MG","02496860"
"98790","13270","ADDED","approved","BENDAMUSTINE HYDROCHLORIDE","100","MG","02498111"
"99996","197","ADDED","active","BENZALKONIUM CHLORIDE","0.025","%","02510766"
"99316","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.13","%","02503719"
"100210","265","ADDED","approved","MENTHOL","8","MG","02512858"
"100187","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.13","%","02512599"
"100170","2218","ADDED","approved","OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","1.14","%","02512416"
"99857","13270","ADDED","approved","BENDAMUSTINE HYDROCHLORIDE","100","MG","02509261"
"100170","2232","ADDED","approved","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","0.456","%","02512416"
"100224","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.105","%","02513005"
"100182","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.2","%","02512548"
"98670","13270","ADDED","approved","BENDAMUSTINE HYDROCHLORIDE","25","MG","02496852"
"98674","13270","ADDED","approved","BENDAMUSTINE HYDROCHLORIDE","100","MG","02496895"
"100154","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.14","%","02512246"
"100181","196","ADDED","approved","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","0.18","%","02512521"
"100198","1810","ADDED","approved","ENALAPRIL MALEATE","20","MG","02512726"
"98762","662","ADDED","approved","PYRITHIONE ZINC","1","%","02497824"
"99316","2730","ADDED","approved","DIDECYL DIMETHYL AMMONIUM CHLORIDE","0.05","%","02503719"
"100071","21556","ADDED","approved","DOLUTEGRAVIR (DOLUTEGRAVIR SODIUM)","5","MG","02511517"
"100190","1915","ADDED","approved","CYCLOSPORINE","0.09","%","02512629"
"100157","12346","ADDED","approved","TADALAFIL","5","MG","02512270"
"100215","20636","ADDED","approved","LACOSAMIDE","200","MG","02512904"
"100139","11533","ADDED","approved","GLATIRAMER ACETATE","40","MG","02512173"
"100207","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.0275","%","02512815"
"86867","265","Changed","inactive","MENTHOL","8","MG","02382865"
"80167","20383","Changed","active","EMODEPSIDE","15","MG","02316145"
"80168","20383","Changed","active","EMODEPSIDE","24","MG","02316153"
"12298","309","Changed","inactive","IRON (IRON GLUTARATE)",".5","MG","01901117"
"80166","2092","Changed","active","PRAZIQUANTEL","30","MG","02316137"
"100161","774","ADDED","approved","CHLOROXYLENOL","0.5","%","02512319"
"99848","13270","ADDED","approved","BENDAMUSTINE HYDROCHLORIDE","100","MG","02509172"
"99954","2218","ADDED","active","OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","15.24","%","02510316"
"100103","309","ADDED","approved","IRON (IRON DEXTRAN COMPLEX)","200","MG","02511843"
"100135","12346","ADDED","approved","TADALAFIL","20","MG","02512130"
"99954","2232","ADDED","active","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","7.62","%","02510316"
"100162","12251","ADDED","approved","TENOFOVIR DISOPROXIL FUMARATE","300","MG","02512327"
"100131","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.13","%","02512092"
"99252","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.3","%","02503018"
"100105","6506","ADDED","approved","HYDROXYCHLOROQUINE SULFATE","200","MG","02511886"
"100175","122","ADDED","approved","LAMIVUDINE","100","MG","02512467"
"98789","13270","ADDED","approved","BENDAMUSTINE HYDROCHLORIDE","25","MG","02498103"
"100133","12346","ADDED","approved","TADALAFIL","5","MG","02512114"
"100064","23552","ADDED","approved","CHADOX1-S [RECOMBINANT]","50000000000","VP","02511444"
"100158","12346","ADDED","approved","TADALAFIL","10","MG","02512289"
"64920","11168","Changed","active","SERTRALINE (SERTRALINE HYDROCHLORIDE)","100","MG","02241304"
"22943","4803","Changed","inactive","CALCIUM (CALCIUM CITRATE)","20","MG","01959840"
"91576","7289","Changed","active","ZINC OXIDE","9","%","02431343"
"64919","11168","Changed","active","SERTRALINE (SERTRALINE HYDROCHLORIDE)","50","MG","02241303"
"10535","8452","Changed","dormant","TRIMETHOPRIM","8","MG","00846465"
"100138","2730","ADDED","approved","DIDECYL DIMETHYL AMMONIUM CHLORIDE","0.4","%","02512165"
"99340","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.1","%","02503948"
"100091","20161","ADDED","approved","DAPTOMYCIN","500","MG","02511738"
"100159","12346","ADDED","approved","TADALAFIL","20","MG","02512297"
"100182","10021","ADDED","approved","CITRIC ACID","2.5","%","02512548"
"100228","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.13","%","02513048"
"100140","4922","ADDED","approved","VITAMIN D3","25000","UNIT","02512181"
"100210","7097","ADDED","approved","DICHLOROBENZYL ALCOHOL","1.2","MG","02512858"
"97760","20883","ADDED","approved","ABIRATERONE ACETATE","500","MG","02487446"
"100170","2730","ADDED","approved","DIDECYL DIMETHYL AMMONIUM CHLORIDE","0.684","%","02512416"
"100163","9008","ADDED","approved","HYOSCINE BUTYLBROMIDE","10","MG","02512335"
"100132","12346","ADDED","approved","TADALAFIL","2.5","MG","02512106"
"100118","10021","ADDED","approved","CITRIC ACID","5","%","02512017"
"99847","13270","ADDED","approved","BENDAMUSTINE HYDROCHLORIDE","25","MG","02509164"
"100117","10021","ADDED","approved","CITRIC ACID","5","%","02512009"
"98673","13270","ADDED","approved","BENDAMUSTINE HYDROCHLORIDE","25","MG","02496887"
"100196","1810","ADDED","approved","ENALAPRIL MALEATE","5","MG","02512696"
"99340","2730","ADDED","approved","DIDECYL DIMETHYL AMMONIUM CHLORIDE","0.2","%","02503948"
"100138","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.4","%","02512165"
"99856","13270","ADDED","approved","BENDAMUSTINE HYDROCHLORIDE","25","MG","02509253"
"100197","1810","ADDED","approved","ENALAPRIL MALEATE","10","MG","02512718"
"100194","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.12","%","02512661"
"100214","20636","ADDED","approved","LACOSAMIDE","150","MG","02512890"
"99679","197","ADDED","active","BENZALKONIUM CHLORIDE","2.97","%","02507390"
"100136","10021","ADDED","approved","CITRIC ACID","5","%","02512149"
"100156","12346","ADDED","approved","TADALAFIL","2.5","MG","02512262"
"96788","20883","ADDED","approved","ABIRATERONE ACETATE","250","MG","02477114"
"100126","3566","ADDED","approved","PETROLATUM","46.5","%","02512033"
"100170","197","ADDED","approved","BENZALKONIUM CHLORIDE","1.52","%","02512416"
"100193","13585","ADDED","approved","ESCITALOPRAM (ESCITALOPRAM OXALATE)","15","MG","02512653"
"12305","331","Changed","inactive","ZINC (ZINC GLUTARATE)",".5","MG","01900625"
"14240","9471","Changed","active","LIDOCAINE","10","MG","02003767"
"12313","331","Changed","inactive","ZINC (ZINC SUCCINATE)",".5","MG","00849871"
