drug_code,drug_identification_number,current_brand_name,previous_brand_name
"1285","00232351","VALISONE-G","VALISONE-G OINTMENT"
"14240","02003767","XYLOCAINE SPRAY","XYLOCAINE ENDOTRACHEAL"
"15548","02063743","PMS-BACLOFEN","PMS-BACLOFEN TAB 20MG"
"4220","00518182","STIEVA-A","STIEVA-A CREAM"
"43279","02220172","LOVASTATIN","APO-LOVASTATIN - TAB 20MG"
"43280","02220180","LOVASTATIN","APO-LOVASTATIN - TAB 40MG"
"5168","00578576","STIEVA-A","STIEVA-A CREAM"
"6619","00657204","STIEVA-A","STIEVA-A CREAM"
"78704","02301733","ALEVE CAPLETS","ALEVE TABLETS"
"816","00177016","VALISONE-G","VALISONE-G CREAM"
"87502","02389517","TARO-MONTELUKAST","RAN-MONTELUKAST"
"93803","02451727","CLOTRIMAZOLE-FLUCONAZOLE COMBI","CLOTRIMAZOLE-FLUCONAZOLE COMBI-PACK"
"94843","02460912","PHENYTOIN SODIUM","APO-PHENYTOIN SODIUM"
"99927","02510014","COVID-19 VACCINE MODERNA","MODERNA COVID-19 VACCINE"
"19814","02197405","ACYCLOVIR","NU-ACYCLOVIR - TAB 200MG"
"19815","02197413","ACYCLOVIR","NU-ACYCLOVIR - TAB 400MG"
"19816","02197421","ACYCLOVIR","NU-ACYCLOVIR - TAB 800MG"
"1147","00027944","VALISONE","VALISONE SCALP LOTION"
"3810","00402753","APO-PROPRANOLOL","APO PROPRANOLOL TAB 40MG"
"3811","00402761","APO-PROPRANOLOL","APO PROPRANOLOL TAB 80MG"
"3812","00402788","APO-PROPRANOLOL","APO PROPRANOLOL TAB 10MG"
"4071","00504335","APO-PROPRANOLOL","APO PROPRANOLOL TAB 120MG"
"62674","02239214","GLYCON","GLYCON 850MG"
"66040","02242329","CHLORHEXIDINE","APO-CHLORHEXIDINE ORAL RINSE"
"6685","00663719","APO-PROPRANOLOL","APO-PROPRANOLOL TAB 20MG"
"99105","02501422","BAZOOKA CLEAN","SUPERSANITIZER"
"100055","02511339","SALONPAS PAIN RELIEVING CREAM","SALONPAS PLUS PAIN RELIEVING CREAM"
