drug_code,drug_identification_number,current_brand_name,previous_brand_name
"100239","02513153","JCOVDEN","JANSSEN COVID-19 VACCINE"
"101161","02522497","PYRITHIONE ZINC DANDRUFF SHAMPOO 2IN1 MEN LAVENDER MINT","2IN1 MEN ADVANCED SERIES LAVENDER MINT"
"13121","01968300","ACULAR","ACULAR LIQ 0.5%"
"13990","02031116","LAMISIL","LAMISIL TAB 250MG"
"14532","02031094","LAMISIL","LAMISIL CRM 1%"
"1470","00247855","FML","FML 0.1%"
"53825","02233687","ULTRA Q-128","ULTRA-Q128"
"69271","02245248","AMIODARONE HYDROCHLORIDE FOR INJECTION, USP","AMIODARONE HYDROCHLORIDE INJECTION"
"96700","02476053","PYRITHIONE ZINC DANDRUFF SHAMPOO 2IN1 MEN REFRESHING MENTHOL","2IN1 MEN ADVANCED SERIES REFRESHING MENTHOL"
"96701","02476061","PYRITHIONE ZINC DANDRUFF SHAMPOO MEN REFRESHING MENTHOL","MEN ADVANCED SERIES REFRESHING MENTHOL"
"49920","02230661","TENOXICAM","TENOXICAM TABLETS"
"66642","02242814","LACTULOSE SOLUTION USP","APO-LACTULOSE"
