drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"101917","85","TABLET","ADDED","02529947"
"101883","126","POWDER FOR SUSPENSION","ADDED","02529599"
"101920","85","TABLET","ADDED","02529971"
"101925","85","TABLET","ADDED","02530031"
"101892","134","SOLUTION","ADDED","02529688"
"101887","85","TABLET","ADDED","02529629"
"101900","85","TABLET","ADDED","02529769"
"101905","134","SOLUTION","ADDED","02529815"
"101443","36","LOTION","ADDED","02525410"
"97241","85","TABLET","ADDED","02481928"
"101913","85","TABLET","ADDED","02529904"
"101886","109","TABLET (DELAYED-RELEASE)","ADDED","02529610"
"101938","134","SOLUTION","ADDED","02530171"
"97241","5","CAPSULE","REMOVED","02481928"
"101922","134","SOLUTION","ADDED","02530023"
"101933","85","TABLET","ADDED","02530120"
"53825","134","SOLUTION","ADDED","02233687"
"101889","134","SOLUTION","ADDED","02529645"
"101930","85","TABLET","ADDED","02530090"
"101950","183","POD","ADDED","02530317"
"101912","134","SOLUTION","ADDED","02529890"
"101918","85","TABLET","ADDED","02529955"
"101899","85","TABLET","ADDED","02529750"
"93453","85","TABLET","ADDED","02448793"
"101903","56","POWDER FOR SOLUTION","ADDED","02529793"
"91779","134","SOLUTION","ADDED","02433419"
"101907","134","SOLUTION","ADDED","02529831"
"101916","151","TABLET (CHEWABLE)","ADDED","02529939"
"101919","85","TABLET","ADDED","02529963"
"101897","98","SPRAY","ADDED","02529734"
"101898","105","WIPE","ADDED","02529742"
"101908","134","SOLUTION","ADDED","02529858"
"1470","79","SUSPENSION","ADDED","00247855"
"101888","134","SOLUTION","ADDED","02529637"
"101897","134","SOLUTION","ADDED","02529734"
"101891","134","SOLUTION","ADDED","02529661"
"101931","85","TABLET","ADDED","02530104"
"101921","56","POWDER FOR SOLUTION","ADDED","02529998"
"101444","36","LOTION","ADDED","02525429"
"101954","56","POWDER FOR SOLUTION","ADDED","02530368"
"91779","34","LIQUID","REMOVED","02433419"
"101928","85","TABLET","ADDED","02530074"
"93452","85","TABLET","ADDED","02448785"
"101894","85","TABLET","ADDED","02529718"
"101442","36","LOTION","ADDED","02525402"
"1470","12","DROPS","REMOVED","00247855"
"101944","85","TABLET","ADDED","02530244"
"98088","134","SOLUTION","ADDED","02490846"
"101890","134","SOLUTION","ADDED","02529653"
"53825","34","LIQUID","REMOVED","02233687"
"101927","85","TABLET","ADDED","02530066"
"101932","85","TABLET","ADDED","02530112"
"101937","134","SOLUTION","ADDED","02530163"
"101893","85","TABLET","ADDED","02529696"
"101942","85","TABLET","ADDED","02530236"
