drug_code,active_ingredient_code,status,extract,ingredient,strength,strength_unit,drug_identification_number
"12492","309","Changed","inactive","IRON (FERROUS SUCCINATE)","2.5","MG","00879851"
"103995","150","ADDED","approved","ACETYLSALICYLIC ACID","325","MG","02551217"
"103957","5325","ADDED","approved","LEVOTHYROXINE SODIUM","175","MCG","02550792"
"103924","6850","ADDED","approved","BENZOYL PEROXIDE","3.1","%","02550423"
"103327","2280","ADDED","approved","OCTOCRYLENE","3","%","02544709"
"103994","22704","ADDED","approved","ESZOPICLONE","3","MG","02551209"
"103947","197","ADDED","approved","BENZALKONIUM CHLORIDE","6.4","%","02550687"
"103919","21066","ADDED","approved","PRUCALOPRIDE (PRUCALOPRIDE SUCCINATE)","1","MG","02550377"
"103327","727","ADDED","approved","TITANIUM DIOXIDE","6","%","02544709"
"104005","2196","ADDED","approved","SODIUM CHLORITE","30.5","%","02551322"
"103955","5325","ADDED","approved","LEVOTHYROXINE SODIUM","137","MCG","02550776"
"103958","5325","ADDED","approved","LEVOTHYROXINE SODIUM","200","MCG","02550806"
"103947","2730","ADDED","approved","DIDECYL DIMETHYL AMMONIUM CHLORIDE","2.4","%","02550687"
"103922","11241","ADDED","approved","PIPERACILLIN (PIPERACILLIN SODIUM)","36","G","02550407"
"103327","12048","ADDED","approved","OCTISALATE","4.5","%","02544709"
"103877","22686","ADDED","approved","SUGAMMADEX (SUGAMMADEX SODIUM)","100","MG","02549964"
"12298","309","Changed","inactive","IRON (IRON GLUTARATE)",".5","MG","01901117"
"103929","2730","ADDED","approved","DIDECYL DIMETHYL AMMONIUM CHLORIDE","0.2","%","02550482"
"103924","224","ADDED","approved","ADAPALENE","0.15","%","02550423"
"103922","11242","ADDED","approved","TAZOBACTAM (TAZOBACTAM SODIUM)","4.5","G","02550407"
"103924","12037","ADDED","approved","CLINDAMYCIN PHOSPHATE","1.2","%","02550423"
"103952","5325","ADDED","approved","LEVOTHYROXINE SODIUM","88","MCG","02550733"
"103951","5325","ADDED","approved","LEVOTHYROXINE SODIUM","75","MCG","02550725"
"103929","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.1","%","02550482"
"103949","5325","ADDED","approved","LEVOTHYROXINE SODIUM","25","MCG","02550709"
"103943","21466","ADDED","approved","PIRFENIDONE","267","MG","02550644"
"103959","10127","ADDED","approved","PROPRANOLOL HYDROCHLORIDE","20","MG","02550814"
"103960","10127","ADDED","approved","PROPRANOLOL HYDROCHLORIDE","40","MG","02550822"
"103939","662","ADDED","approved","PYRITHIONE ZINC","1","%","02550598"
"96058","22925","Changed","active","SEMAGLUTIDE","1.34","MG","02471469"
"103947","2218","ADDED","approved","OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","4.8","%","02550687"
"102779","22686","ADDED","approved","SUGAMMADEX (SUGAMMADEX SODIUM)","100","MG","02539144"
"103947","13119","ADDED","approved","GLUTARAL","11","%","02550687"
"103459","20179","ADDED","approved","SITAGLIPTIN (SITAGLIPTIN PHOSPHATE MONOHYDRATE)","100","MG","02545853"
