ntp_code,ntp_formal_name,ntp_fr_description,changes
9004056,sodium bicarbonate 80.7 g per l solution for haemodialysis,"bicarbonate de sodium 80,7 g par l solution pour hémodialyse",ADDED
9013760,amphotericin B 50 mg per vial powder for solution for injection,amphotéricine B 50 mg par fiole poudre pour solution injectable,ADDED
9013079,docetaxel 20 mg per 1 mL solution for injection vial,docétaxel 20 mg par 1 mL solution injectable fiole,"ntp_status_effective_time: ""20150227"" -> ""20171017"""
9001819,potassium chloride 20 meq per 10 mL solution for injection,chlorure de potassium 20 meq par 10 mL solution injectable,ADDED
9013864,bacitracin (bacitracin zinc) 500 unit per g cutaneous ointment,bacitracine (bacitracine de zinc) 500 unité par g pommade cutanée,"ntp_status_effective_time: ""20110201"" -> ""20111103"""
9002087,sodium bicarbonate 81.3 g per l solution for haemodialysis,"bicarbonate de sodium 81,3 g par l solution pour hémodialyse",ADDED
9004809,acetylsalicylic acid 325 mg and caffeine 32 mg oral tablet,acide acétylsalicylique 325 mg et caféine 32 mg comprimé oral,"ntp_status_effective_time: ""20241104"" -> ""20251103"""
9003378,benzalkonium chloride 0.13 % cutaneous liquid,"chlorure de benzalkonium 0,13 % liquide cutané",ADDED
9003126,doxorubicin hydrochloride 50 mg per vial powder for solution for injection,chlorhydrate de doxorubicine 50 mg par fiole poudre pour solution injectable,ADDED
9003012,buspirone hydrochloride 10 mg oral tablet,chlorhydrate de buspirone 10 mg comprimé oral,"ntp_status_effective_time: ""19961231"" -> ""19970115"""
9014396,apomorphine hydrochloride 25 mg sublingual film,chlorhydrate d'apomorphine 25 mg film sublingual,DELETED
9012355,verapamil hydrochloride 180 mg prolonged-release oral capsule,chlorhydrate de vérapamil 180 mg capsule orale à libération prolongée,"ntp_status_effective_time: ""20170711"" -> ""20251124"""
9014203,edaravone 30 mg per 100 mL solution for injection bag,édavarone 30 mg par 100 mL solution injectable sac,DELETED
9004594,gemcitabine (gemcitabine hydrochloride) 2 g per vial powder for solution for injection,gemcitabine (chlorhydrate de gemcitabine) 2 g par fiole poudre pour solution injectable,DELETED
9003657,follitropin beta 833 unit per mL solution for injection,follitropine bêta 833 unité par mL solution injectable,ADDED
9004163,benzalkonium chloride 0.12 % wipe,"chlorure de benzalkonium 0,12 % lingette",ADDED
9003097,doxorubicin hydrochloride 150 mg per vial powder for solution for injection,chlorhydrate de doxorubicine 150 mg par fiole poudre pour solution injectable,ADDED
9014640,fibrinogen human 160 mg per 2 mL and thrombin human 1000 unit per 2 mL cutaneous solution,fibrinogène humaine 160 mg par 2 mL et thrombine humaine 1000 unité par 2 mL solution pour application cutanée,ADDED
9013272,calcium chloride 7.45 g per bottle powder for concentrate for solution for haemodialysis,"chlorure de calcium 7,45 g par bouteille poudre pour solution à diluer pour solution pour hémodialyse",ADDED
9006172,propiverine hydrochloride 30 mg modified-release oral capsule,chlorhydrate de propivérine 30 mg capsule orale à libération modifiée,DELETED
9013933,potassium (potassium chloride) 10 mmol per 100 mL solution for injection bag,potassium (chlorure de potassium) 10 mmol par 100 mL solution injectable sac,ADDED
9004671,benzalkonium chloride 0.13 % wipe,"chlorure de benzalkonium 0,13 % lingette",ADDED
9013171,iodide (sodium iodide) 1000 mcg per 10 mL solution for injection vial,iodure (iodure de sodium) 1000 mcg par 10 mL solution injectable fiole,ADDED
9014971,coagulation factor ii (human) 800 unit and coagulation factor IX human 620 unit and coagulation factor vii (human) 500 unit and coagulation factor x (human) 1020 unit and protein c 820 unit and protein s 680 unit powder for solution for injection,facteur II de coagulation humain 800 unité et facteur IX de coagulation humain 620 unité et facteur VII de coagulation humain 500 unité et facteur X de coagulation humain 1020 unité et protéine c 820 unité et protéine s 680 unité poudre pour solution injectable,ADDED
3270e2bc948fe00c0ef8ffddbab3af52,calcium gluconate 1000 mg per 50 mL solution for injection bag,gluconate de calcium 1000 mg par 50 mL solution injectable sac,ADDED
9001709,triclosan 0.5 % cutaneous liquid,"triclosan 0,5 % liquide cutané",ADDED
9013087,doxorubicin hydrochloride 20 mg per 10 mL suspension for injection vial,chlorhydrate de doxorubicine 20 mg par 10 mL suspension injectable fiole,ADDED
9005757,chloroxylenol 3 % cutaneous liquid,chloroxylénol 3 % liquide cutané,ADDED
9004599,chloroxylenol 0.6 % cutaneous solution,"chloroxylénol 0,6 % solution pour application cutanée",ADDED
35b61639f9ce4db6d8d040a105fc1f61,mirikizumab 100 mg per 1 mL solution for injection pen with mirikizumab 200 mg per 2 mL solution for injection pen,mirikizumab 100 mg par 1 mL solution injectable stylo avec mirikizumab 200 mg par 2 mL solution injectable stylo,ADDED
9003875,benzethonium chloride 0.2 % cutaneous liquid,"chlorure de benzéthonium 0,2 % liquide cutané",ADDED
9004469,benzalkonium chloride 0.1 % cutaneous solution,"chlorure de benzalkonium 0,1 % solution pour application cutanée",ADDED
9005356,sodium bicarbonate 1250 g per cartridge powder for concentrate for solution for haemodialysis,bicarbonate de sodium 1250 g par cartouche poudre pour solution à diluer pour solution pour hémodialyse,ADDED
9001725,sodium bicarbonate 84 mg per mL solution for injection,bicarbonate de sodium 84 mg par mL solution injectable,ADDED
9013271,calcium chloride 14.9 g per bottle powder for concentrate for solution for haemodialysis,"chlorure de calcium 14,9 g par bouteille poudre pour solution à diluer pour solution pour hémodialyse",ADDED
622b4efd43ad2ee1b8c8253f83ffd2ff,methylphenidate hydrochloride 60 mg NA,chlorhydrate de méthylphénidate 60 mg NA,ADDED
342f628ab97997bba9420bd80015739f,retifanlimab 25 mg per mL solution for injection,rétifanlimab 25 mg par mL solution injectable,ADDED
9014983,raxtozinameran 10 mcg per 0.3 mL suspension for injection 0.3 mL vial,"raxtozinaméran 10 mcg par 0,3 mL suspension injectable 0,3 mL fiole",DELETED
