drug_code,din,brand.name,company.name,brand.name.dpd,company.name.dpd,descriptor
68034,02244079,DIMETANE EXPECTORANT C,GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,DIMETANE EXPECTORANT C,"FOUNDATION CONSUMER BRANDS, LLC",NA
68031,02244078,DIMETAPP-C,GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,DIMETAPP-C,"FOUNDATION CONSUMER BRANDS, LLC",NA
79517,02309556,TEVA-CYPROTERONE/ETHINYL ESTRADIOL,TEVA CANADA LIMITED,TEVA-CYPROTERONE / ETHINYL ESTRADIOL,TEVA CANADA LIMITED,NA
92104,02436736,CLÉO-35,ALTIUS HEALTHCARE INC,CLÉO -35,ALTIUS HEALTHCARE INC,NA
74376,02258560,TRI-CYCLEN LO (21 DAY),JANSSEN INC,TRI-CYCLEN LO        (-21 DAY),JANSSEN INC,NA
74378,02258587,TRI-CYCLEN LO (28 DAY),JANSSEN INC,TRI-CYCLEN LO        (28 DAY),JANSSEN INC,NA
43151,02215136,SAIZEN,"EMD SERONO, A DIVISION OF EMD INC., CANADA",SAIZEN 10IU  -  KIT,"EMD SERONO, A DIVISION OF EMD INC., CANADA",NA
69080,02245076,DIMETAPP EXTRA STRENGTH DM COUGH & COLD,GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,DIMETAPP EXTRA STRENGTH DM COUGH & COLD,"FOUNDATION CONSUMER BRANDS, LLC",NA
67912,02243969,DIMETAPP DM COUGH & COLD,GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,DIMETAPP DM COUGH & COLD,"FOUNDATION CONSUMER BRANDS, LLC","DYE, SUCROSE AND ALCOHOL FREE"
69079,02245075,DIMETAPP EXTRA STRENGTH,GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,DIMETAPP EXTRA STRENGTH,"FOUNDATION CONSUMER BRANDS, LLC",NA
67924,02243980,DIMETAPP,GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,DIMETAPP,"FOUNDATION CONSUMER BRANDS, LLC",SUCROSE FREE
14240,02003767,XYLOCAINE ENDOTRACHEAL,ASPEN PHARMACARE CANADA INC.,XYLOCAINE SPRAY,ASPEN PHARMACARE CANADA INC.,NA
43011,02206021,IMMUNINE VH,SHIRE PHARMA CANADA ULC,IMMUNINE VH,TAKEDA CANADA INC,NA
