tm_code,tm_formal_name,changes
"8002154","potassium phosphate dibasic and potassium phosphate monobasic","CHANGED"
"8001969","topotecan","tm_status_effective_time: ""19970618"" -> ""20120327"""
"8001844","magnesium chloride","CHANGED"
"1da0b19f5689a1b2951b49bc0ff19d7f","galcanezumab","ADDED"
"8002161","sodium bicarbonate","CHANGED"
"a206e0524fcc716b9098b6303ec2a59f","sodium zirconium cyclosilicate","ADDED"
"8000946","alcohol anhydrous and benzalkonium","CHANGED"
"8001004","benzoyl peroxide and salicylic acid","CHANGED"
"8001615","chloroxylenol","CHANGED"
"8002068","piperazine","CHANGED"
"8001976","triclosan","CHANGED"
"8002047","paclitaxel","CHANGED"
"8002278","coagulation factor IX human and coagulation factor ii (human) and coagulation factor vii (human) and coagulation factor x (human) and protein c and protein s","CHANGED"
"8001757","doxorubicin","CHANGED"
"8001515","proxymetacaine","CHANGED"
"8002215","amphotericin B","CHANGED"
"8000796","benzalkonium","CHANGED"
"8001720","chlorhexidine and lidocaine","CHANGED"
"8002198","irinotecan (conventional)","CHANGED"
"8001898","chromic chloride and copper sulfate and manganese sulfate and selenium and zinc sulfate","CHANGED"
"8001866","petrolatum","CHANGED"
"8001274","heparin","tm_status_effective_time: ""19871231"" -> ""19841231"""
"8002290","coagulation factor VIII human and von Willebrand factor human","CHANGED"
"8001098","asparaginase","CHANGED"
"8002088","acetic acid and sodium acetate","CHANGED"
"8002199","irinotecan (liposomal)","CHANGED"
"8001870","potassium chloride","CHANGED"
"8002118","dimethyl sulfoxide","CHANGED"
"879b799423d9bd6f9762b67195697559","sulfacetamide","ADDED"
"8002245","onabotulinumtoxinA","CHANGED"
"8002079","primaquine","CHANGED"
"8001727","chromic chloride and cupric chloride and manganese chloride and zinc chloride","CHANGED"
"8002169","anti-inhibitor coagulant complex","CHANGED"
"8001579","benzethonium","CHANGED"
"8002160","sodium acetate","CHANGED"
"8002296","interferon beta-1a (peginterferon beta-1a)","CHANGED"
"cc5bb68e81db17342fa03b6c5a9e2afe","acalabrutinib","ADDED"
"8000912","alcohol anhydrous and chlorhexidine","CHANGED"
"8002282","fibrinogen human and thrombin human","CHANGED"
"8001897","chromic chloride and copper sulfate and iodine (sodium iodide) and manganese sulfate and selenium and zinc sulfate","CHANGED"
"8000940","alcohol anhydrous and butanediol and propyl alcohol and propylene glycol","CHANGED"
"8001733","copper sulfate","CHANGED"
"6183f5f07101aa75480e8a48bb396215","bacillus calmette-guerin (bcg) strain tice","ADDED"
"8001880","white petrolatum","tm_status_effective_time: ""19511231"" -> ""20060606"""
"faa06edbd889a55feba17ac70af5df9e","eftrenonacog alfa","ADDED"
"8001878","sodium iodide","CHANGED"
"8001476","follitropin beta","CHANGED"
"8001726","chromic chloride and copper sulfate and manganese sulfate and zinc sulfate","CHANGED"
"8001696","antipyrine and sodium salicylate","CHANGED"
