drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
73777,151,TABLET (CHEWABLE),ADDED,02252848
98572,5,CAPSULE,ADDED,02495821
82324,34,LIQUID,REMOVED,02337665
81220,55,POWDER,REMOVED,02326876
98327,59,SHAMPOO,ADDED,02493292
98588,79,SUSPENSION,ADDED,02495996
98539,5,CAPSULE,ADDED,02495473
98582,56,POWDER FOR SOLUTION,ADDED,02495929
15516,18,ELIXIR,REMOVED,02019736
98533,141,CAPSULE (EXTENDED RELEASE),ADDED,02495414
81220,56,POWDER FOR SOLUTION,ADDED,02326876
98287,59,SHAMPOO,ADDED,02492873
98541,5,CAPSULE,ADDED,02495503
15880,34,LIQUID,REMOVED,02019698
92932,34,LIQUID,REMOVED,02444356
98529,141,CAPSULE (EXTENDED RELEASE),ADDED,02495376
98530,141,CAPSULE (EXTENDED RELEASE),ADDED,02495384
98575,126,POWDER FOR SUSPENSION,ADDED,02495856
15516,134,SOLUTION,ADDED,02019736
82324,134,SOLUTION,ADDED,02337665
81223,55,POWDER,REMOVED,02326906
98532,141,CAPSULE (EXTENDED RELEASE),ADDED,02495406
98584,134,SOLUTION,ADDED,02495945
98591,134,SOLUTION,ADDED,02496038
98579,5,CAPSULE,ADDED,02495899
98553,134,SOLUTION,ADDED,02495635
81223,56,POWDER FOR SOLUTION,ADDED,02326906
15880,134,SOLUTION,ADDED,02019698
98581,56,POWDER FOR SOLUTION,ADDED,02495910
92932,134,SOLUTION,ADDED,02444356
82405,56,POWDER FOR SOLUTION,ADDED,02338416
82405,55,POWDER,REMOVED,02338416
98576,126,POWDER FOR SUSPENSION,ADDED,02495864
98577,134,SOLUTION,ADDED,02495872
34650,134,SOLUTION,REMOVED,02172917
95833,134,SOLUTION,ADDED,02469529
98559,114,GEL,ADDED,02495708
98542,5,CAPSULE,ADDED,02495511
98045,36,LOTION,ADDED,02490404
98531,141,CAPSULE (EXTENDED RELEASE),ADDED,02495392
98557,134,SOLUTION,ADDED,02495686
98042,36,LOTION,ADDED,02490374
98326,59,SHAMPOO,ADDED,02493284
98578,134,SOLUTION,ADDED,02495880
91194,43,OINTMENT,ADDED,02427419
98372,59,SHAMPOO,ADDED,02493721
98567,56,POWDER FOR SOLUTION,ADDED,02495775
98555,85,TABLET,ADDED,02495651
81219,56,POWDER FOR SOLUTION,ADDED,02326868
34650,82,SYRUP,ADDED,02172917
73776,151,TABLET (CHEWABLE),ADDED,02252821
98570,5,CAPSULE,ADDED,02495805
98547,85,TABLET,ADDED,02495570
73776,85,TABLET,REMOVED,02252821
88933,85,TABLET,ADDED,02404575
98557,98,SPRAY,ADDED,02495686
98279,36,LOTION,ADDED,02492792
98583,56,POWDER FOR SOLUTION,ADDED,02495937
81219,55,POWDER,REMOVED,02326868
98580,5,CAPSULE,ADDED,02495902
98537,85,TABLET,ADDED,02495457
98009,36,LOTION,ADDED,02490021
98554,85,TABLET,ADDED,02495643
98288,59,SHAMPOO,ADDED,02492881
98534,85,TABLET,ADDED,02495422
82404,34,LIQUID,REMOVED,02338408
98568,134,SOLUTION,ADDED,02495783
98589,134,SOLUTION,ADDED,02496003
98566,56,POWDER FOR SOLUTION,ADDED,02495767
98565,85,TABLET,ADDED,02495759
98289,59,SHAMPOO,ADDED,02492903
98538,5,CAPSULE,ADDED,02495465
98571,5,CAPSULE,ADDED,02495813
98546,85,TABLET,ADDED,02495562
82404,79,SUSPENSION,ADDED,02338408
98592,134,SOLUTION,ADDED,02496046
98548,134,SOLUTION,ADDED,02495589
73777,85,TABLET,REMOVED,02252848
