drug_code,drug_identification_number,current_brand_name,previous_brand_name
13782,02017849,BENADRYL ALLERGY,BENADRYL 25MG CAPLETS
15516,02019736,BENADRYL ALLERGY LIQUID,BENADRYL ELIXIR
15880,02019698,CHILDREN'S BENADRYL ALLERGY LIQUID,BENADRYL CHILDRENS LIQUID 6.25MG/5ML
1628,00061085,"LACTATED RINGER'S INJECTION, USP",LACTATED RINGERS INJ USP
18627,02132680,COLESTID TABLETS,COLESTID TABLETS 1 G
27547,02061287,CHILDREN'S BENADRYL ALLERGY CHEWABLES,BENADRYL ALLERGY TABLETS
75337,02267985,TARO-ATENOLOL,RAN-ATENOLOL
75338,02267993,TARO-ATENOLOL,RAN-ATENOLOL
77887,02293528,TARO-CEFPROZIL,RAN-CEFPROZIL
77888,02293536,TARO-CEFPROZIL,RAN-CEFPROZIL
81483,02329131,TARO-SIMVASTATIN,RAN-SIMVASTATIN
81484,02329158,TARO-SIMVASTATIN,RAN-SIMVASTATIN
81485,02329166,TARO-SIMVASTATIN,RAN-SIMVASTATIN
81486,02329174,TARO-SIMVASTATIN,RAN-SIMVASTATIN
81487,02329182,TARO-SIMVASTATIN,RAN-SIMVASTATIN
85918,02373963,TARO-ATENOLOL,RAN-ATENOLOL
88004,02394898,TEVA-ANASTROZOLE,ACT ANASTROZOLE
89970,02415097,COMET ALL PURPOSE DISINFECTANT DÉSINFECTANT TOUT USAGE,OLD DUTCH BIODEGRADABLE ALL PURPOSE TOUT USAGE DISINFECTANT DÉSINFECTANT
93527,02449439,TARO-RAMIPRIL HCTZ,RAN-RAMIPRIL HCTZ
93528,02449447,TARO-RAMIPRIL HCTZ,RAN-RAMIPRIL HCTZ
93529,02449455,TARO-RAMIPRIL HCTZ,RAN-RAMIPRIL HCTZ
93530,02449463,TARO-RAMIPRIL HCTZ,RAN-RAMIPRIL HCTZ
93531,02449471,TARO-RAMIPRIL HCTZ,RAN-RAMIPRIL HCTZ
82404,02338408,BISMUTH SUBSALICYLATE SUSPENSION,BISMUTH SUBSALICYLATE LIQUID
94033,02453797,ENTECAVIR TABLETS,GPC-ENTECAVIR
96198,02472686,JAMP GRANISETRON,GRANISETRON HCL TABLETS
98290,02492911,SANDOZ EVEROLIMUS,EVEROLIMUS
98291,02492938,SANDOZ EVEROLIMUS,EVEROLIMUS
98292,02492946,SANDOZ EVEROLIMUS,EVEROLIMUS
