drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
2148,active,active,00299561,LABORATOIRES CONFAB INC,SANDOZ CANADA INCORPORATED
2150,active,active,00299596,LABORATOIRES CONFAB INC,SANDOZ CANADA INCORPORATED
3725,active,active,00253952,ATNAHS PHARMA UK LIMITED,MALLINCKRODT SPECIALTY PHARMACEUTICALS IRELAND LTD.
19088,active,active,00893463,CELLCHEM PHARMACEUTICALS INC.,PHARMETICS (2011) INC
63341,active,active,02239853,SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC,SANOFI-AVENTIS CANADA INC
71480,active,active,02247238,"BAUSCH HEALTH, CANADA INC.",VALEANT CANADA LP/VALEANT CANADA S.E.C.
73702,active,active,02252139,CELLCHEM PHARMACEUTICALS INC.,PHARMETICS (2011) INC
73704,active,active,02252155,CELLCHEM PHARMACEUTICALS INC.,PHARMETICS (2011) INC
75337,active,active,02267985,SUN PHARMA CANADA INC,RANBAXY PHARMACEUTICALS CANADA INC.
75338,active,active,02267993,SUN PHARMA CANADA INC,RANBAXY PHARMACEUTICALS CANADA INC.
75534,active,active,02269988,CELLCHEM PHARMACEUTICALS INC.,PHARMETICS (2011) INC
77712,active,active,02291762,CELLCHEM PHARMACEUTICALS INC.,PHARMETICS (2011) INC
77887,active,active,02293528,SUN PHARMA CANADA INC,RANBAXY PHARMACEUTICALS CANADA INC.
77888,active,active,02293536,SUN PHARMA CANADA INC,RANBAXY PHARMACEUTICALS CANADA INC.
78327,active,active,02297949,CELLCHEM PHARMACEUTICALS INC.,PHARMETICS (2011) INC
79738,active,active,02311844,CELLCHEM PHARMACEUTICALS INC.,PHARMETICS (2011) INC
79987,active,active,02314312,CELLCHEM PHARMACEUTICALS INC.,PHARMETICS (2011) INC
80335,active,active,02317834,CELLCHEM PHARMACEUTICALS INC.,PHARMETICS (2011) INC
80534,active,active,02319888,CELLCHEM PHARMACEUTICALS INC.,PHARMETICS (2011) INC
81483,active,active,02329131,SUN PHARMA CANADA INC,RANBAXY PHARMACEUTICALS CANADA INC.
81484,active,active,02329158,SUN PHARMA CANADA INC,RANBAXY PHARMACEUTICALS CANADA INC.
81485,active,active,02329166,SUN PHARMA CANADA INC,RANBAXY PHARMACEUTICALS CANADA INC.
81486,active,active,02329174,SUN PHARMA CANADA INC,RANBAXY PHARMACEUTICALS CANADA INC.
81487,active,active,02329182,SUN PHARMA CANADA INC,RANBAXY PHARMACEUTICALS CANADA INC.
85918,active,active,02373963,SUN PHARMA CANADA INC,RANBAXY PHARMACEUTICALS CANADA INC.
89805,active,active,02413388,"BAUSCH HEALTH, CANADA INC.",VALEANT CANADA LP/VALEANT CANADA S.E.C.
