mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
"00441643","APO-IBUPROFEN (ibuprofène 200 mg comprimé oral) APOTEX INC","ibuprofène 200 mg comprimé oral","ibuprofène","mp_fr_description: ""APO-IBUPROFEN TAB 200MG (ibuprofène 200 mg comprimé oral) APOTEX INC"" -> ""APO-IBUPROFEN (ibuprofène 200 mg comprimé oral) APOTEX INC"""
"00441651","APO-IBUPROFEN (ibuprofène 300 mg comprimé oral) APOTEX INC","ibuprofène 300 mg comprimé oral","ibuprofène","mp_fr_description: ""APO IBUPROFEN TAB 300MG (ibuprofène 300 mg comprimé oral) APOTEX INC"" -> ""APO-IBUPROFEN (ibuprofène 300 mg comprimé oral) APOTEX INC"""
"00506052","APO-IBUPROFEN (ibuprofène 400 mg comprimé oral) APOTEX INC","ibuprofène 400 mg comprimé oral","ibuprofène","mp_fr_description: ""APO IBUPROFEN TAB 400MG (ibuprofène 400 mg comprimé oral) APOTEX INC"" -> ""APO-IBUPROFEN (ibuprofène 400 mg comprimé oral) APOTEX INC"""
"00757691","PDP-DIPHENHYDRAMINE EXTRA STRENGTH/ EXTRA FORT (chlorhydrate de diphenhydramine 50 mg capsule orale) PENDOPHARM DIVISION OF PHARMASCIENCE INC","chlorhydrate de diphenhydramine 50 mg capsule orale","diphenhydramine","mp_fr_description: ""PDP-DIPHENHYDRAMINE (chlorhydrate de diphenhydramine 50 mg capsule orale) PENDOPHARM DIVISION OF PHARMASCIENCE INC"" -> ""PDP-DIPHENHYDRAMINE EXTRA STRENGTH/ EXTRA FORT (chlorhydrate de diphenhydramine 50 mg capsule orale) PENDOPHARM DIVISION OF PHARMASCIENCE INC"""
"00846503","LOSEC (oméprazole 20 mg capsule gastrorésistante) CHEPLAPHARM ARZNEIMITTEL GMBH","oméprazole 20 mg capsule gastrorésistante","oméprazole","mp_fr_description: ""LOSEC CAPSULES 20MG (oméprazole 20 mg capsule gastrorésistante) ASTRAZENECA CANADA INC"" -> ""LOSEC (oméprazole 20 mg capsule gastrorésistante) CHEPLAPHARM ARZNEIMITTEL GMBH"""
"00895466","BRADOSOL LOZENGES EXTRA STRENGTH 3.5MG (hexylrésorcinol 3,5 mg pastille) COLUMBIA LABORATORIES CANADA INC","hexylrésorcinol 3,5 mg pastille","hexylrésorcinol","ADDED"
"01977563","TRIAMCINOLONE ACETONIDE INJECTABLE SUSPENSION USP (acétonide de triamcinolone 200 mg par 5 mL suspension injectable fiole) STERIMAX INC","acétonide de triamcinolone 200 mg par 5 mL suspension injectable fiole","acétonide de triamcinolone","mp_fr_description: ""TRIAMCINOLONE ACETONIDE SUSPENSION (acétonide de triamcinolone 200 mg par 5 mL suspension injectable fiole) STERIMAX INC"" -> ""TRIAMCINOLONE ACETONIDE INJECTABLE SUSPENSION USP (acétonide de triamcinolone 200 mg par 5 mL suspension injectable fiole) STERIMAX INC"""
"02148358","MINIMS ATROPINE SULPHATE (sulfate d'atropine 1 % gouttes ophtalmiques) BAUSCH HEALTH, CANADA INC.","sulfate d'atropine 1 % gouttes ophtalmiques","atropine","mp_fr_description: ""MINIMS ATROPINE SULPHATE 1% (sulfate d'atropine 1 % gouttes ophtalmiques) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""MINIMS ATROPINE SULPHATE (sulfate d'atropine 1 % gouttes ophtalmiques) BAUSCH HEALTH, CANADA INC."""
"02148382","MINIMS CYCLOPENTOLATE HYDROCHLORIDE (chlorhydrate de cyclopentolate 1 % gouttes ophtalmiques) BAUSCH HEALTH, CANADA INC.","chlorhydrate de cyclopentolate 1 % gouttes ophtalmiques","cyclopentolate","mp_fr_description: ""MINIMS CYCLOPENTOLATE HYDROCHLORIDE 1% (chlorhydrate de cyclopentolate 1 % gouttes ophtalmiques) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""MINIMS CYCLOPENTOLATE HYDROCHLORIDE (chlorhydrate de cyclopentolate 1 % gouttes ophtalmiques) BAUSCH HEALTH, CANADA INC."""
"02148390","MINIMS FLUORESCEIN SODIUM (fluoroscéine sodique 2 % gouttes ophtalmiques) BAUSCH HEALTH, CANADA INC.","fluoroscéine sodique 2 % gouttes ophtalmiques","fluorescéine","mp_fr_description: ""MINIMS FLUORESCEIN SODIUM 2% (fluoroscéine sodique 2 % gouttes ophtalmiques) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""MINIMS FLUORESCEIN SODIUM (fluoroscéine sodique 2 % gouttes ophtalmiques) BAUSCH HEALTH, CANADA INC."""
"02148528","MINIMS TETRACAINE HYDROCHLORIDE (chlorhydrate de tétracaïne 0,5 % gouttes ophtalmiques) BAUSCH HEALTH, CANADA INC.","chlorhydrate de tétracaïne 0,5 % gouttes ophtalmiques","tétracaïne","mp_fr_description: ""MINIMS TETRACAINE HYDROCHLORIDE 0.5% (chlorhydrate de tétracaïne 0,5 % gouttes ophtalmiques) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""MINIMS TETRACAINE HYDROCHLORIDE (chlorhydrate de tétracaïne 0,5 % gouttes ophtalmiques) BAUSCH HEALTH, CANADA INC."""
"02148544","MINIMS TETRACAINE HYDROCHLORIDE (chlorhydrate de tétracaïne 1 % gouttes ophtalmiques) BAUSCH HEALTH, CANADA INC.","chlorhydrate de tétracaïne 1 % gouttes ophtalmiques","tétracaïne","mp_fr_description: ""MINIMS TETRACAINE HYDROCHLORIDE 1% (chlorhydrate de tétracaïne 1 % gouttes ophtalmiques) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""MINIMS TETRACAINE HYDROCHLORIDE (chlorhydrate de tétracaïne 1 % gouttes ophtalmiques) BAUSCH HEALTH, CANADA INC."""
"02190915","LOSEC (oméprazole (oméprazole magnésium) 20 mg comprimé gastrorésistant) CHEPLAPHARM ARZNEIMITTEL GMBH","oméprazole (oméprazole magnésium) 20 mg comprimé gastrorésistant","oméprazole","mp_fr_description: ""LOSEC 20 MG (oméprazole (oméprazole magnésium) 20 mg comprimé gastrorésistant) ASTRAZENECA CANADA INC"" -> ""LOSEC (oméprazole (oméprazole magnésium) 20 mg comprimé gastrorésistant) CHEPLAPHARM ARZNEIMITTEL GMBH"""
"02194031","ARISTOCORT R (acétonide de triamcinolone 0,1 % pommade cutanée) BAUSCH HEALTH, CANADA INC.","acétonide de triamcinolone 0,1 % pommade cutanée","acétonide de triamcinolone","mp_fr_description: ""ARISTOCORT R (acétonide de triamcinolone 0,1 % pommade cutanée) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""ARISTOCORT R (acétonide de triamcinolone 0,1 % pommade cutanée) BAUSCH HEALTH, CANADA INC."""
"02194058","ARISTOCORT R (acétonide de triamcinolone 0,1 % crème cutanée) BAUSCH HEALTH, CANADA INC.","acétonide de triamcinolone 0,1 % crème cutanée","acétonide de triamcinolone","mp_fr_description: ""ARISTOCORT R (acétonide de triamcinolone 0,1 % crème cutanée) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""ARISTOCORT R (acétonide de triamcinolone 0,1 % crème cutanée) BAUSCH HEALTH, CANADA INC."""
"02194066","ARISTOCORT C (acétonide de triamcinolone 0,5 % crème cutanée) BAUSCH HEALTH, CANADA INC.","acétonide de triamcinolone 0,5 % crème cutanée","acétonide de triamcinolone","mp_fr_description: ""ARISTOCORT C (acétonide de triamcinolone 0,5 % crème cutanée) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""ARISTOCORT C (acétonide de triamcinolone 0,5 % crème cutanée) BAUSCH HEALTH, CANADA INC."""
"02269139","JAMP-ASA CHEW (acide acétylsalicylique 80 mg comprimé à croquer) JAMP PHARMA CORPORATION","acide acétylsalicylique 80 mg comprimé à croquer","acide acétylsalicylique","mp_fr_description: ""ACETYLSALICYLIC ACID 80 MG CHEWABLE TABLETS (acide acétylsalicylique 80 mg comprimé oral) JAMP PHARMA CORPORATION"" -> ""JAMP-ASA CHEW (acide acétylsalicylique 80 mg comprimé à croquer) JAMP PHARMA CORPORATION""
ntp_code: ""9003796"" -> ""9002737""
ntp_fr_description: ""acide acétylsalicylique 80 mg comprimé oral"" -> ""acide acétylsalicylique 80 mg comprimé à croquer"""
"02315300","RIVA-METOPROLOL-L (tartrate de métoprolol 25 mg comprimé oral) LABORATOIRE RIVA INC.","tartrate de métoprolol 25 mg comprimé oral","métoprolol","mp_fr_description: ""RIVA-METOPROLOL L (tartrate de métoprolol 25 mg comprimé oral) LABORATOIRE RIVA INC."" -> ""RIVA-METOPROLOL-L (tartrate de métoprolol 25 mg comprimé oral) LABORATOIRE RIVA INC."""
"02315319","RIVA-METOPROLOL-L (tartrate de métoprolol 50 mg comprimé oral) LABORATOIRE RIVA INC.","tartrate de métoprolol 50 mg comprimé oral","métoprolol","mp_fr_description: ""RIVA-METOPROLOL L (tartrate de métoprolol 50 mg comprimé oral) LABORATOIRE RIVA INC."" -> ""RIVA-METOPROLOL-L (tartrate de métoprolol 50 mg comprimé oral) LABORATOIRE RIVA INC."""
"02315327","RIVA-METOPROLOL-L (tartrate de métoprolol 100 mg comprimé oral) LABORATOIRE RIVA INC.","tartrate de métoprolol 100 mg comprimé oral","métoprolol","mp_fr_description: ""RIVA-METOPROLOL L (tartrate de métoprolol 100 mg comprimé oral) LABORATOIRE RIVA INC."" -> ""RIVA-METOPROLOL-L (tartrate de métoprolol 100 mg comprimé oral) LABORATOIRE RIVA INC."""
"02318601","AURO-NEVIRAPINE (névirapine 200 mg comprimé oral) AURO PHARMA INC","névirapine 200 mg comprimé oral","névirapine","mp_fr_description: ""AURO-NEVIRAPINE (névirapine 200 mg comprimé oral) AUROBINDO PHARMA LIMITED (UNIT III)"" -> ""AURO-NEVIRAPINE (névirapine 200 mg comprimé oral) AURO PHARMA INC"""
"02382369","AXIRON (testostérone 30 mg par actionnement solution transdermique) ELI LILLY CANADA INC","testostérone 30 mg par actionnement solution transdermique","testostérone","mp_fr_description: ""AXIRON (testostérone 30 mg par actionnement transdermal solution) ELI LILLY CANADA INC"" -> ""AXIRON (testostérone 30 mg par actionnement solution transdermique) ELI LILLY CANADA INC""
ntp_fr_description: ""testostérone 30 mg par actionnement transdermal solution"" -> ""testostérone 30 mg par actionnement solution transdermique"""
"02395274","ACT TEMOZOLOMIDE (témozolomide 20 mg capsule orale) TEVA CANADA LIMITED","témozolomide 20 mg capsule orale","témozolomide","mp_fr_description: ""ACT TEMOZOLOMIDE (témozolomide 20 mg capsule orale) ACTAVIS PHARMA COMPANY"" -> ""ACT TEMOZOLOMIDE (témozolomide 20 mg capsule orale) TEVA CANADA LIMITED"""
"02395282","ACT TEMOZOLOMIDE (témozolomide 100 mg capsule orale) TEVA CANADA LIMITED","témozolomide 100 mg capsule orale","témozolomide","mp_fr_description: ""ACT TEMOZOLOMIDE (témozolomide 100 mg capsule orale) ACTAVIS PHARMA COMPANY"" -> ""ACT TEMOZOLOMIDE (témozolomide 100 mg capsule orale) TEVA CANADA LIMITED"""
"02395290","ACT TEMOZOLOMIDE (témozolomide 140 mg capsule orale) TEVA CANADA LIMITED","témozolomide 140 mg capsule orale","témozolomide","mp_fr_description: ""ACT TEMOZOLOMIDE (témozolomide 140 mg capsule orale) ACTAVIS PHARMA COMPANY"" -> ""ACT TEMOZOLOMIDE (témozolomide 140 mg capsule orale) TEVA CANADA LIMITED"""
"02395312","ACT TEMOZOLOMIDE (témozolomide 250 mg capsule orale) TEVA CANADA LIMITED","témozolomide 250 mg capsule orale","témozolomide","mp_fr_description: ""ACT TEMOZOLOMIDE (témozolomide 250 mg capsule orale) ACTAVIS PHARMA COMPANY"" -> ""ACT TEMOZOLOMIDE (témozolomide 250 mg capsule orale) TEVA CANADA LIMITED"""
